date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
12-2019	19	12	Adjala-Tosorontio	7	4288900	612700	580000	6	60.9	34	3.4	97	55	-	7	4288900	612700	580000	6	34	97	55	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
12-2019	19	12	Ajax	100	70888930	708889	680500	51	61.8	73	1.5	99	25	-	70	53312280	761604	742500	31	57	99	29	7	4276000	610857	620000	7	4	102	8	1	382500	382500	382500	4	5	98	22	1	412000	412000	412000	1	2	99	11	19	11279150	593639	603000	8	5	100	19	20	11691150	584557.5
12-2019	19	12	Aurora	46	40547576	881469	844225	44	46.1	122	3.3	98	32	-	26	27211576	1046599	1040788	31	97	96	42	0	-	-	-	0	2	-	-	5	2286000	457200	365000	4	8	102	13	3	1642000	547333	487000	4	10	104	20	12	9408000	784000	785500	5	5	100	21	15	11050000	736666.666666667
12-2019	19	12	Bradford West Gwillimbury	36	28060000	779444	675500	22	51.3	58	2.8	97	31	-	26	21983600	845523	720000	16	53	96	34	3	1795000	598333	575000	2	2	99	15	0	-	-	-	0	0	-	-	0	-	-	-	1	1	-	-	4	2505900	626475	637950	2	1	98	34	-	-	-
12-2019	19	12	Brampton	482	360254894	747417	715000	366	62.8	428	1.4	99	23	-	230	205202608	892185	847750	191	298	99	26	103	70435750	683842	685000	71	47	101	21	38	19639600	516832	499050	29	35	101	18	37	15657950	423188	413900	25	18	99	20	68	45461900	668557	667250	45	28	100	20	105	61119850	582093.809523809
12-2019	19	12	Brock	12	7699900	641658	545000	13	47.7	49	4.6	95	63	-	12	7699900	641658	545000	12	48	95	63	0	-	-	-	0	0	-	-	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
12-2019	19	12	Burlington	99	78097064	788859	705000	69	65.1	196	2	97	32	-	45	46690674	1037571	900000	40	145	97	45	3	2319900	773300	775000	0	2	98	26	15	8727100	581807	586000	5	11	100	15	28	14731890	526139	453250	16	30	97	23	6	4310000	718333	707500	7	8	98	23	34	19041890	560055.588235294
12-2019	19	12	Caledon	46	45719888	993911	871250	46	51.8	136	3.1	94	39	-	36	38469888	1068608	937500	39	127	93	43	3	2214000	738000	760000	1	2	97	36	0	-	-	-	0	0	-	-	0	-	-	-	0	2	-	-	7	5036000	719429	717000	6	4	98	20	-	-	-
12-2019	19	12	City of Toronto	1673	1480825100	885132	720000	1352	61.1	2352	1.7	99	27	-	465	633961065	1363357	1032000	366	919	98	31	126	126564079	1004477	895000	77	80	102	23	141	90625002	642731	580000	94	149	100	28	884	580109554	656233	585000	779	1148	99	25	44	42088300	956552	932750	30	47	101	20	928	622197854	670471.825431034
12-2019	19	12	City of Toronto Total	1673	1480825100	885132	720000	1352	61.1	2352	1.7	99	27	-	465	633961065	1363357	1032000	366	919	98	31	126	126564079	1004477	895000	77	80	102	23	141	90625002	642731	580000	94	149	100	28	884	580109554	656233	585000	779	1148	99	25	44	42088300	956552	932750	30	47	101	20	928	622197854	670471.825431034
