date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
10-2013	13	10	Adjala-Tosorontio	5	2304900	460980	430000	34	49.8	80	5.8	97	46	-	5	2304900	460980	430000	34	80	97	46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10-2013	13	10	Ajax	160	63367319	396046	386000	193	67.4	181	1.4	99	19	-	102	45880301	449807	435000	144	134	99	18	12	4259600	354967	364250	5	5	99	20	13	3453800	265677	264000	8	5	100	27	10	2051500	205150	196000	11	15	98	23	19	6414118	337585	338000	18	18	99	20	29	8465618	291917.862068966
10-2013	13	10	Aurora	83	49061994	591108	554000	120	57.4	212	2.8	98	25	-	53	34837994	657321	620000	83	141	97	28	6	2553500	425583	438750	3	5	98	11	7	4338500	619786	654000	14	26	97	25	4	1563900	390975	337950	7	30	97	33	12	5233000	436083	433000	12	10	99	15	16	6796900	424806.25
10-2013	13	10	Bradford West Gwillimbury	40	16686350	417159	399950	69	59.5	143	2.8	98	26	-	27	12296350	455420	447000	54	129	98	29	4	1413000	353250	361500	5	3	98	9	2	515000	257500	257500	-	-	96	10	-	-	-	-	-	-	-	-	2	657500	328750	328750	4	5	99	28	-	-	-
10-2013	13	10	Brampton	695	287996840	414384	390000	1238	50.5	1630	2.6	98	27	-	362	178871833	494121	470000	746	1023	98	27	150	56128830	374192	369500	218	238	98	21	59	15579225	264055	247000	79	93	98	35	48	10275190	214066	208000	76	142	97	38	71	24628762	346884	344000	108	122	98	25	119	34903952	293310.521008403
10-2013	13	10	Brock	17	4431900	260700	232000	42	48.4	113	6.6	97	57	-	16	4011900	250744	230000	41	108	97	60	-	-	-	-	-	-	-	-	1	420000	420000	420000	1	4	98	4	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
10-2013	13	10	Burlington	118	56589299	479570	435000	185	61.3	309	2.7	97	31	-	56	33710499	601973	527000	100	180	97	36	7	2928000	418286	406000	11	12	100	14	17	6237400	366906	320000	23	40	98	26	16	4625000	289063	262000	29	57	98	38	18	7497400	416522	400700	15	15	98	25	34	12122400	356541.176470588
10-2013	13	10	Caledon	81	46934288	579436	515000	138	47.9	313	4.2	98	37	-	56	36891488	658777	560000	118	289	97	42	8	3404300	425538	422000	9	8	99	14	-	-	-	-	-	-	-	-	2	863500	431750	431750	-	3	99	73	15	5775000	385000	370000	11	10	99	29	17	6638500	390500
10-2013	13	10	City of Toronto	3190	1894242973	593807	467000	5349	53	7286	2.7	99	25	-	1125	982697879	873509	675000	1807	2065	99	20	331	212538908	642112	585000	452	321	103	15	235	95404699	405977	375000	344	408	99	24	1347	517842337	384441	332500	2534	4275	97	33	120	72595550	604963	557500	162	160	101	17	1467	590437887	402479.81390593
10-2013	13	10	City of Toronto Total	3190	1894242973	593807	467000	5349	53	7286	2.7	99	25	-	1125	982697879	873509	675000	1807	2065	99	20	331	212538908	642112	585000	452	321	103	15	235	95404699	405977	375000	344	408	99	24	1347	517842337	384441	332500	2534	4275	97	33	120	72595550	604963	557500	162	160	101	17	1467	590437887	402479.81390593
10-2013	13	10	Clarington	139	44570990	320655	304500	172	67	229	1.8	98	25	-	94	33720500	358729	325000	125	195	98	25	2	533900	266950	266950	6	4	100	45	3	563000	187667	166000	1	3	98	27	9	1649300	183256	173900	10	8	97	43	17	4225800	248576	246000	14	7	99	12	26	5875100	225965.384615385
10-2013	13	10	Dufferin County	50	16875400	337508	330750	70	65.9	122	2.6	97	39	-	33	12384900	375300	360000	57	100	97	34	6	1478500	246417	252000	5	8	97	45	4	818000	204500	205000	1	2	97	31	1	409000	409000	409000	2	6	95	138	5	1512000	302400	302000	4	6	98	57	6	1921000	320166.666666667
10-2013	13	10	Durham Region	924	337892452	365684	342750	1281	65.1	1536	1.8	98	25	-	645	262699269	407286	390000	968	1269	98	27	57	15771015	276684	257900	68	45	99	15	58	13340500	230009	231500	57	62	99	22	50	11216105	224322	211000	60	75	98	31	77	23757073	308533	318000	88	57	100	13	127	34973178	275379.354330709
10-2013	13	10	East Gwillimbury	30	16673300	555777	506200	38	58.4	85	3.5	98	39	-	25	15020800	600832	562000	33	81	98	44	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1652500	330500	324000	5	2	98	10	-	-	-
10-2013	13	10	Essa	20	8005400	400270	282500	25	67.4	81	3.4	94	40	-	15	6820400	454693	286000	22	75	94	37	1	211000	211000	211000	1	2	97	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	230000	230000	230000	2	3	99	100	-	-	-
