date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
03-2019	19	03	Adjala-Tosorontio	11	7928000	720727	590000	27	50.7	37	4.1	97	29	-	11	7928000	720727	590000	27	37	97	29	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
03-2019	19	03	Ajax	131	86656461	661500	645000	257	54.9	219	1.9	99	18	-	87	63484115	729702	720000	177	154	99	17	6	3364000	560667	557500	17	13	98	40	10	4627000	462700	466250	14	12	98	27	4	1458000	364500	366500	10	9	99	13	21	12214846	581659	579000	34	28	100	12	25	13672846	546913.84
03-2019	19	03	Aurora	89	76972508	864860	805000	237	36.3	302	4.4	98	20	-	45	49182008	1092934	988800	154	211	98	21	5	3944800	788960	781800	12	18	102	13	11	5213200	473927	465000	18	22	99	21	8	3451000	431375	415000	12	20	98	32	19	14348500	755184	728000	41	31	98	14	27	17799500	659240.740740741
03-2019	19	03	Bradford West Gwillimbury	66	44807598	678903	652500	130	43.4	163	3.9	98	25	-	52	37040698	712321	704500	111	139	98	26	3	1733000	577667	605000	3	4	99	11	2	889000	444500	444500	1	0	97	50	1	330000	330000	330000	1	5	97	31	7	4164900	594986	599900	10	10	98	23	8	4494900	561862.5
03-2019	19	03	Brampton	742	524962541	707497	685000	1292	52.6	1037	2.1	99	18	-	394	323517851	821111	794500	751	657	98	19	143	93571590	654347	645000	225	144	99	14	62	29477800	475448	460000	83	58	99	20	47	18139850	385954	390000	76	54	99	17	92	57385550	623756	614500	147	114	99	20	139	75525400	543348.201438849
03-2019	19	03	Brock	16	7914875	494680	497500	31	43.6	64	4.9	95	44	-	15	7395875	493058	485000	30	63	95	46	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	0	-	-	-	0	0	-	-	1	519000	519000	519000	1	0	96	14	-	-	-
03-2019	19	03	Burlington	215	163882215	762243	700500	385	58.3	445	2.4	98	26	-	117	111163608	950116	837500	235	286	98	29	10	6803907	680391	717750	17	14	99	19	26	13956900	536804	524950	51	47	99	21	42	19245700	458231	429950	60	80	99	26	17	10871300	639488	650000	20	15	100	15	59	30117000	510457.627118644
03-2019	19	03	Caledon	82	77161771	940997	825000	191	45.2	276	3.8	96	30	-	56	60158271	1074255	955000	148	245	95	39	9	6284000	698222	700000	19	13	99	11	1	495000	495000	495000	1	1	100	18	1	660000	660000	660000	0	0	99	12	14	8888500	634893	639000	22	17	99	13	15	9548500	636566.666666667
03-2019	19	03	City of Toronto	2545	2112459034	830043	682000	4527	56.5	4577	2	101	19	-	671	850558483	1267598	1000000	1431	1750	99	19	215	219420641	1020561	933000	349	245	107	13	203	131912673	649816	595000	338	320	100	21	1349	814754280	603969	548000	2221	2107	100	19	93	87683957	942838	793800	158	123	104	20	1442	902438237	625824.020110957
03-2019	19	03	City of Toronto Total	2545	2112459034	830043	682000	4527	56.5	4577	2	101	19	-	671	850558483	1267598	1000000	1431	1750	99	19	215	219420641	1020561	933000	349	245	107	13	203	131912673	649816	595000	338	320	100	21	1349	814754280	603969	548000	2221	2107	100	19	93	87683957	942838	793800	158	123	104	20	1442	902438237	625824.020110957
03-2019	19	03	Clarington	153	83712133	547138	519000	284	49.6	318	2.4	99	18	-	111	66380833	598026	560000	222	258	98	17	5	2247100	449420	436100	6	7	100	12	5	1818500	363700	355000	4	4	100	19	12	4089000	340750	329500	16	18	99	22	16	7287700	455481	444750	23	18	100	21	28	11376700	406310.714285714
03-2019	19	03	Dufferin County	54	31710590	587233	549000	90	65.3	80	1.9	98	26	-	39	24933000	639308	609000	63	56	98	27	0	-	-	-	10	9	-	-	3	1004900	334967	340900	4	2	100	19	2	647500	323750	323750	1	1	101	16	10	5125190	512519	509250	12	12	98	25	12	5772690	481057.5
03-2019	19	03	Durham Region	839	507423958	604796	575000	1617	49	1746	2.5	99	21	-	562	381024632	677980	641000	1199	1368	98	22	50	23795400	475908	437550	79	63	99	15	54	21721480	402250	395815	82	83	99	23	58	20417450	352025	354000	74	76	98	22	102	53531996	524823	521000	152	128	100	17	160	73949446	462184.0375
03-2019	19	03	East Gwillimbury	48	35700245	743755	710000	121	32.2	220	6.1	97	27	-	35	27318077	780516	797000	98	187	97	25	4	2709768	677442	687384	9	14	99	36	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	9	5672400	630267	645000	14	19	97	28	-	-	-
03-2019	19	03	Essa	42	21201109	504788	486500	90	44.9	138	4.2	97	43	-	32	16905609	528300	509500	76	110	97	38	0	-	-	-	2	2	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	6	2506500	417750	419250	7	13	99	71	-	-	-
03-2019	19	03	Georgina	66	37523080	568532	545000	165	35.9	244	4.9	96	33	-	59	34095480	577889	553000	153	233	96	35	4	2000100	500025	508500	4	4	99	18	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	3	1427500	475833	497500	7	5	99	9	-	-	-
03-2019	19	03	Halton Hills	82	59583305	726626	689000	131	55.9	142	2.2	98	30	-	59	47772205	809698	775000	106	124	98	33	2	1350000	675000	675000	3	2	99	17	8	3228500	403563	395000	5	4	99	17	4	1684500	421125	437300	5	3	99	28	8	4963100	620388	623750	11	8	99	12	12	6647600	553966.666666667
03-2019	19	03	Halton Region	775	649960004	838658	748000	1480	51.7	1716	2.7	98	25	-	393	416939472	1060915	933000	890	1129	97	28	37	26133807	706319	720000	60	44	99	16	65	35758200	550126	500000	107	108	99	23	112	51394300	458878	430350	166	215	99	27	157	111956925	713101	680000	245	210	99	17	269	163351225	607253.624535316
03-2019	19	03	Innisfil	77	43422100	563923	525000	229	30	375	6.8	97	44	-	60	33787300	563122	562150	197	322	97	46	0	-	-	-	1	1	-	-	0	-	-	-	1	2	-	-	0	-	-	-	11	19	-	-	16	9179800	573738	505000	18	31	97	38	-	-	-
03-2019	19	03	King	32	39199000	1224969	1187500	92	26.4	206	9	97	34	-	22	30887000	1403955	1382500	79	196	97	40	0	-	-	-	2	2	-	-	0	-	-	-	0	0	-	-	3	2377000	792333	807000	5	5	97	23	5	4340000	868000	840000	3	2	97	22	8	6717000	839625
03-2019	19	03	Markham	300	279330728	931102	892500	636	41.4	824	3.8	98	25	-	146	173787964	1190329	1164000	300	446	97	26	28	24255950	866284	834250	62	61	101	25	12	7660100	638342	622650	46	53	99	15	72	40056364	556338	481500	116	142	98	30	35	27839550	795416	782500	85	93	101	22	107	67895914	634541.252336449
03-2019	19	03	Milton	194	139181825	717432	686250	350	54.7	286	2.1	99	15	-	77	67906500	881903	869900	172	173	98	19	19	13192900	694363	697500	32	22	99	15	6	2903900	483983	485500	10	5	102	8	17	7713600	453741	450000	21	16	99	15	74	46819925	632702	632500	112	68	99	12	91	54533525	599269.505494506
03-2019	19	03	Mississauga	713	526674084	738673	670000	1308	55.1	1214	2.1	99	17	-	237	256743559	1083306	949000	547	590	98	20	107	77445436	723789	725000	135	98	100	12	123	71677187	582741	571000	198	159	99	15	216	99093602	458767	432000	370	322	99	19	27	18959300	702196	680000	50	39	98	19	243	118052902	485814.411522634
03-2019	19	03	New Tecumseth	58	35356916	609602	571500	122	49.9	202	3.8	97	29	-	43	28262916	657277	623000	87	145	98	30	5	2413000	482600	460000	3	5	94	19	0	-	-	-	4	5	-	-	2	697000	348500	348500	4	9	95	35	5	2259000	451800	445000	13	16	100	21	7	2956000	422285.714285714
03-2019	19	03	Newmarket	122	94418000	773918	749000	271	38.9	325	4.1	98	25	-	83	72042550	867983	821000	200	241	98	26	15	9123550	608237	640000	19	17	100	18	3	1584900	528300	480000	11	15	97	14	10	4714500	471450	420500	7	12	98	39	11	6952500	632045	635000	34	40	99	22	21	11667000	555571.428571429
03-2019	19	03	Oakville	284	287312659	1011664	867900	614	44.9	843	3.6	97	29	-	140	190097159	1357837	1216500	377	546	96	30	6	4787000	797833	762500	8	6	97	12	25	15668900	626756	524000	41	52	98	30	49	22750500	464296	425000	80	116	98	32	58	49302600	850045	819500	102	119	98	25	107	72053100	673393.457943925
03-2019	19	03	Orangeville	54	31710590	587233	549000	90	65.3	80	1.9	98	26	-	39	24933000	639308	609000	63	56	98	27	0	-	-	-	10	9	-	-	3	1004900	334967	340900	4	2	100	19	2	647500	323750	323750	1	1	101	16	10	5125190	512519	509250	12	12	98	25	12	5772690	481057.5
03-2019	19	03	Oshawa	232	114469810	493404	475000	436	45.9	435	2.6	99	20	-	149	83340260	559331	544000	327	338	99	20	25	10058300	402332	408000	36	29	99	11	22	7548550	343116	354500	28	25	99	28	16	4079800	254988	220000	18	14	98	19	19	9032900	475416	478000	24	26	100	18	35	13112700	374648.571428571
03-2019	19	03	Peel Region	1537	1128798396	734417	687000	2791	53.3	2527	2.2	98	18	-	687	640419681	932197	851000	1446	1492	98	21	259	177301026	684560	685000	379	255	99	13	186	101649987	546505	547500	282	218	99	17	264	117893452	446566	425500	446	376	99	19	133	85233350	640852	640000	219	170	99	19	397	203126802	511654.413098237
03-2019	19	03	Pickering	108	76307749	706553	660000	208	52.6	227	2.4	99	18	-	62	53445899	862031	796450	133	162	99	21	7	4306000	615143	624000	14	11	99	7	10	4865000	486500	475000	22	22	99	15	16	6580750	411297	412500	17	18	98	22	11	5714600	519509	542500	21	14	101	11	27	12295350	455383.333333333
03-2019	19	03	Richmond Hill	192	198639571	1034581	925000	569	33	800	5.3	96	28	-	102	140096850	1373499	1230250	346	542	95	33	8	6390000	798750	816000	21	37	98	15	6	3680500	613417	589500	14	21	99	16	41	19513688	475944	465000	94	98	98	28	33	27293533	827077	800000	88	96	101	19	74	46807221	632530.013513513
03-2019	19	03	Scugog	21	12864850	612612	596250	37	46.2	74	4.2	97	48	-	20	12407850	620393	598125	36	73	97	49	1	457000	457000	457000	0	0	97	28	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
03-2019	19	03	Simcoe County	254	152715723	601243	578750	598	40.4	915	4.7	97	35	-	198	123924523	625881	612500	498	753	97	35	8	4146000	518250	525000	9	12	96	16	2	889000	444500	444500	6	7	97	50	3	1027000	342333	330000	16	33	95	33	34	18110200	532653	467500	48	70	98	38	37	19137200	517221.621621622
03-2019	19	03	Toronto C01	377	292796229	776648	638000	646	63.2	561	1.5	102	16	-	4	7695750	1923938	1775000	8	10	108	12	14	22576408	1612601	1479000	20	19	111	12	25	21055899	842236	740000	28	20	103	15	322	225966171	701758	619950	571	500	100	16	12	15502001	1291833	1266000	19	12	112	23	334	241468172	722958.598802395
03-2019	19	03	Toronto C02	48	66797328	1391611	1312500	100	56.8	122	2	100	31	-	6	12668000	2111333	1945000	14	18	99	22	8	13923800	1740475	1352500	12	11	108	19	2	1996800	998400	998400	4	4	97	8	28	31543500	1126554	860000	63	82	98	39	3	5490228	1830076	1805228	7	7	103	22	31	37033728	1194636.38709677
03-2019	19	03	Toronto C03	32	45921018	1435032	1012500	73	54.8	85	2	101	14	-	18	33540018	1863334	1435000	34	37	101	9	4	4262500	1065625	1120000	11	10	106	35	0	-	-	-	1	2	-	-	10	8118500	811850	846500	26	35	102	14	0	-	-	-	0	0	-	-	-	-	-
03-2019	19	03	Toronto C04	65	107548742	1654596	1620000	115	46.5	155	2.6	99	18	-	41	87548424	2135327	2000000	92	131	98	16	2	2279000	1139500	1139500	4	4	98	6	1	1130000	1130000	1130000	2	1	97	2	20	14391318	719566	615759	17	17	103	22	1	2200000	2200000	2200000	0	0	92	51	21	16591318	790062.761904762
03-2019	19	03	Toronto C06	18	14845388	824744	619000	47	51.7	54	2.6	97	18	-	8	10056388	1257049	1177500	29	38	96	23	0	-	-	-	1	1	-	-	1	670000	670000	670000	1	1	99	22	9	4119000	457667	430000	16	14	99	13	0	-	-	-	0	0	-	-	-	-	-
03-2019	19	03	Toronto C07	78	67028280	859337	639000	171	43.7	232	3.4	98	22	-	21	32810700	1562414	1365000	66	116	97	24	1	770000	770000	770000	4	4	98	94	8	4591000	573875	597500	12	12	100	17	48	28856580	601179	563500	84	93	99	20	0	-	-	-	2	4	-	-	-	-	-
03-2019	19	03	Toronto C08	164	115649519	705180	627500	256	59.5	230	1.5	102	15	-	0	0	-	0	3	4	-	-	3	3851000	1283667	1320000	5	5	99	10	1	605000	605000	605000	11	11	99	56	152	101997019	671033	616500	222	202	101	15	7	8817500	1259643	1300000	13	7	110	10	159	110814519	696946.660377358
03-2019	19	03	Toronto C09	11	27947000	2540636	1402000	34	58.3	52	2.1	98	16	-	5	21680000	4336000	4200000	14	21	98	13	1	1402000	1402000	1402000	2	4	100	9	1	1200000	1200000	1200000	0	1	100	11	4	3665000	916250	917500	12	20	102	22	0	-	-	-	2	2	-	-	-	-	-
03-2019	19	03	Toronto C10	47	42401200	902153	749000	88	63.7	75	1.3	100	11	-	6	10627500	1771250	1691250	10	11	97	16	6	7471600	1245267	1265000	10	7	102	6	1	665000	665000	665000	2	4	97	49	33	22237100	673852	647000	65	51	101	10	1	1400000	1400000	1400000	1	2	101	5	34	23637100	695208.823529412
03-2019	19	03	Toronto C11	24	22346389	931100	529695	45	61.4	52	1.7	100	21	-	5	11414000	2282800	2115000	13	22	102	16	3	3562000	1187333	1252000	3	2	101	24	2	1006000	503000	503000	2	1	96	38	14	6364389	454599	407500	26	25	97	19	0	-	-	-	1	2	-	-	-	-	-
03-2019	19	03	Toronto C12	19	43384000	2283368	1625000	78	29.4	154	6.6	97	31	-	9	32693000	3632556	3875000	56	126	97	39	1	899000	899000	899000	1	2	86	37	2	2125000	1062500	1062500	7	10	98	15	7	7667000	1095286	910000	14	14	97	24	0	-	-	-	0	2	-	-	-	-	-
03-2019	19	03	Toronto C13	52	46469538	893645	690000	110	50.4	136	2.5	99	19	-	14	23816500	1701179	1608000	41	66	97	12	4	2883000	720750	720000	9	6	101	14	2	1293000	646500	646500	6	5	101	9	31	17477038	563775	495800	43	45	101	23	1	1000000	1000000	1000000	8	9	97	6	32	18477038	577407.4375
03-2019	19	03	Toronto C14	104	88871598	854535	589000	226	48.3	275	2.8	96	18	-	20	39012000	1950600	1932500	58	120	92	28	0	-	-	-	0	0	-	-	7	5627000	803857	831000	19	15	100	14	76	42682598	561613	535900	141	131	100	15	1	1550000	1550000	1550000	8	9	98	16	77	44232598	574449.324675325
03-2019	19	03	Toronto C15	119	91492637	768846	611000	220	49.7	256	2.8	98	26	-	18	28030999	1557278	1265000	60	94	96	33	11	9616888	874263	853000	18	15	97	36	16	11503800	718988	662450	25	29	100	22	74	42340950	572175	510000	116	118	98	23	0	-	-	-	0	0	-	-	-	-	-
03-2019	19	03	Toronto Central	1158	1073498866	927028	670500	2209	54.7	2439	2.1	100	18	-	175	351593279	2009104	1725000	498	814	97	21	58	73497196	1267193	1215000	100	90	105	21	69	53468499	774906	681000	120	116	101	18	828	557426163	673220	599950	1416	1347	100	18	26	35959729	1383067	1344750	61	56	107	19	854	593385892	694831.255269321
03-2019	19	03	Toronto E01	65	65048148	1000741	985000	98	66.4	58	0.9	113	10	-	8	11728661	1466083	1244000	20	14	116	7	29	30443587	1049779	995000	35	18	117	8	5	3971000	794200	756000	8	6	101	18	16	11594900	724681	632500	20	13	106	12	7	7310000	1044286	1010000	15	7	111	5	23	18904900	821952.173913043
03-2019	19	03	Toronto E02	57	64585322	1133076	1030000	83	63.8	55	1.1	104	11	-	25	35388007	1415520	1249000	30	22	103	11	15	16072260	1071484	986000	27	14	109	9	9	8183500	909278	792500	9	4	101	12	8	4941555	617694	594500	15	13	105	11	0	-	-	-	2	2	-	-	-	-	-
03-2019	19	03	Toronto E03	69	61579968	892463	940000	116	59.1	87	1.4	107	10	-	34	34775149	1022799	962181	71	67	107	10	19	20143120	1060164	1010000	22	7	111	6	0	-	-	-	0	1	-	-	14	5281799	377271	355500	21	12	99	14	2	1379900	689950	689950	2	0	99	6	16	6661699	416356.1875
03-2019	19	03	Toronto E04	86	57895325	673201	694950	126	60.8	101	1.7	100	16	-	40	33250705	831268	787003	74	61	100	15	8	4918500	614813	615000	7	1	102	17	6	3605000	600833	586000	10	6	101	16	24	10208370	425349	425000	32	32	100	16	8	5912750	739094	735000	2	0	100	17	32	16121120	503785
03-2019	19	03	Toronto E05	62	39636864	639304	582500	105	53.9	99	2.4	99	24	-	19	18219388	958915	973000	38	40	100	18	1	715000	715000	715000	1	1	97	9	8	4549688	568711	582500	17	17	101	27	29	12637000	435759	412000	42	37	98	24	5	3515788	703158	722000	6	3	97	40	34	16152788	475082
03-2019	19	03	Toronto E06	36	28701799	797272	742500	57	46.3	56	2.5	100	17	-	23	19738499	858196	753000	40	40	101	18	4	3005000	751250	748000	5	1	99	20	2	1745800	872900	872900	2	5	100	10	7	4212500	601786	545000	8	7	98	14	0	-	-	-	2	3	-	-	-	-	-
03-2019	19	03	Toronto E07	69	41032488	594674	470000	113	55	101	2.4	101	23	-	19	16959188	892589	841888	39	43	103	26	2	1401000	700500	700500	5	1	104	3	5	2937000	587400	567000	7	8	101	26	36	14702300	408397	420000	54	41	99	24	3	2005000	668333	684500	4	4	106	7	39	16707300	428392.307692308
