date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
06-2017	17	06	Adjala-Tosorontio	17	13921215	818895	725000	39	67.1	60	2.2	97	18	-	17	13921215	818895	725000	39	60	97	18	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Ajax	156	103679700	664613	636250	447	64.2	330	0.8	102	14	-	91	68522700	752997	732000	303	221	103	13	19	12191500	641658	635000	38	27	103	13	10	4514000	451400	465000	25	24	101	17	11	4522000	411091	375000	13	9	104	13	20	11093500	554675	553000	59	42	99	16	31	15615500	503725.806451613
06-2017	17	06	Aurora	67	69346488	1035022	1007000	239	55.7	284	1.3	95	17	-	41	50234688	1225236	1130000	156	187	94	16	5	3646000	729200	742000	16	15	97	21	8	6148800	768600	554400	15	22	99	20	3	1670000	556667	525000	7	15	99	10	10	7647000	764700	729500	39	40	100	18	13	9317000	716692.307692308
06-2017	17	06	Bradford West Gwillimbury	39	26144900	670382	670000	163	58.7	211	1.3	99	18	-	24	17249500	718729	755000	133	173	99	21	8	5101400	637675	640450	8	8	97	13	0	-	-	-	2	3	-	-	1	295000	295000	295000	3	4	98	14	3	1865000	621667	610000	10	11	104	17	4	2160000	540000
06-2017	17	06	Brampton	743	509699610	686002	651000	2035	60	1900	1	100	16	-	400	320498573	801246	750000	1140	1086	99	15	146	92240788	631786	635000	414	363	100	16	64	29046050	453845	441500	116	112	103	19	43	15110900	351416	355000	86	86	99	19	86	50629299	588713	595000	262	237	100	14	129	65740199	509613.945736434
06-2017	17	06	Brock	15	10083300	672220	425000	41	69.4	74	2.2	102	17	-	14	9888300	706307	427500	40	73	102	16	0	-	-	-	0	0	-	-	1	195000	195000	195000	1	1	87	30	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Burlington	232	178186979	768047	665250	478	70.7	495	1.1	99	15	-	115	115251399	1002186	900000	294	345	98	16	14	8895900	635421	650000	28	23	101	13	50	25915680	518314	499950	68	54	99	17	29	12832400	442497	410000	42	35	101	9	19	11646100	612953	610000	37	34	99	17	48	24478500	509968.75
06-2017	17	06	Caledon	82	81857596	998263	857500	226	57.7	309	1.9	97	17	-	64	70569273	1102645	932500	170	254	97	18	5	3216000	643200	639000	22	28	99	15	1	465000	465000	465000	0	0	99	29	0	-	-	-	0	0	-	-	11	6920323	629120	663323	33	27	101	11	-	-	-
06-2017	17	06	City of Toronto	3139	2603735455	829479	635000	6295	66.7	6000	1.2	101	15	-	848	1175771928	1386524	1085313	2096	2196	100	14	273	269561393	987404	872022	561	487	103	12	219	132731325	606079	560000	410	366	101	16	1702	940659809	552679	475000	2971	2708	101	15	77	75785600	984229	902000	203	193	103	16	1779	1016445409	571357.734120292
06-2017	17	06	City of Toronto Total	3139	2603735455	829479	635000	6295	66.7	6000	1.2	101	15	-	848	1175771928	1386524	1085313	2096	2196	100	14	273	269561393	987404	872022	561	487	103	12	219	132731325	606079	560000	410	366	101	16	1702	940659809	552679	475000	2971	2708	101	15	77	75785600	984229	902000	203	193	103	16	1779	1016445409	571357.734120292
06-2017	17	06	Clarington	162	86478889	533820	505000	461	67	383	0.9	102	12	-	100	59358188	593582	585000	349	316	101	14	8	3393051	424131	432276	14	7	107	5	3	1647500	549167	435000	10	7	97	11	11	3592400	326582	330000	28	20	100	10	27	12197250	451750	450000	32	14	106	9	38	15789650	415517.105263158
06-2017	17	06	Dufferin County	61	30861798	505931	500000	111	78.4	99	0.7	99	18	-	36	21085800	585717	591450	64	57	99	16	4	1692300	423075	418700	13	14	97	31	3	1054000	351333	345000	5	4	101	9	5	1029400	205880	232000	4	7	99	37	12	5500298	458358	456500	24	16	99	11	17	6529698	384099.882352941
06-2017	17	06	Durham Region	997	613218495	615064	565000	2639	65.5	2216	0.9	101	14	-	654	450635030	689044	635000	1995	1768	100	14	81	39799828	491356	456000	150	101	103	11	67	27250900	406730	415000	131	99	102	16	44	17260477	392284	367200	87	65	103	13	120	63052260	525436	530000	222	147	102	13	164	80312737	489711.81097561
06-2017	17	06	East Gwillimbury	27	26604000	985333	783000	120	53.3	183	1.8	98	17	-	21	22568000	1074667	900000	106	169	97	18	2	1478000	739000	739000	4	2	99	16	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	4	2558000	639500	619000	10	12	104	14	-	-	-
06-2017	17	06	Essa	32	16809700	525303	481000	65	70.7	102	1.4	98	22	-	22	12750900	579586	590000	50	82	98	21	0	-	-	-	0	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	7	2748900	392700	388000	7	6	100	13	-	-	-
06-2017	17	06	Georgina	57	36143380	634094	560000	267	57.1	409	1.5	96	25	-	49	31972900	652508	570000	241	380	96	25	2	1007180	503590	503590	9	8	97	32	0	-	-	-	0	1	-	-	0	-	-	-	1	3	-	-	6	3163300	527217	519500	14	16	98	25	-	-	-
06-2017	17	06	Halton Hills	95	68780895	724009	650000	176	75.6	151	1.1	101	12	-	69	54447488	789094	763000	135	128	101	12	10	5330000	533000	522800	7	2	101	8	3	1380000	460000	455000	5	4	102	13	2	995000	497500	497500	7	6	96	35	9	5275307	586145	565000	21	11	100	10	11	6270307	570027.909090909
06-2017	17	06	Halton Region	801	687991852	858916	752000	1876	66	1884	1.2	99	17	-	440	471671215	1071980	950000	1112	1240	98	19	53	36126900	681640	670000	117	79	100	12	80	42509368	531367	490000	132	132	100	18	76	36830400	484611	420000	147	152	100	16	143	94150470	658395	630000	348	267	99	14	219	130980870	598086.164383562
06-2017	17	06	Innisfil	65	36647700	563811	532500	250	53.5	323	1.8	100	20	-	58	33404500	575940	550000	234	302	100	20	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	2	4	-	-	6	2653200	442200	436850	14	16	101	19	-	-	-
06-2017	17	06	King	28	38581000	1377893	1287500	120	50.8	170	2.7	95	20	-	26	37841000	1455423	1380000	110	157	95	19	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	2	740000	370000	370000	0	1	97	31	0	-	-	-	6	8	-	-	-	-	-
06-2017	17	06	Markham	303	291521556	962117	875000	939	59	1044	1.2	100	16	-	112	159396068	1423179	1295000	459	576	100	17	23	20022100	870526	850000	71	61	100	15	25	15535300	621412	610000	59	59	101	17	80	38256688	478209	447000	176	163	101	16	43	39740900	924207	856800	103	108	101	17	123	77997588	634126.731707317
06-2017	17	06	Milton	216	162483349	752238	680250	532	64.2	401	0.9	99	16	-	98	94617798	965488	881500	244	219	99	19	18	12541000	696722	689000	54	35	101	12	9	4202888	466988	460000	22	16	101	18	19	8137300	428279	420000	40	31	101	14	72	42984363	597005	595500	170	99	99	13	91	51121663	561776.516483516
06-2017	17	06	Mississauga	837	585845904	699935	645000	2033	65.6	1901	1.1	99	15	-	273	291413535	1067449	940000	749	797	99	14	109	77106511	707399	690000	287	239	100	14	139	77149723	555034	546000	381	314	100	14	279	113558835	407021	379000	515	466	100	17	33	22929300	694827	681000	78	62	100	12	312	136488135	437461.971153846
06-2017	17	06	New Tecumseth	66	39310100	595608	550000	137	72.2	182	1.2	98	20	-	41	27534400	671571	605000	102	140	98	18	4	2051900	512975	519450	5	5	97	23	1	350000	350000	350000	1	3	93	36	3	1033000	344333	298000	4	5	100	18	10	4475900	447590	452500	17	17	98	18	13	5508900	423761.538461538
06-2017	17	06	Newmarket	108	85584400	792448	742500	351	56.7	396	1.1	99	18	-	62	57031000	919855	847500	261	294	99	16	14	9348000	667714	672500	39	52	100	17	5	2981000	596200	615000	15	14	95	30	8	3500900	437613	430000	7	1	104	13	18	12038500	668806	657500	29	35	99	20	26	15539400	597669.230769231
06-2017	17	06	Oakville	258	278540629	1079615	967500	690	62.4	837	1.3	98	22	-	158	207354530	1312370	1140000	439	548	97	24	11	9360000	850909	885000	28	19	98	15	18	11010800	611711	535000	37	58	100	20	26	14865700	571758	438000	58	80	100	25	43	34244700	796388	768000	120	123	98	15	69	49110400	711744.927536232
06-2017	17	06	Orangeville	61	30861798	505931	500000	111	78.4	99	0.7	99	18	-	36	21085800	585717	591450	64	57	99	16	4	1692300	423075	418700	13	14	97	31	3	1054000	351333	345000	5	4	101	9	5	1029400	205880	232000	4	7	99	37	12	5500298	458358	456500	24	16	99	11	17	6529698	384099.882352941
06-2017	17	06	Oshawa	293	142560676	486555	465000	819	64	661	0.8	101	13	-	199	105625298	530780	515000	639	530	101	13	39	15984377	409856	410000	69	45	103	13	25	7933000	317320	315000	54	38	102	14	6	1941500	323583	330000	17	16	108	8	17	8204001	482588	500000	33	29	101	15	23	10145501	441108.739130435
06-2017	17	06	Peel Region	1662	1177403110	708425	655400	4294	62.5	4110	1.1	99	15	-	737	682481381	926026	840000	2059	2137	99	15	260	172563299	663705	658000	723	630	100	15	204	106660773	522847	507000	497	426	101	15	322	128669735	399595	375000	601	552	100	17	130	80478922	619069	617500	373	326	100	13	452	209148657	462718.267699115
06-2017	17	06	Pickering	119	88486724	743586	675000	285	65.9	255	0.9	100	15	-	70	62837947	897685	794900	201	182	99	15	7	4186900	598129	575000	12	10	104	10	17	7917900	465759	441000	21	19	103	14	10	4432977	443298	390000	21	15	106	14	15	9111000	607400	623000	29	27	100	18	25	13543977	541759.08
06-2017	17	06	Richmond Hill	184	208803616	1134802	989500	655	55.9	795	1.4	99	17	-	90	150809478	1675661	1450000	391	518	98	18	2	1687000	843500	843500	20	36	99	13	8	5484500	685563	722500	16	13	98	19	60	28400988	473350	426250	105	93	100	14	19	17532650	922771	910000	109	120	99	17	79	45933638	581438.455696203
06-2017	17	06	Scugog	33	22001385	666709	650000	60	69.7	75	1.4	98	17	-	32	21628385	675887	650000	59	75	98	17	1	373000	373000	373000	1	0	99	9	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Simcoe County	219	132833615	606546	570000	654	62.3	878	1.5	99	20	-	162	104860515	647287	610250	558	757	99	20	12	7153300	596108	607500	13	14	97	17	1	350000	350000	350000	3	6	93	36	4	1328000	332000	296500	9	13	99	17	26	11743000	451654	434350	48	50	100	17	30	13071000	435700
06-2017	17	06	Toronto C01	529	352661433	666657	552000	912	71.6	866	1.2	102	16	-	5	7682000	1536400	1698000	10	16	99	20	16	21797400	1362338	1099950	35	30	104	10	29	21399900	737928	655000	42	34	101	11	461	279920133	607202	535000	803	763	102	16	17	21417000	1259824	1180000	21	21	102	27	478	301337133	630412.412133891
06-2017	17	06	Toronto C02	77	134395800	1745400	1295000	151	57.4	168	2.1	100	19	-	19	45046500	2370868	2325000	31	31	102	13	15	26074000	1738267	1304000	28	17	104	9	4	4415000	1103750	972500	4	3	98	10	34	52970300	1557950	935000	73	104	96	27	3	4815000	1605000	1500000	13	12	104	13	37	57785300	1561764.86486486
06-2017	17	06	Toronto C03	41	51024823	1244508	902000	88	61.5	91	1.3	103	13	-	19	33490800	1762674	1475000	48	50	104	8	9	8121023	902336	692000	13	9	98	15	0	-	-	-	1	2	-	-	11	8523000	774818	635000	24	28	104	21	0	-	-	-	0	1	-	-	-	-	-
06-2017	17	06	Toronto C04	73	146659688	2009037	1780000	135	60.7	139	1.3	99	14	-	53	128214188	2419136	2100000	97	101	99	13	7	8428000	1204000	1206000	7	3	97	10	0	-	-	-	1	0	-	-	12	9710500	809208	610500	27	31	102	20	0	-	-	-	2	2	-	-	-	-	-
06-2017	17	06	Toronto C06	37	35083151	948193	599900	74	66.2	69	1.1	97	18	-	17	24983001	1469588	1350000	37	41	96	18	0	-	-	-	0	1	-	-	0	-	-	-	2	1	-	-	19	9198150	484113	449000	35	26	101	18	1	902000	902000	902000	0	0	100	28	20	10100150	505007.5
06-2017	17	06	Toronto C07	84	71018576	845459	571000	245	62.3	269	1.3	98	18	-	16	31029000	1939313	1782500	78	114	95	22	1	1092000	1092000	1092000	5	9	94	20	7	3834888	547841	530000	13	12	99	30	58	33189188	572227	515000	139	125	100	16	1	1125000	1125000	1125000	6	7	94	29	59	34314188	581596.406779661
06-2017	17	06	Toronto C08	199	123932196	622775	560000	342	70.6	315	1.2	102	14	-	1	1040000	1040000	1040000	1	1	95	7	3	4355000	1451667	1480000	8	11	110	13	10	5821500	582150	492500	13	11	101	17	183	109901696	600556	553100	309	270	102	13	2	2814000	1407000	1407000	11	21	96	9	185	112715696	609274.032432432
06-2017	17	06	Toronto C09	29	67216420	2317808	1940000	44	69.1	46	1.5	99	16	-	15	48820587	3254706	2950000	20	21	98	15	1	2175000	2175000	2175000	3	4	118	6	0	-	-	-	0	0	-	-	12	15520833	1293403	957000	19	19	100	17	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Toronto C10	64	67155199	1049300	889500	89	68.1	82	1.1	101	12	-	17	29602999	1741353	1600000	24	17	100	12	10	13367500	1336750	1340000	6	8	104	13	1	660000	660000	660000	4	3	116	12	36	23524700	653464	567500	53	52	100	13	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Toronto C11	50	44400536	888011	507500	69	74	47	0.8	102	11	-	16	28800237	1800015	1725000	21	18	102	11	2	2151000	1075500	1075500	5	4	98	8	3	1722000	574000	650000	1	0	103	11	28	10652299	380439	379250	37	23	101	11	1	1075000	1075000	1075000	5	2	108	1	29	11727299	404389.620689655
06-2017	17	06	Toronto C12	25	63082250	2523290	2370000	76	57.8	104	2.1	97	17	-	14	53204000	3800286	2825000	55	84	96	17	0	-	-	-	1	1	-	-	5	4218000	843600	985000	9	11	101	17	6	5660250	943375	904000	11	8	109	18	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Toronto C13	81	82464101	1018075	715000	140	71	108	0.9	105	11	-	27	51713688	1915322	1600000	65	55	106	8	4	4931000	1232750	1185500	10	7	104	10	5	3234750	646950	727000	3	1	101	13	43	21089663	490457	412000	59	42	102	13	1	1135000	1135000	1135000	3	3	96	3	44	22224663	505105.977272727
06-2017	17	06	Toronto C14	133	108209100	813602	550000	314	65.9	308	1.3	99	16	-	17	41911000	2465353	2520000	65	96	96	17	1	1150000	1150000	1150000	1	1	96	41	9	6534000	726000	583000	19	14	100	17	103	54684100	530914	505000	223	189	102	15	3	3930000	1310000	1360000	5	7	104	19	106	58614100	552963.20754717
06-2017	17	06	Toronto C15	140	99385609	709897	535000	253	69.3	266	1.1	101	15	-	18	33168100	1842672	1529000	46	62	101	16	7	5597022	799575	787000	19	33	95	10	23	15033500	653630	600000	30	24	101	17	92	45586987	495511	436500	156	145	101	14	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Toronto Central	1562	1446688882	926177	610000	2932	67.7	2878	1.3	100	15	-	254	558706100	2199630	1855800	598	707	99	14	76	99238945	1305776	1199000	141	138	103	11	96	66873538	696599	637500	142	116	101	15	1098	680131799	619428	525000	1968	1825	101	15	29	37213000	1283207	1195000	66	76	102	22	1127	717344799	636508.251109139
06-2017	17	06	Toronto E01	82	80784445	985176	961500	132	68.4	79	0.7	105	11	-	20	24529400	1226470	1075000	34	20	107	10	34	35825445	1053690	972500	52	28	103	11	3	1799100	599700	650000	11	9	103	18	14	8195000	585357	527000	20	11	104	9	11	10435500	948682	938000	15	11	108	13	25	18630500	745220
06-2017	17	06	Toronto E02	63	66432891	1054490	930000	126	67.1	88	0.9	102	11	-	27	34573913	1280515	1110000	56	43	100	12	20	19987978	999399	975000	46	28	107	6	4	2969000	742250	739500	5	2	98	11	7	4682000	668857	575000	9	8	96	14	4	3485000	871250	850000	9	5	107	10	11	8167000	742454.545454545
06-2017	17	06	Toronto E03	77	66648230	865561	865000	174	62.7	132	0.9	103	14	-	42	42233229	1005553	897500	123	97	102	17	22	20283101	921959	921500	33	23	105	11	0	-	-	-	1	1	-	-	13	4131900	317838	280000	14	9	99	13	0	-	-	-	3	2	-	-	-	-	-
06-2017	17	06	Toronto E04	93	50837600	546641	485000	215	63.8	203	1	101	12	-	38	29939000	787868	762500	114	117	100	11	4	2713800	678450	669400	14	14	103	19	7	3513000	501857	475000	11	8	106	11	43	13906800	323414	328000	65	56	102	13	1	765000	765000	765000	11	8	109	7	44	14671800	333450
06-2017	17	06	Toronto E05	57	39297708	689433	590000	170	64.4	159	1	100	15	-	21	21239700	1011414	970000	62	70	101	17	1	650000	650000	650000	14	15	94	4	13	7469000	574538	580000	32	24	100	14	21	9159008	436143	412000	55	45	101	15	0	-	-	-	1	2	-	-	-	-	-
06-2017	17	06	Toronto E06	24	20471800	852992	718750	76	55.5	69	1.2	100	15	-	19	17889900	941574	800000	62	61	100	15	2	1217000	608500	608500	5	2	100	11	0	-	-	-	1	0	-	-	3	1364900	454967	470000	8	6	99	22	0	-	-	-	0	0	-	-	-	-	-
06-2017	17	06	Toronto E07	70	39267378	560963	420500	195	62.6	182	1.2	101	16	-	16	15490000	968125	942450	64	66	102	18	4	3012000	753000	745000	17	12	102	7	4	2501000	625250	617500	13	12	102	21	42	15472578	368395	364000	86	79	100	15	2	1302800	651400	651400	5	1	109	8	44	16775378	381258.590909091
06-2017	17	06	Toronto E08	41	29574501	721329	635000	111	66.6	104	1	102	10	-	20	21107501	1055375	847500	59	60	101	9	0	-	-	-	2	1	-	-	6	3007500	501250	517500	12	9	107	5	14	4619500	329964	298750	32	25	104	13	1	840000	840000	840000	6	9	99	26	15	5459500	363966.666666667
06-2017	17	06	Toronto E09	93	51459500	553328	530000	213	68.2	197	1	103	15	-	38	27876500	733592	726500	104	94	103	14	5	3325000	665000	670000	9	7	99	14	5	2098500	419700	442500	12	14	99	18	44	17514500	398057	387500	86	79	103	15	1	645000	645000	645000	2	3	101	22	45	18159500	403544.444444444
06-2017	17	06	Toronto E10	52	41622900	800440	830000	115	58.1	121	1.3	99	16	-	34	33189000	976147	885000	78	85	99	18	4	2780000	695000	690000	5	5	105	18	6	2648000	441333	440000	15	17	98	15	5	1258000	251600	198000	6	4	110	8	3	1747900	582633	545000	10	9	99	7	8	3005900	375737.5
06-2017	17	06	Toronto E11	79	38902991	492443	487500	177	67.6	151	1	102	14	-	18	12298500	683250	700000	52	57	101	14	10	6770600	677060	692500	18	14	101	12	11	5503988	500363	490000	28	28	102	10	35	11351003	324314	347265	47	26	103	16	5	2978900	595780	630000	24	20	103	10	40	14329903	358247.575
06-2017	17	06	Toronto East	731	525299944	718605	688000	1704	64.5	1485	1	102	14	-	293	280366643	956883	850000	808	770	101	14	106	96564924	910990	842500	215	149	104	11	59	31509088	534052	540000	141	124	101	13	241	91655189	380312	355000	428	348	102	14	28	22200100	792861	743950	86	70	106	11	269	113855289	423253.862453532
06-2017	17	06	Toronto W01	90	80220083	891334	621250	108	71.5	89	1	102	14	-	18	34043800	1891322	1722500	24	29	99	14	12	13067883	1088990	1093450	12	8	108	12	4	2544500	636125	569500	8	7	101	17	54	28723900	531924	490000	61	40	104	13	2	1840000	920000	920000	3	5	97	22	56	30563900	545783.928571429
06-2017	17	06	Toronto W02	87	78453464	901764	862324	150	69.6	109	0.8	104	11	-	25	31384788	1255392	1160000	57	47	103	11	29	26366853	909202	875000	39	22	103	11	5	3635099	727020	751099	10	9	103	8	21	11397724	542749	425000	33	23	103	11	6	5404000	900667	882500	11	8	109	7	27	16801724	622286.074074074
06-2017	17	06	Toronto W03	55	36246600	659029	660000	132	63.8	123	1	102	14	-	31	22074000	712065	690000	63	63	103	14	13	8910600	685431	690000	49	48	100	14	3	1586000	528667	492000	5	2	101	12	7	2896000	413714	380000	10	5	100	10	1	780000	780000	780000	5	5	98	63	8	3676000	459500
06-2017	17	06	Toronto W04	68	41954976	616985	617500	139	63.8	167	1.4	102	18	-	35	28887888	825368	830000	87	108	103	17	3	2103888	701296	685000	9	16	107	12	4	1998900	499725	507950	11	14	103	13	25	8419300	336772	315000	28	24	100	20	1	545000	545000	545000	4	5	94	20	26	8964300	344780.769230769
06-2017	17	06	Toronto W05	90	50358900	559543	570000	220	64.7	259	1.6	99	19	-	17	15220000	895294	830000	60	76	99	23	24	16117300	671554	636000	70	83	99	16	25	10495800	419832	430000	42	48	99	22	20	7246800	362340	354000	36	44	101	17	1	704000	704000	704000	10	7	101	35	21	7950800	378609.523809524
06-2017	17	06	Toronto W06	136	83775185	615994	542500	272	66.5	252	1.4	101	16	-	21	19554375	931161	850000	74	80	99	14	1	999000	999000	999000	10	6	95	1	7	6734000	962000	635000	10	6	97	19	102	52805910	517705	462750	164	146	102	16	4	3439000	859750	927000	8	9	100	12	106	56244910	530612.358490566
