date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
01-2014	14	1	Adjala-Tosorontio	9	3879000	431000	342500	15	48.3	53	6	97	99	-	9	3879000	431000	342500	15	53	97	99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01-2014	14	1	Ajax	88	34994400	397664	361000	133	64.3	104	1.4	99	22	-	49	21949700	447953	431500	82	62	99	23	14	4951800	353700	356000	13	4	100	15	4	1158100	289525	289050	8	5	101	12	3	687400	229133	226500	8	15	98	51	17	5917400	348082	347000	20	15	98	23	20	6604800	330240
01-2014	14	1	Aurora	33	21852824	662207	575000	78	57.8	110	2.8	97	33	-	22	16905750	768443	613000	49	73	96	35	2	880575	440288	440288	3	2	97	34	2	1079500	539750	539750	6	9	100	28	3	1192000	397333	276000	12	19	99	58	4	1794999	448750	443500	8	7	103	5	7	2986999	426714.1429
01-2014	14	1	Bradford West Gwillimbury	26	11380300	437704	407450	54	57.2	97	2.9	97	41	-	17	8276300	486841	465000	40	82	97	47	4	1388000	347000	353000	8	7	98	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1065000	355000	355000	3	4	98	38	-	-	-
01-2014	14	1	Brampton	403	164779867	408883	392000	775	49.5	1001	2.7	98	37	-	208	98080599	471541	454500	448	626	98	38	84	31983691	380758	382500	136	128	98	32	29	7928200	273386	271000	54	64	98	39	26	5776500	222173	222500	57	108	96	48	53	19689877	371507	370000	72	65	98	33	79	25466377	322359.2025
01-2014	14	1	Brock	9	2170500	241167	215000	25	46.7	66	6.8	96	93	-	9	2170500	241167	215000	24	63	96	93	-	-	-	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01-2014	14	1	Burlington	67	40069386	598051	498000	119	60.2	196	2.8	96	51	-	39	29578786	758430	590000	70	119	96	63	5	2606000	521200	420000	13	15	100	25	9	3036600	337400	317000	7	11	98	29	9	2660000	295556	315000	21	44	97	46	4	1723000	430750	417250	8	6	99	4	13	4383000	337153.8462
01-2014	14	1	Caledon	45	26547000	589933	516000	108	46.5	215	4.3	96	50	-	35	22241300	635466	539900	83	192	96	53	2	872800	436400	436400	8	7	97	12	-	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	6	2358900	393150	367450	12	12	98	26	-	-	-
01-2014	14	1	City of Toronto	1551	856763881	552395	435000	3610	51.8	4871	2.7	99	36	-	463	411241322	888210	695000	929	1062	99	28	134	83390689	622319	543000	189	152	102	23	106	35588769	335743	311944	196	250	98	34	767	280737662	366020	325000	2186	3293	97	43	68	40867039	600986	532500	83	74	100	27	835	321604701	385155.3305
01-2014	14	1	City of Toronto Total	1551	856763881	552395	435000	3610	51.8	4871	2.7	99	36	-	463	411241322	888210	695000	929	1062	99	28	134	83390689	622319	543000	189	152	102	23	106	35588769	335743	311944	196	250	98	34	767	280737662	366020	325000	2186	3293	97	43	68	40867039	600986	532500	83	74	100	27	835	321604701	385155.3305
01-2014	14	1	Clarington	85	27635140	325119	305000	147	63.8	147	1.8	98	33	-	61	21577890	353736	335000	117	128	98	35	3	591000	197000	205000	2	2	91	51	1	622000	622000	622000	1	1	98	50	2	321500	160750	160750	7	8	98	38	15	3671650	244777	242000	14	4	99	16	17	3993150	234891.1765
01-2014	14	1	Dufferin County	29	10238100	353038	336500	49	63.1	95	2.8	98	54	-	17	6870200	404129	355000	34	76	97	64	4	1173000	293250	284000	5	7	98	49	1	163000	163000	163000	4	5	96	63	2	574900	287450	287450	3	5	98	31	5	1457000	291400	292000	3	2	98	32	7	2031900	290271.4286
01-2014	14	1	Durham Region	484	191619983	395909	345000	859	63.5	919	1.8	97	30	-	320	144641284	452004	385250	627	725	97	33	45	12936399	287476	278000	49	23	99	20	27	7115500	263537	255000	51	54	99	31	20	4158800	207940	225700	37	59	99	43	55	17025000	309545	315000	75	49	99	19	75	21183800	282450.6667
01-2014	14	1	East Gwillimbury	23	13341900	580083	505000	34	56.9	64	3.6	97	70	-	19	11558200	608326	537500	29	56	96	69	4	1783700	445925	443950	2	4	100	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	-	-	-	-	-
