date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
11-2019	19	11	Adjala-Tosorontio	8	4557500	569688	587500	8	59.5	43	3.4	94	80	-	8	4557500	569688	587500	8	43	94	80	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
11-2019	19	11	Ajax	144	96306054	668792	646500	150	60.7	171	1.6	100	20	-	96	69754065	726605	705000	106	132	99	21	11	6653699	604882	597000	10	5	102	17	8	3647000	455875	452500	4	3	99	19	8	3528900	441113	416000	5	4	99	20	21	12722390	605828	616000	23	25	102	20	29	16251290	560389.310344828
11-2019	19	11	Aurora	64	59406878	928232	870000	102	45.7	183	3.4	98	32	-	40	42415578	1060389	955250	64	141	97	37	8	6348000	793500	757500	4	2	101	27	3	1567400	522467	555000	8	13	99	20	4	2025300	506325	495150	7	13	97	33	9	7050600	783400	752800	19	14	101	17	13	9075900	698146.153846154
11-2019	19	11	Bradford West Gwillimbury	55	39648100	720875	720000	58	50.9	108	2.9	98	27	-	43	32912200	765400	775000	42	97	98	28	3	1475900	491967	505900	5	3	98	28	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	6	3553000	592167	594500	7	4	98	13	-	-	-
11-2019	19	11	Brampton	655	481097100	734499	710000	779	61.6	741	1.5	99	21	-	334	284160403	850780	825000	409	473	98	24	131	90131279	688025	695000	150	106	100	17	49	25428713	518953	512500	67	53	99	20	45	19124405	424987	410000	49	38	98	20	92	59591300	647732	649500	98	66	100	18	137	78715705	574567.189781022
11-2019	19	11	Brock	14	9315000	665357	510000	24	46.4	73	4.8	88	37	-	13	8790000	676154	495000	24	71	88	39	1	525000	525000	525000	0	0	98	9	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	0	-	-	-	0	1	-	-	-	-	-
11-2019	19	11	Burlington	195	159544473	818177	740000	223	64.7	314	2	98	27	-	101	105944135	1048952	959000	129	222	98	34	6	4195500	699250	707500	8	5	100	12	27	15049100	557374	525000	28	25	99	19	42	20781688	494802	447500	42	50	99	23	16	10965050	685316	667450	12	10	100	13	58	31746738	547357.551724138
11-2019	19	11	Caledon	70	63651941	909313	855000	71	51.3	201	3.2	97	31	-	55	53339541	969810	925000	58	187	97	32	3	2127000	709000	700000	3	4	100	20	0	-	-	-	0	0	-	-	0	-	-	-	0	2	-	-	11	7296400	663309	674900	9	7	99	24	-	-	-
11-2019	19	11	City of Toronto	2718	2474517578	910419	739000	3308	60.7	3918	1.8	100	21	-	788	1071874186	1360246	1050000	1045	1618	99	23	247	263555663	1067027	955000	254	190	105	18	189	125261945	662762	599000	248	287	101	20	1368	902681822	659855	591044	1629	1707	100	21	105	99147699	944264	816000	111	93	103	16	1473	1001829521	680128.663272234
11-2019	19	11	City of Toronto Total	2718	2474517578	910419	739000	3308	60.7	3918	1.8	100	21	-	788	1071874186	1360246	1050000	1045	1618	99	23	247	263555663	1067027	955000	254	190	105	18	189	125261945	662762	599000	248	287	101	20	1368	902681822	659855	591044	1629	1707	100	21	105	99147699	944264	816000	111	93	103	16	1473	1001829521	680128.663272234
11-2019	19	11	Clarington	150	87396499	582643	541500	177	55.1	247	2.1	99	24	-	114	70079800	614735	587500	131	198	98	27	3	1448000	482667	495000	7	5	100	10	7	3520400	502914	465000	4	5	98	18	4	1450500	362625	365250	9	14	99	23	14	6761800	482986	484950	18	19	101	15	18	8212300	456238.888888889
11-2019	19	11	Dufferin County	41	23594100	575466	562000	36	72.1	49	1.5	98	35	-	29	17936850	618512	610000	26	37	98	43	2	963000	481500	481500	3	6	99	18	1	385000	385000	385000	1	0	102	11	3	1220000	406667	340000	1	4	97	25	6	3089250	514875	507625	5	2	100	11	9	4309250	478805.555555556
11-2019	19	11	Durham Region	872	533552435	611872	584900	1044	56.3	1363	2.1	99	23	-	581	391092685	673137	645000	747	1096	98	25	63	32004646	508010	490000	57	31	101	18	72	31010211	430697	450000	51	48	100	22	44	17563614	399173	407450	63	71	99	24	95	52690280	554635	553000	107	101	100	18	139	70253894	505423.697841727
11-2019	19	11	East Gwillimbury	43	34003568	790781	752990	59	42.1	133	4.2	96	32	-	31	26191878	844899	833000	53	121	96	31	4	2834700	708675	721900	0	1	97	73	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	8	4976990	622124	634995	6	11	99	17	-	-	-
11-2019	19	11	Essa	32	19165399	598919	494000	23	54.6	63	3.3	96	46	-	27	16961399	628200	539999	19	58	96	52	1	457000	457000	457000	0	0	99	18	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	4	1747000	436750	431000	4	2	99	13	-	-	-
11-2019	19	11	Georgina	68	40369200	593665	577450	98	41.8	210	3.9	98	40	-	64	38245200	597581	580000	94	199	98	42	1	545000	545000	545000	1	4	100	8	0	-	-	-	0	2	-	-	0	-	-	-	0	0	-	-	3	1579000	526333	525000	3	4	119	18	-	-	-
11-2019	19	11	Halton Hills	77	58933280	765367	725000	95	58.6	131	2.1	98	24	-	56	47156280	842076	826000	75	116	97	25	2	1275000	637500	637500	3	2	98	18	8	3716000	464500	474000	5	1	101	16	3	1409000	469667	499000	2	5	99	19	8	5377000	672125	647500	10	7	99	28	11	6786000	616909.090909091
11-2019	19	11	Halton Region	668	595878520	892034	790500	808	59	1174	2.2	98	26	-	369	408442792	1106891	998000	492	881	97	31	34	24658600	725253	730000	31	23	100	17	68	37889600	557200	529000	61	50	99	19	89	46528788	522795	485000	99	113	99	21	101	71837740	711265	679900	119	102	99	17	190	118366528	622981.72631579
11-2019	19	11	Innisfil	82	48048200	585954	549500	122	37.1	307	5.5	97	58	-	71	42515700	598813	555000	105	239	97	63	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	1	695000	695000	695000	9	32	87	39	9	4357500	484167	470000	8	35	97	22	10	5052500	505250
11-2019	19	11	King	23	30670000	1333478	1215000	60	27.1	242	9.6	95	44	-	20	28340000	1417000	1347500	52	226	95	49	0	-	-	-	0	2	-	-	0	-	-	-	0	0	-	-	1	345000	345000	345000	3	7	99	21	2	1985000	992500	992500	4	4	99	9	3	2330000	776666.666666667
11-2019	19	11	Markham	275	289045094	1051073	950000	367	50.9	581	2.7	99	26	-	141	189874728	1346629	1199000	193	357	99	30	19	16299688	857878	856000	23	13	101	16	17	11910800	700635	610000	14	30	99	22	50	30047688	600954	524850	75	103	99	26	36	30037490	834375	806650	47	62	100	19	86	60085178	698664.860465116
11-2019	19	11	Milton	156	122677600	786395	739950	155	67.3	137	1.4	99	20	-	76	72636600	955745	897500	81	97	99	28	18	13023200	723511	728500	16	10	100	14	7	3613900	516271	490000	3	2	101	14	12	6032000	502667	501000	15	8	100	10	42	26966900	642069	650000	40	19	100	11	54	32998900	611090.740740741
11-2019	19	11	Mississauga	644	508605623	789760	739500	744	63	887	1.7	98	21	-	227	250829390	1104975	999900	316	507	97	24	97	74541388	768468	759000	91	63	100	17	123	75023305	609946	609900	113	103	100	21	168	86279040	513566	478500	200	192	100	20	25	18951500	758060	750000	20	19	99	24	193	105230540	545235.958549223
11-2019	19	11	New Tecumseth	69	42738830	619403	580000	72	57.5	155	3	97	42	-	44	31095750	706722	681250	47	118	96	44	1	452500	452500	452500	6	3	98	16	0	-	-	-	1	2	-	-	8	2802000	350250	334750	5	10	98	44	10	4770080	477008	474990	8	5	100	24	18	7572080	420671.111111111
11-2019	19	11	Newmarket	128	105506766	824272	770000	140	51.3	187	2.7	98	24	-	86	79903476	929110	890000	92	143	97	26	10	6702000	670200	684000	14	12	99	20	6	3578990	596498	566000	6	4	101	17	7	2941500	420214	413000	6	5	97	38	19	12380800	651621	649000	22	23	99	16	26	15322300	589319.230769231
11-2019	19	11	Oakville	240	254723167	1061347	936000	335	50.9	592	3	97	29	-	136	182705777	1343425	1174550	207	446	96	34	8	6164900	770613	792000	4	6	99	29	26	15510600	596562	592500	25	22	99	20	32	18306100	572066	537000	40	50	100	23	35	28528790	815108	799000	57	66	98	24	67	46834890	699028.208955224
11-2019	19	11	Orangeville	41	23594100	575466	562000	36	72.1	49	1.5	98	35	-	29	17936850	618512	610000	26	37	98	43	2	963000	481500	481500	3	6	99	18	1	385000	385000	385000	1	0	102	11	3	1220000	406667	340000	1	4	97	25	6	3089250	514875	507625	5	2	100	11	9	4309250	478805.555555556
11-2019	19	11	Oshawa	249	125907950	505654	482000	294	56.6	329	1.9	99	23	-	166	92862912	559415	550000	217	252	99	23	33	14563947	441332	437000	27	15	100	19	22	7417211	337146	327450	14	17	100	29	11	2941490	267408	286000	14	24	99	37	15	7209390	480626	487500	18	18	99	14	26	10150880	390418.461538462
11-2019	19	11	Peel Region	1369	1053354664	769434	723000	1594	61.6	1829	1.7	99	22	-	616	588329334	955080	895000	783	1167	98	25	231	166799667	722076	726000	244	173	100	17	172	100452018	584023	584000	180	156	100	21	213	105403445	494852	465000	249	232	99	20	128	85839200	670619	666250	127	92	99	20	341	191242645	560828.870967742
11-2019	19	11	Pickering	113	75368612	666979	625000	136	57.4	161	2	99	20	-	57	45902488	805307	765000	65	107	98	21	8	4799000	599875	588000	7	5	101	15	18	8795000	488611	474000	21	17	100	22	17	7833324	460784	422500	23	14	100	20	12	7467800	622317	634950	19	16	100	17	29	15301124	527624.965517241
11-2019	19	11	Richmond Hill	247	258545884	1046744	923500	330	42.4	606	3.9	98	28	-	128	177892352	1389784	1278000	198	462	97	33	14	11113288	793806	786500	22	22	102	27	6	4022500	670417	706000	13	15	100	14	58	29242854	504187	500250	50	43	99	23	36	31704890	880691	850000	43	58	100	26	94	60947744	648380.255319149
11-2019	19	11	Scugog	23	15476200	672878	555000	29	47.9	82	4.1	96	55	-	23	15476200	672878	555000	29	82	96	55	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
11-2019	19	11	Simcoe County	246	154158029	626659	590000	283	48	676	3.8	97	46	-	193	128042549	663433	635000	221	555	97	50	5	2385400	477080	457000	11	6	98	24	0	-	-	-	1	3	-	-	9	3497000	388556	339500	14	42	96	43	29	14427580	497503	479990	27	46	99	20	38	17924580	471699.473684211
11-2019	19	11	Toronto C01	360	292795708	813321	715250	504	62.1	534	1.6	101	17	-	4	6786000	1696500	1589000	8	12	94	20	18	25480000	1415556	1375000	25	26	106	22	16	12765899	797869	843500	31	26	105	11	313	235754309	753209	679900	424	458	101	17	8	11629500	1453688	1557750	15	11	102	17	321	247383809	770666.07165109
11-2019	19	11	Toronto C02	71	116182542	1636374	1200000	106	52.8	155	2.2	98	20	-	13	33521900	2578608	2689000	14	28	99	20	10	20205500	2020550	1799500	11	16	100	25	2	2054000	1027000	1027000	5	8	100	6	42	55926142	1331575	1e+06	71	95	96	19	2	3500000	1750000	1750000	2	5	95	19	44	59426142	1350594.13636364
11-2019	19	11	Toronto C03	37	65074918	1758782	1150000	50	56.4	66	1.9	99	26	-	21	50212018	2391048	1674000	29	42	98	28	4	5882000	1470500	1601000	6	5	103	18	0	-	-	-	1	2	-	-	10	7210900	721090	680000	12	17	99	26	2	1770000	885000	885000	2	0	96	14	12	8980900	748408.333333333
11-2019	19	11	Toronto C04	65	110615581	1701778	1500000	85	49.5	135	2.6	98	25	-	40	88773518	2219338	1819000	57	109	98	21	5	6946900	1389380	1389900	7	5	103	9	1	1170000	1170000	1170000	2	2	98	23	17	12902900	758994	631000	18	18	99	31	0	-	-	-	1	1	-	-	-	-	-
11-2019	19	11	Toronto C06	21	17999900	857138	619500	26	57.4	43	2.3	95	34	-	8	10965500	1370688	1379000	15	33	92	52	0	-	-	-	0	0	-	-	0	-	-	-	1	1	-	-	13	7034400	541108	540000	10	9	100	23	0	-	-	-	0	0	-	-	-	-	-
