date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
02-2020	20	02	Adjala-Tosorontio	9	8789000	976556	920000	19	59.2	37	3.5	95	82	105	9	8789000	976556	920000	19	37	95	82	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
02-2020	20	02	Ajax	134	97961868	731059	718250	175	63.7	97	1.4	102	11	14	93	73348080	788689	765000	129	76	102	10	8	5198000	649750	656750	9	4	107	3	21	13392288	637728	653888	25	10	104	11	5	2426000	485200	510000	7	6	100	23	4	1639000	409750	403000	3	1	103	13	9	4065000	451666.666666667
02-2020	20	02	Aurora	94	88470400	941174	894500	160	49	162	3	102	21	29	61	67125900	1100425	1020000	112	122	101	25	5	3896500	779300	800000	9	4	104	11	11	8785500	798682	785000	17	11	107	8	10	4659500	465950	446750	14	14	102	21	6	3115000	519167	515000	8	11	100	14	16	7774500	485906.25
02-2020	20	02	Bradford West Gwillimbury	58	44191800	761928	732500	96	54.3	74	2.5	100	14	17	44	36088900	820202	787500	68	58	99	15	6	3350000	558333	527250	8	3	104	11	5	3092900	618580	619000	11	5	102	11	0	0	0	-	2	2	-	-	1	354000	354000	354000	2	1	99	17	-	-	-
02-2020	20	02	Brampton	754	623666450	827144	777000	1025	64.5	543	1.3	102	11	16	399	386356912	968313	9e+05	580	359	101	13	152	111535038	733783	729450	184	68	105	7	113	79811000	706292	710000	130	48	104	8	39	20905900	536049	530000	75	49	104	9	44	19598500	445420	440000	48	15	103	7	83	40504400	488004.819277108
02-2020	20	02	Brock	12	6032900	502742	469950	29	49.4	47	4.4	98	49	73	11	5642900	512991	489900	29	47	98	48	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	1	390000	390000	390000	0	0	98	59	0	0	0	-	0	0	-	-	-	-	-
02-2020	20	02	Burlington	203	175180792	862960	785000	290	66.5	267	1.9	100	17	20	98	108774560	1109944	1005500	160	183	99	25	16	11857088	741068	745500	19	9	107	4	18	13670000	759444	734000	20	8	103	5	30	19597190	653240	594750	36	24	101	14	40	20406954	510174	457500	52	39	101	12	70	40004144	571487.771428571
02-2020	20	02	Caledon	75	72903925	972052	925000	138	53.5	171	2.9	99	21	29	56	58957725	1052817	1002500	114	160	98	25	8	6151800	768975	754500	4	0	99	13	10	7291900	729190	740000	19	11	101	10	0	0	0	-	0	0	-	-	1	502500	502500	502500	1	0	98	14	-	-	-
02-2020	20	02	City of Toronto	2477	2450294215	989218	788000	3519	63	2720	1.6	104	17	23	716	1063477436	1485304	1230000	1194	1088	104	18	180	217453147	1208073	1051013	255	137	111	10	53	56299050	1062246	955000	92	77	107	20	176	137541358	781485	681000	233	149	104	15	1335	964770624	722675	639000	1722	1256	102	17	1511	1102311982	729524.806088683
02-2020	20	02	City of Toronto Total	2477	2450294215	989218	788000	3519	63	2720	1.6	104	17	23	716	1063477436	1485304	1230000	1194	1088	104	18	180	217453147	1208073	1051013	255	137	111	10	53	56299050	1062246	955000	92	77	107	20	176	137541358	781485	681000	233	149	104	15	1335	964770624	722675	639000	1722	1256	102	17	1511	1102311982	729524.806088683
02-2020	20	02	Clarington	155	96260081	621033	595000	235	57.8	227	1.9	99	21	27	112	75444381	673611	642450	184	183	99	21	6	2950000	491667	482000	8	2	101	20	14	6855200	489657	476250	13	12	103	13	2	941000	470500	470500	1	3	99	12	11	4607000	418818	424900	16	18	99	42	13	5548000	426769.230769231
02-2020	20	02	Dufferin County	60	36065247	601087	600000	83	72.7	47	1.4	100	15	19	40	26669847	666746	650500	56	32	100	16	5	2444900	488980	493000	5	2	99	22	9	4804100	533789	540500	15	7	102	11	3	1226500	408833	405000	1	1	101	12	3	919900	306633	300000	6	5	100	6	6	2146400	357733.333333333
02-2020	20	02	Durham Region	890	585431300	657788	634900	1293	59.3	1036	1.9	101	17	22	620	444721902	717293	690000	951	817	101	18	57	29602300	519339	508000	65	22	106	9	98	57947678	591303	605000	116	62	103	12	45	20171120	448247	450000	71	57	102	14	54	23876300	442154	436500	64	62	100	24	99	44047420	444923.434343434
02-2020	20	02	East Gwillimbury	46	36835190	800765	770000	89	47.3	102	3.5	99	20	23	31	27068190	873167	835000	67	90	98	26	1	790000	790000	790000	5	4	99	10	14	8977000	641214	666000	17	8	101	8	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
02-2020	20	02	Essa	35	20699200	591406	525900	57	59.1	71	2.9	97	35	39	28	17406300	621654	542500	45	61	97	39	0	0	0	-	1	1	-	-	4	1729000	432250	431000	2	1	99	11	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
02-2020	20	02	Georgina	72	41360588	574453	598000	147	45.4	158	3.5	99	15	25	66	38126688	577677	620000	140	155	99	16	3	1659400	553133	540000	4	1	99	6	3	1574500	524833	522000	2	0	100	8	0	0	0	-	1	2	-	-	0	0	0	-	0	0	-	-	-	-	-
