date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
11-2018	18	11	Adjala-Tosorontio	8	5264900	658113	600000	13	50.2	47	4	97	64	-	8	5264900	658113	600000	13	47	97	64	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
11-2018	18	11	Ajax	113	72035614	637483	620000	194	54.5	226	1.9	98	22	-	77	53721314	697679	700000	128	172	98	23	6	3480000	580000	592500	10	10	99	24	4	1937500	484375	508500	8	7	99	20	10	3603900	360390	363500	12	7	97	21	16	9292900	580806	588500	34	27	99	17	26	12896800	496030.769230769
11-2018	18	11	Aurora	78	67369661	863714	786250	162	35.3	301	4.6	98	32	-	43	45197400	1051102	1009000	101	209	98	36	6	4056000	676000	670500	8	10	97	26	4	1786500	446625	436750	17	30	98	31	4	1870165	467541	462500	4	17	97	43	21	14459596	688552	690000	32	35	100	24	25	16329761	653190.44
11-2018	18	11	Bradford West Gwillimbury	54	37115000	687315	655000	110	39	195	4.3	96	38	-	42	30390000	723571	719500	86	162	96	38	3	1998000	666000	645000	6	8	100	25	1	389000	389000	389000	0	0	97	69	0	-	-	-	8	8	-	-	6	3259500	543250	546000	6	9	98	39	-	-	-
11-2018	18	11	Brampton	592	406000565	685812	660000	929	51.2	1217	2.2	98	25	-	288	232965241	808907	765500	541	774	97	28	134	85665125	639292	633000	143	147	98	22	47	22141700	471100	448000	56	80	99	25	43	15745599	366177	353000	51	59	98	28	76	46884900	616907	619000	134	150	99	20	119	62630499	526306.714285714
11-2018	18	11	Brock	14	7300400	521457	467450	29	41.5	72	4.8	94	48	-	14	7300400	521457	467450	29	71	94	48	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	-	-	-
11-2018	18	11	Burlington	168	128760941	766434	678500	247	58.4	414	2.4	97	35	-	89	87687876	985257	857000	139	260	96	41	7	4355777	622254	581000	7	14	98	33	26	14040900	540035	524000	38	49	98	29	31	13148388	424142	391000	47	69	98	29	14	8938000	638429	632750	14	18	98	26	45	22086388	490808.622222222
11-2018	18	11	Caledon	64	58583545	915368	812000	118	46.7	264	3.7	96	32	-	50	49610500	992210	875000	91	235	96	34	7	4527800	646829	615000	15	14	99	24	0	-	-	-	1	1	-	-	1	662000	662000	662000	0	0	96	47	6	3783245	630541	643250	11	14	97	17	7	4445245	635035
11-2018	18	11	City of Toronto	2563	2159284943	842483	670000	3892	58	4946	1.9	100	22	-	705	917474431	1301382	1000000	1256	2000	98	23	209	221615116	1060359	905000	295	283	104	18	189	122954632	650554	577000	280	319	100	25	1370	816078251	595678	530000	1928	2167	100	22	74	71622500	967872	902500	120	151	104	16	1444	887700751	614751.212603878
11-2018	18	11	City of Toronto Total	2563	2159284943	842483	670000	3892	58	4946	1.9	100	22	-	705	917474431	1301382	1000000	1256	2000	98	23	209	221615116	1060359	905000	295	283	104	18	189	122954632	650554	577000	280	319	100	25	1370	816078251	595678	530000	1928	2167	100	22	74	71622500	967872	902500	120	151	104	16	1444	887700751	614751.212603878
