date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
11-2014	14	11	Adjala-Tosorontio	14	7515400	536814	441000	12	54.4	66	5.4	96	60	-	14	7515400	536814	441000	12	66	96	60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11-2014	14	11	Ajax	132	59604763	451551	409000	170	74.7	121	1	99	17	-	84	42934525	511125	511750	112	84	99	20	11	4241600	385600	395000	8	3	100	12	8	2392750	299094	302250	6	5	100	17	3	671000	223667	212000	4	5	101	17	24	8738888	364120	365000	35	19	101	10	27	9409888	348514.37037037
11-2014	14	11	Aurora	61	37822200	620036	538250	82	64	139	2.1	97	29	-	33	23717850	718723	658800	48	98	97	35	3	1396700	465567	481700	4	4	98	23	4	3194000	798500	854500	4	9	96	36	9	3830900	425656	478000	8	18	98	22	11	5212750	473886	473000	16	9	98	20	20	9043650	452182.5
11-2014	14	11	Bradford West Gwillimbury	37	17409100	470516	455000	39	59.5	124	2.7	97	49	-	29	14687300	506459	516000	34	113	97	56	4	1577000	394250	401500	1	2	97	31	1	277000	277000	277000	-	-	99	7	1	218800	218800	218800	1	2	98	15	-	-	-	-	1	3	-	-	-	-	-
11-2014	14	11	Brampton	521	231862943	445034	415000	737	60.2	965	1.9	98	25	-	278	145918291	524886	504000	435	606	97	25	105	41170451	392100	385000	131	136	98	18	39	11272600	289041	267000	39	64	98	28	31	7061300	227784	220000	52	86	97	32	65	25031301	385097	385000	74	64	98	27	96	32092601	334297.927083333
11-2014	14	11	Brock	20	5808000	290400	235500	22	55.3	73	5.2	96	66	-	18	5457000	303167	246200	21	70	96	66	-	-	-	-	-	-	-	-	2	351000	175500	175500	1	3	94	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11-2014	14	11	Burlington	118	70809400	600080	527500	127	67.5	284	2.3	97	41	-	70	51926600	741809	625750	68	187	96	52	4	1753500	438375	448750	5	5	99	11	18	7058300	392128	383250	19	29	98	22	16	5570800	348175	277200	24	47	95	35	9	4120200	457800	432000	10	16	98	18	25	9691000	387640
11-2014	14	11	Caledon	63	38225500	606754	538500	73	56.9	208	3.5	96	52	-	47	31605300	672453	625000	62	199	96	62	4	1754300	438575	443650	4	4	100	17	2	890000	445000	445000	1	1	96	41	3	1177000	392333	395000	1	1	99	38	7	2798900	399843	403000	4	2	99	9	10	3975900	397590
11-2014	14	11	City of Toronto	2661	1639522493	616130	490800	3823	56.2	6296	2.4	99	26	-	904	845350369	935122	725000	1148	1538	100	20	261	174133563	667178	594800	284	253	102	16	184	79405780	431553	411500	217	347	99	25	1199	472675942	394225	346000	2031	3996	98	34	87	57001851	655194	624000	103	104	101	15	1286	529677793	411880.087869362
11-2014	14	11	City of Toronto Total	2661	1639522493	616130	490800	3823	56.2	6296	2.4	99	26	-	904	845350369	935122	725000	1148	1538	100	20	261	174133563	667178	594800	284	253	102	16	184	79405780	431553	411500	217	347	99	25	1199	472675942	394225	346000	2031	3996	98	34	87	57001851	655194	624000	103	104	101	15	1286	529677793	411880.087869362
