date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
04-2012	12	04	Adjala-Tosorontio	13	5219700	401515	349700	29	45.7	92	7.1	96	81	-	13	5219700	401515	349700	28	91	96	81	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
04-2012	12	04	Ajax	247	94488684	382545	359000	317	62.4	284	1.8	99	19	-	161	69605184	432330	418000	208	184	99	18	16	5353000	334563	338450	26	14	99	26	8	1966700	245838	237500	14	26	98	23	11	2199000	199909	187000	18	25	98	43	45	13773300	306073	300000	48	33	99	17	56	15972300	285219.642857143
04-2012	12	04	Aurora	112	62905055	561652	501000	158	71.5	155	1.8	99	16	-	68	43856539	644949	574000	109	121	99	17	10	4164400	416440	423000	12	4	102	15	6	3683566	613928	717500	8	12	98	15	4	1401500	350375	321250	5	10	98	13	21	8390800	399562	385000	19	6	102	14	25	9792300	391692
04-2012	12	04	Bradford West Gwillimbury	65	26223100	403432	400000	97	72	106	2.2	99	21	-	47	20631800	438974	426000	76	87	99	25	7	2126000	303714	317000	7	6	100	13	1	224000	224000	224000	3	3	99	14	-	-	-	-	-	-	-	-	2	494900	247450	247450	2	1	98	10	-	-	-
04-2012	12	04	Brampton	981	403515878	411331	385000	1568	58.7	1487	1.9	98	19	-	543	265000553	488030	462000	695	860	98	20	190	68701219	361585	360000	243	244	99	15	76	18843500	247941	232250	74	101	98	21	62	13333440	215055	217500	82	138	97	31	106	36031166	339917	335500	143	140	99	15	168	49364606	293836.94047619
04-2012	12	04	Brock	20	6063900	303195	240950	44	41.9	147	8.5	96	62	-	19	5847900	307784	242900	40	138	96	60	1	216000	216000	216000	1	1	96	104	-	-	-	-	2	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-
04-2012	12	04	Burlington	83	37398030	450579	420000	131	62.3	174	2.4	98	27	-	43	24337400	565986	535000	53	124	97	30	10	3726550	372655	341500	8	5	99	13	13	3914080	301083	288280	15	16	98	28	5	1157500	231500	246000	8	14	96	33	10	3753000	375300	370500	12	11	98	22	15	4910500	327366.666666667
04-2012	12	04	Caledon	90	52935105	588168	491000	171	56.8	250	3.5	97	30	-	75	47229405	629725	547045	111	235	96	34	5	1877300	375460	380000	5	6	100	8	-	-	-	-	2	2	-	-	-	-	-	-	-	1	-	-	10	3828400	382840	382500	8	5	99	16	-	-	-
04-2012	12	04	City of Toronto	3925	2231109660	568436	445000	6383	58.9	7321	2.2	101	21	-	1465	1217728235	831214	656000	2000	1851	101	16	451	262046522	581034	550000	553	401	105	11	283	101466031	358537	329000	379	427	100	22	1534	553477809	360807	330750	2835	4390	98	30	140	77489063	553493	487500	197	184	103	14	1674	630966872	376921.66786141
04-2012	12	04	City of Toronto Total	3925	2231109660	568436	445000	6383	58.9	7321	2.2	101	21	-	1465	1217728235	831214	656000	2000	1851	101	16	451	262046522	581034	550000	553	401	105	11	283	101466031	358537	329000	379	427	100	22	1534	553477809	360807	330750	2835	4390	98	30	140	77489063	553493	487500	197	184	103	14	1674	630966872	376921.66786141
