date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
08-2015	15	08	Adjala-Tosorontio	12	7024900	585408	570000	18	62.3	58	4.2	94	64	-	12	7024900	585408	570000	18	58	94	64	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
08-2015	15	08	Ajax	187	92535009	494840	482500	228	77.5	129	0.8	102	13	-	128	69430385	542425	538000	150	85	102	13	13	5708811	439139	420000	14	4	105	9	7	2257000	322429	305000	7	6	101	14	9	2611150	290128	247500	8	8	99	26	25	10175763	407031	401000	46	26	102	9	34	12786913	376085.676470588
08-2015	15	08	Aurora	68	49477188	727606	649250	103	71.6	123	1.5	99	21	-	38	35198988	926289	874000	67	90	99	22	7	3869500	552786	530000	9	5	102	10	8	3452000	431500	426000	10	7	99	22	5	1491400	298280	284000	7	12	97	39	8	4217300	527163	527500	10	8	103	10	13	5708700	439130.769230769
08-2015	15	08	Bradford West Gwillimbury	67	35945705	536503	510000	81	73.3	83	1.8	99	20	-	46	27254105	592481	567509	58	72	98	23	6	2450500	408417	415000	7	5	98	22	1	286500	286500	286500	0	0	96	8	0	-	-	-	1	1	-	-	7	2933200	419029	430000	9	4	101	6	-	-	-
08-2015	15	08	Brampton	810	394732692	487324	465000	1332	66.2	1159	1.4	99	17	-	407	238135378	585099	558000	791	740	99	18	183	81651843	446185	445000	252	157	100	12	77	23306480	302682	292000	80	68	99	30	43	10034500	233360	221000	66	95	98	28	93	38308991	411925	415000	129	88	100	12	136	48343491	355466.845588235
08-2015	15	08	Brock	19	7361000	387421	328000	27	55.3	97	4.7	97	53	-	17	6751000	397118	329000	23	91	97	55	0	-	-	-	0	0	-	-	2	610000	305000	305000	4	6	94	38	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
08-2015	15	08	Burlington	158	97980465	620130	570000	228	71.3	309	1.8	98	26	-	100	75451005	754510	672750	146	221	98	28	7	3631400	518771	514000	12	14	100	26	15	5658500	377233	356000	18	21	99	22	21	6386090	304100	287000	26	36	98	26	12	5647400	470617	461500	24	16	99	12	33	12033490	364651.212121212
08-2015	15	08	Caledon	78	55193250	707606	590000	124	58.6	245	3	98	28	-	55	44470100	808547	689000	98	229	97	34	9	4268750	474306	460000	11	5	100	9	2	894000	447000	447000	1	3	99	40	0	-	-	-	0	0	-	-	11	5070500	460955	445000	13	8	99	15	-	-	-
08-2015	15	08	City of Toronto	2807	1700528823	605817	479000	4883	57.4	6947	2.2	100	26	-	756	769344944	1017652	790000	1318	1481	100	20	231	153145678	662968	620000	343	281	103	15	219	100633686	459515	427000	352	412	100	20	1475	599715565	406587	356000	2684	4608	98	32	96	64469150	671554	638450	130	100	102	16	1571	664184715	422778.303628262
08-2015	15	08	City of Toronto Total	2807	1700528823	605817	479000	4883	57.4	6947	2.2	100	26	-	756	769344944	1017652	790000	1318	1481	100	20	231	153145678	662968	620000	343	281	103	15	219	100633686	459515	427000	352	412	100	20	1475	599715565	406587	356000	2684	4608	98	32	96	64469150	671554	638450	130	100	102	16	1571	664184715	422778.303628262
08-2015	15	08	Clarington	154	60356664	391926	378250	213	73.7	206	1.3	100	18	-	106	45066396	425155	414000	152	164	99	21	4	1155068	288767	282534	4	2	98	29	3	847500	282500	302500	7	5	106	5	6	1360500	226750	235000	15	16	101	18	15	4621600	308107	310000	17	10	102	11	21	5982100	284861.904761905
08-2015	15	08	Dufferin County	54	22187500	410880	376000	65	81.9	63	1.8	99	25	-	40	18130700	453268	389950	51	54	99	25	5	1478500	295700	297000	5	1	99	12	4	958900	239725	231250	2	1	99	20	1	216000	216000	216000	3	2	99	25	3	974900	324967	319900	4	5	100	35	4	1190900	297725
08-2015	15	08	Durham Region	984	439170220	446311	422000	1328	74	1223	1.2	101	18	-	706	343552735	486619	472250	951	983	100	19	68	24216104	356119	322500	85	39	103	12	53	15044099	283851	296500	80	60	102	15	40	10716950	267924	248750	56	55	99	25	77	29412332	381978	391000	121	73	102	11	117	40129282	342985.316239316
08-2015	15	08	East Gwillimbury	24	14593900	608079	503750	36	66.2	75	2.3	98	27	-	20	12807900	640395	537000	34	73	98	27	3	1397500	465833	465000	0	1	99	31	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	1	388500	388500	388500	2	1	101	8	-	-	-
08-2015	15	08	Essa	22	9171050	416866	357000	36	71.2	63	2.4	98	56	-	17	7699550	452915	380000	24	48	98	63	2	550000	275000	275000	2	2	97	23	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	2	585000	292500	292500	5	4	97	17	-	-	-
08-2015	15	08	Georgina	90	41279600	458662	379000	134	67.4	202	2	97	32	-	80	38039900	475499	388750	129	189	97	33	1	396000	396000	396000	1	2	99	9	1	276000	276000	276000	1	1	99	13	1	177000	177000	177000	1	6	99	15	6	2033900	338983	353450	2	3	98	31	7	2210900	315842.857142857
08-2015	15	08	Halton Hills	85	45024836	529704	465500	102	68.1	160	2.1	98	30	-	61	36306738	595192	583500	73	130	98	33	6	2519400	419900	430750	9	9	99	14	6	1621000	270167	251000	6	8	98	32	4	1164298	291075	307500	6	8	97	44	7	3028400	432629	439900	7	4	99	14	11	4192698	381154.363636364
08-2015	15	08	Halton Region	716	494609477	690795	582000	961	67	1315	1.9	98	25	-	411	352073843	856627	703800	567	885	98	27	65	33239978	511384	514000	63	51	100	19	45	18180200	404004	370000	66	82	99	24	71	26843088	378072	306000	87	164	97	35	109	56465098	518028	465500	164	122	99	16	180	83308186	462823.255555556
08-2015	15	08	Innisfil	76	31433763	413602	392500	91	60.8	154	3.2	97	41	-	71	29774963	419366	400000	83	147	97	43	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	4	1235800	308950	320700	7	5	99	10	-	-	-
08-2015	15	08	King	32	34000700	1062522	902500	56	48.7	156	5.1	94	38	-	26	30638200	1178392	996250	51	138	94	35	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	4	1885000	471250	400000	3	14	97	61	1	767500	767500	767500	1	3	98	17	5	2652500	530500
08-2015	15	08	Markham	460	364294005	791943	744000	704	62.2	760	1.6	102	20	-	198	220084078	1111536	1023200	316	295	102	17	34	24270475	713838	684400	49	25	103	11	29	15414200	531524	529000	43	49	101	21	101	35862700	355076	329900	155	295	97	34	50	33069388	661388	651500	68	53	105	17	151	68932088	456503.894039735
08-2015	15	08	Milton	212	116731476	550620	524250	251	71.7	260	1.3	99	18	-	95	64091000	674642	634000	136	193	99	18	35	17623778	503537	510000	25	10	100	19	3	1516100	505367	376100	6	7	98	23	19	5774700	303932	270000	8	14	99	36	54	24595498	455472	459950	71	32	100	10	73	30370198	416030.109589041
08-2015	15	08	Mississauga	855	440223296	514881	472000	1369	61.2	1763	2	99	23	-	269	213051949	792015	745000	443	585	99	20	132	71262790	539870	535000	192	155	100	14	150	59168140	394454	396000	238	234	99	23	261	74054605	283734	268000	442	746	98	31	39	20444212	524211	518000	50	35	99	16	300	94498817	314996.056666667
08-2015	15	08	New Tecumseth	45	17348675	385526	357000	62	76.4	117	2.2	98	33	-	31	12930775	417122	390000	43	87	98	37	2	626000	313000	313000	6	9	97	17	3	689000	229667	235000	1	1	98	18	2	462000	231000	231000	3	6	97	86	3	976000	325333	320000	3	3	101	6	5	1438000	287600
08-2015	15	08	Newmarket	143	92041156	643644	637000	168	77.5	123	1	101	19	-	98	72468479	739474	724000	118	93	100	19	17	8244800	484988	485000	27	15	100	10	9	3269277	363253	370000	6	4	101	23	8	2403500	300438	278750	0	1	97	44	11	5655100	514100	520600	15	8	104	7	19	8058600	424136.842105263
08-2015	15	08	Oakville	261	234872700	899895	721000	380	61.5	586	2.2	97	28	-	155	176225100	1136936	840000	212	341	97	29	17	9465400	556788	543000	17	18	99	17	21	9384600	446886	393000	36	46	99	23	27	13518000	500667	332000	47	106	96	39	36	23193800	644272	597950	62	70	98	26	63	36711800	582726.984126984
08-2015	15	08	Orangeville	54	22187500	410880	376000	65	81.9	63	1.8	99	25	-	40	18130700	453268	389950	51	54	99	25	5	1478500	295700	297000	5	1	99	12	4	958900	239725	231250	2	1	99	20	1	216000	216000	216000	3	2	99	25	3	974900	324967	319900	4	5	100	35	4	1190900	297725
08-2015	15	08	Oshawa	269	97339640	361857	340100	345	77.1	252	0.9	100	15	-	203	79992716	394053	372000	265	211	100	16	34	9835825	289289	278500	40	21	103	11	18	3738100	207672	208500	18	10	101	13	6	1190000	198333	202500	4	4	97	32	6	1938499	323083	343000	16	6	104	7	12	3128499	260708.25
08-2015	15	08	Peel Region	1743	890149238	510700	472000	2825	63.2	3167	1.8	99	21	-	731	495657427	678054	633500	1332	1554	98	20	324	157183383	485134	471500	455	317	100	13	229	83368620	364055	354000	319	305	99	26	304	84089105	276609	263500	508	841	98	31	143	63823703	446320	435000	192	131	100	14	447	147912808	330901.136465324
08-2015	15	08	Pickering	119	60549300	508818	480000	179	72.5	151	1.2	102	18	-	57	36877100	646967	600000	93	99	102	22	14	6485900	463279	463000	15	4	102	9	17	5691500	334794	320000	31	22	103	17	13	3641900	280146	250000	21	17	99	23	12	5107400	425617	432750	15	9	101	10	25	8749300	349972
08-2015	15	08	Richmond Hill	288	269619851	936180	824000	466	61.2	573	1.8	101	23	-	160	201897114	1261857	1097500	256	291	101	23	7	4909000	701286	653500	22	20	105	9	15	7020400	468027	476500	16	13	98	25	56	21222317	378970	350000	111	194	98	31	48	33043020	688396	688000	50	41	101	18	104	54265337	521782.086538462
08-2015	15	08	Scugog	32	13480300	421259	413450	40	59.2	109	3.1	98	36	-	30	12836900	427897	422450	38	108	98	37	1	295500	295500	295500	1	0	100	11	0	-	-	-	1	1	-	-	1	347900	347900	347900	0	0	99	39	0	-	-	-	0	0	-	-	-	-	-
