date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
02-2017	17	02	Adjala-Tosorontio	12	7427400	618950	552500	16	81.5	25	2	99	29	-	12	7427400	618950	552500	16	25	99	29	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
02-2017	17	02	Ajax	124	86827298	700220	672443	153	80	59	0.5	112	9	-	76	58723798	772682	745500	94	34	112	8	14	8735600	623971	637500	13	5	109	15	6	2997500	499583	495000	10	7	111	9	3	884000	294667	291500	8	7	107	13	24	14896400	620683	616500	27	6	114	7	27	15780400	584459.259259259
02-2017	17	02	Aurora	115	128168682	1114510	1050000	141	75.2	72	0.8	112	11	-	66	88204188	1336427	1261500	91	44	112	10	9	8006700	889633	920000	8	1	114	14	14	10767500	769107	655500	10	4	103	11	7	4017000	573857	583000	5	8	103	10	15	12990494	866033	900000	21	13	115	11	22	17007494	773067.909090909
02-2017	17	02	Bradford West Gwillimbury	80	69795300	872441	811000	85	79.4	37	0.9	105	13	-	66	60884600	922494	854000	68	31	104	15	6	4307700	717950	712000	5	0	116	4	1	500000	500000	500000	1	0	111	5	0	-	-	-	2	2	-	-	6	3523000	587167	592250	5	1	108	8	-	-	-
02-2017	17	02	Brampton	788	571496051	725249	690000	929	76.7	315	0.7	106	9	-	439	373340027	850433	806100	537	186	105	9	130	84494389	649957	650000	147	39	108	5	52	23559200	453062	450000	63	28	107	17	42	13575300	323221	311000	41	25	103	18	121	73821135	610092	616000	137	37	107	7	163	87396435	536174.447852761
02-2017	17	02	Brock	13	5786990	445153	370000	17	79.2	14	2.2	99	37	-	13	5786990	445153	370000	16	13	99	37	0	-	-	-	0	0	-	-	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
02-2017	17	02	Burlington	209	169162280	809389	755500	257	82.6	140	1	104	15	-	119	123232000	1035563	925500	148	96	103	17	5	3421500	684300	696000	5	2	108	6	27	15400400	570385	570000	31	9	107	12	38	14197380	373615	331000	48	25	102	14	18	12183500	676861	677500	24	8	112	5	56	26380880	471087.142857143
02-2017	17	02	Caledon	59	57329556	971687	875000	88	71.5	86	1.6	102	17	-	43	47034556	1093827	952000	66	76	102	18	8	5058000	632250	635000	9	2	104	23	0	-	-	-	0	0	-	-	1	675000	675000	675000	1	1	100	15	7	4562000	651714	647000	11	6	107	4	8	5237000	654625
02-2017	17	02	City of Toronto	2900	2491638578	859186	608500	3586	72.8	2298	1.2	108	15	-	793	1247882184	1573622	1253000	1110	656	110	13	199	216011241	1085484	912500	254	123	115	9	189	112783071	596736	561000	217	142	109	15	1632	841171803	515424	449950	1878	1301	103	17	68	59726379	878329	847500	106	57	112	11	1700	900898182	529940.107058824
02-2017	17	02	City of Toronto Total	2900	2491638578	859186	608500	3586	72.8	2298	1.2	108	15	-	793	1247882184	1573622	1253000	1110	656	110	13	199	216011241	1085484	912500	254	123	115	9	189	112783071	596736	561000	217	142	109	15	1632	841171803	515424	449950	1878	1301	103	17	68	59726379	878329	847500	106	57	112	11	1700	900898182	529940.107058824
02-2017	17	02	Clarington	137	80196191	585374	550500	161	84.4	77	0.7	111	9	-	89	57966786	651312	625000	108	60	108	10	9	4289650	476628	500000	7	0	114	6	4	1544000	386000	392500	5	1	128	4	4	1184855	296214	291000	7	9	100	40	19	9169400	482600	480000	18	2	119	6	23	10354255	450185
02-2017	17	02	Dufferin County	48	23080555	480845	485000	57	90.5	26	0.7	105	10	-	27	15346555	568391	550000	35	19	104	10	7	2752500	393214	390000	7	1	107	8	2	587000	293500	293500	1	0	106	8	4	675000	168750	165000	6	4	99	24	8	3719500	464938	459000	8	2	109	9	12	4394500	366208.333333333
02-2017	17	02	Durham Region	833	553949410	665005	630000	976	82.1	398	0.6	110	10	-	587	430882960	734043	703000	696	284	110	11	60	31331550	522193	512750	61	17	114	10	48	19749300	411444	421000	57	27	114	8	36	13257715	368270	356245	39	28	104	18	80	45649285	570616	572500	93	29	114	7	116	58907000	507818.965517241
02-2017	17	02	East Gwillimbury	37	35998601	972935	942000	56	75.1	41	1.5	107	20	-	34	33658521	989957	954111	52	40	106	21	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	1	1	-	-	3	2340080	780027	780000	3	0	110	7	-	-	-
