date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
04-2019	19	04	Adjala-Tosorontio	19	12289900	646837	620000	31	51.4	46	3.9	98	26	-	19	12289900	646837	620000	31	46	98	26	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
04-2019	19	04	Ajax	187	122602908	655631	635000	317	55.7	253	1.8	99	17	-	117	84498408	722209	712000	212	177	99	16	14	8273800	590986	589000	22	14	99	13	11	5154400	468582	459000	21	17	100	19	9	3543000	393667	355000	8	7	97	29	32	18761300	586291	559750	48	35	99	16	41	22304300	544007.317073171
04-2019	19	04	Aurora	99	87950353	888387	770000	237	37.5	339	4.3	98	20	-	55	58825000	1069545	1050000	145	234	98	20	9	6470288	718921	703888	12	13	99	37	9	5223000	580333	539000	24	26	99	19	3	1235000	411667	405000	15	24	99	28	23	16197065	704220	700000	41	42	98	13	26	17432065	670464.038461538
04-2019	19	04	Bradford West Gwillimbury	66	46229500	700447	648250	161	43.1	187	3.8	98	26	-	51	37314000	731647	713500	138	165	98	27	3	1778500	592833	617000	8	8	99	42	0	-	-	-	2	1	-	-	0	-	-	-	3	4	-	-	9	5359000	595444	598500	9	8	99	18	-	-	-
04-2019	19	04	Brampton	899	646185418	718782	701000	1626	52.5	1252	2.1	99	14	-	480	397209698	827520	798000	932	764	99	15	172	116082398	674898	677000	266	174	100	12	52	25779450	495759	486500	103	80	99	18	68	26651062	391927	383000	95	64	99	17	120	75879299	632327	639950	221	159	100	13	188	102530361	545374.260638298
04-2019	19	04	Brock	20	10652000	532600	505500	63	41.7	94	5	91	32	-	20	10652000	532600	505500	59	89	91	32	0	-	-	-	0	0	-	-	0	-	-	-	2	3	-	-	0	-	-	-	0	0	-	-	0	-	-	-	2	2	-	-	-	-	-
04-2019	19	04	Burlington	272	215611747	792690	730000	441	59.5	501	2.4	98	24	-	157	150762994	960274	872500	285	340	98	26	14	9616500	686893	706000	21	16	99	12	37	20280238	548115	505194	50	47	98	19	42	19995190	476076	434750	58	78	99	26	17	10617325	624549	638000	23	18	99	21	59	30612515	518856.186440678
04-2019	19	04	Caledon	107	97389576	910183	815000	224	45.2	293	3.8	97	21	-	77	78201091	1015599	916000	191	270	96	23	7	4714500	673500	669000	12	13	98	16	2	963000	481500	481500	1	0	98	8	0	-	-	-	0	0	-	-	21	13510985	643380	656000	19	9	99	17	-	-	-
04-2019	19	04	City of Toronto	3234	2923508662	903992	720000	5734	56.4	5368	2	101	17	-	982	1331360492	1355764	1050000	2050	2126	100	17	281	295545831	1051765	910000	512	355	107	10	232	152445496	657093	610000	416	376	100	18	1608	1024586250	637181	562000	2528	2323	100	17	112	108013950	964410	902500	195	152	104	11	1720	1132600200	658488.488372093
04-2019	19	04	City of Toronto Total	3234	2923508662	903992	720000	5734	56.4	5368	2	101	17	-	982	1331360492	1355764	1050000	2050	2126	100	17	281	295545831	1051765	910000	512	355	107	10	232	152445496	657093	610000	416	376	100	18	1608	1024586250	637181	562000	2528	2323	100	17	112	108013950	964410	902500	195	152	104	11	1720	1132600200	658488.488372093
