date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
05-2012	12	05	Adjala-Tosorontio	18	8065500	448083	427500	32	48.3	89	7	98	84	-	18	8065500	448083	427500	32	88	98	84	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
05-2012	12	05	Ajax	231	87737838	379817	359900	329	64.8	271	1.7	99	19	-	155	66848272	431279	401500	232	186	99	16	15	4931200	328747	332000	18	13	101	13	18	4410780	245043	243000	26	24	99	32	13	2597000	199769	188000	13	19	97	29	25	7561700	302468	313000	32	25	99	23	38	10158700	267334.210526316
05-2012	12	05	Aurora	119	64916753	545519	528000	169	70.8	163	1.7	100	16	-	76	46678526	614191	565000	118	128	99	17	9	3715477	412831	411000	12	4	102	10	6	3316000	552667	517500	8	14	99	25	6	2180500	363417	347750	7	9	100	30	19	7547250	397224	400000	24	8	104	7	25	9727750	389110
05-2012	12	05	Bradford West Gwillimbury	76	32531200	428042	398750	82	74.4	101	2	98	23	-	55	26098400	474516	440000	63	85	98	24	7	2096700	299529	284000	5	4	99	18	2	484900	242450	242450	-	-	100	39	-	-	-	-	-	-	-	-	1	350000	350000	350000	1	1	97	23	-	-	-
05-2012	12	05	Brampton	999	409841405	410252	389000	1674	58.5	1592	1.9	98	20	-	546	262700223	481136	460000	993	959	98	19	206	76016726	369013	365000	331	259	99	15	75	19467487	259566	242000	100	97	98	24	56	11886970	212267	212000	96	144	98	40	112	38333999	342268	351000	146	125	99	18	168	50220969	298934.339285714
05-2012	12	05	Brock	26	6587900	253381	233750	55	42	152	8.4	95	68	-	23	5930500	257848	235000	52	145	95	46	-	-	-	-	-	1	-	-	2	367500	183750	183750	3	5	97	34	-	-	-	-	-	-	-	-	1	289900	289900	289900	-	1	99	632	-	-	-
05-2012	12	05	Burlington	89	46690125	524608	466000	182	59.9	230	2.5	97	26	-	50	34187425	683749	609000	120	168	97	33	2	8e+05	4e+05	4e+05	5	8	99	13	13	3498800	269138	269000	16	16	98	17	8	1799400	224925	223950	16	17	98	15	12	4524000	377000	369000	21	18	99	19	20	6323400	316170
05-2012	12	05	Caledon	94	52202511	555346	490500	193	56.3	298	3.5	97	25	-	69	42864200	621220	545000	167	283	96	30	15	5775500	385033	375000	16	6	99	10	1	293500	293500	293500	1	2	98	13	1	435000	435000	435000	-	-	98	30	8	2834311	354289	349000	5	2	100	16	9	3269311	363256.777777778
05-2012	12	05	City of Toronto	4130	2349011252	568768	446000	7956	58	8376	2.2	100	20	-	1480	1214807734	820816	650000	2672	2206	101	15	490	289622952	591067	527000	756	455	103	12	309	120939108	391389	351652	501	502	100	19	1632	600816708	368147	336750	3678	4930	98	27	179	106159450	593070	550000	275	203	102	12	1811	706976158	390378.883489785
05-2012	12	05	City of Toronto Total	4130	2349011252	568768	446000	7956	58	8376	2.2	100	20	-	1480	1214807734	820816	650000	2672	2206	101	15	490	289622952	591067	527000	756	455	103	12	309	120939108	391389	351652	501	502	100	19	1632	600816708	368147	336750	3678	4930	98	27	179	106159450	593070	550000	275	203	102	12	1811	706976158	390378.883489785
