date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
05-2015	15	05	Adjala-Tosorontio	23	12997100	565091	504000	30	56.8	65	4.8	96	27	-	23	12997100	565091	504000	30	65	96	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
05-2015	15	05	Ajax	250	124732927	498932	485000	333	77.4	174	0.8	102	12	-	163	92162677	565415	570000	200	108	102	13	22	9340850	424584	420500	27	13	104	7	15	4776600	318440	320000	26	15	101	10	14	3457200	246943	241400	12	6	100	26	31	12765100	411777	421000	60	29	105	8	45	16222300	360495.555555556
05-2015	15	05	Aurora	152	112001739	736854	672000	216	65.7	176	1.8	100	17	-	107	90526349	846041	776000	137	101	100	17	6	3141000	523500	516500	15	14	102	8	8	3083500	385438	310500	11	19	97	40	9	2946500	327389	318500	16	25	97	21	20	10993390	549670	537950	33	14	103	10	29	13939890	480685.862068966
05-2015	15	05	Bradford West Gwillimbury	77	41226049	535403	525000	104	66.2	113	2.2	99	21	-	60	34528949	575482	578500	83	96	99	23	8	3280600	410075	436750	10	6	100	13	1	277500	277500	277500	-	-	99	19	-	-	-	-	1	2	-	-	4	1662000	415500	417000	5	3	99	7	-	-	-
05-2015	15	05	Brampton	1102	542807812	492566	470000	1655	64.4	1266	1.6	100	14	-	597	344485605	577028	556500	967	767	99	14	244	107997102	442611	432500	302	181	100	11	75	24239399	323192	315000	130	118	99	21	55	12977916	235962	234000	88	113	98	28	118	47445890	402084	399950	156	81	100	13	173	60423806	349270.554913295
05-2015	15	05	Brock	20	6048650	302433	277500	43	53.9	104	4.9	95	28	-	19	5809750	305776	292000	40	99	95	28	-	-	-	-	1	1	-	-	1	238900	238900	238900	1	3	100	40	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
05-2015	15	05	Burlington	225	127291896	565742	523000	317	69.6	345	2.1	99	24	-	113	82384673	729068	672000	189	217	99	24	13	6558940	504534	514900	18	16	98	21	39	15620733	400532	372000	42	35	99	22	33	10558950	319968	268000	40	54	98	35	23	10515600	457200	450000	25	20	100	16	56	21074550	376331.25
05-2015	15	05	Caledon	122	87159493	714422	650000	188	58.5	273	3	98	24	-	102	77840242	763140	669500	171	252	98	26	9	4331951	481328	482000	11	8	98	12	1	359900	359900	359900	1	2	100	8	-	-	-	-	-	-	-	-	10	4627400	462740	461750	5	9	99	19	-	-	-
05-2015	15	05	City of Toronto	4189	3009167382	718350	552000	7280	57.2	8046	2.3	102	19	-	1447	1613578658	1115120	840000	2383	1896	103	13	471	367155434	779523	692000	662	373	107	10	349	167587196	480193	445000	448	417	102	17	1762	745232426	422947	358000	3531	5122	98	27	138	102723268	744372	720000	204	162	104	12	1900	847955694	446292.470526316
05-2015	15	05	City of Toronto Total	4189	3009167382	718350	552000	7280	57.2	8046	2.3	102	19	-	1447	1613578658	1115120	840000	2383	1896	103	13	471	367155434	779523	692000	662	373	107	10	349	167587196	480193	445000	448	417	102	17	1762	745232426	422947	358000	3531	5122	98	27	138	102723268	744372	720000	204	162	104	12	1900	847955694	446292.470526316
05-2015	15	05	Clarington	204	80585461	395027	373950	325	70	263	1.5	100	14	-	145	61962949	427331	398500	253	216	100	14	4	1364000	341000	342000	4	3	103	14	8	2111900	263988	261500	7	8	102	29	7	1660000	237143	210000	9	12	98	27	24	7636950	318206	323500	25	10	101	13	31	9296950	299901.612903226
05-2015	15	05	Dufferin County	94	36872150	392257	367000	93	77.3	78	2.2	99	27	-	69	29595350	428918	404500	64	64	99	31	11	3304900	300445	293000	10	5	100	21	4	898000	224500	225000	6	3	100	20	1	225000	225000	225000	3	3	100	5	9	2848900	316544	312000	9	2	100	11	10	3073900	307390
05-2015	15	05	Durham Region	1320	593784407	449837	421000	1851	72.2	1436	1.3	101	15	-	898	450867271	502079	475500	1341	1150	101	15	94	31676750	336987	325000	109	52	104	9	82	22646700	276179	291500	105	72	103	15	58	15702927	270740	245000	63	60	100	27	132	50024048	378970	378500	171	77	103	9	190	65726975	345931.447368421
05-2015	15	05	East Gwillimbury	44	23426600	532423	500000	63	62.8	75	2.5	99	21	-	38	20644600	543279	505000	53	72	98	23	3	1546000	515333	520000	2	-	104	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1236000	412000	392000	8	3	103	5	-	-	-
05-2015	15	05	Essa	54	19565493	362324	338500	61	69.4	82	2.6	99	29	-	45	16973193	377182	359513	53	75	99	32	-	-	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	784400	261467	259900	2	1	100	8	-	-	-
05-2015	15	05	Georgina	103	42995449	417432	405000	188	65.5	227	2.2	98	26	-	92	39165000	425707	409950	174	208	98	27	3	1151500	383833	384500	2	3	97	18	2	720450	360225	360225	3	3	99	12	1	157000	157000	157000	-	4	98	44	5	1801499	360300	349999	9	9	99	11	6	1958499	326416.5
05-2015	15	05	Halton Hills	127	70479571	554957	526000	169	67.3	187	2.1	98	22	-	101	60957320	603538	559900	136	166	98	24	2	838000	419000	419000	6	3	102	11	11	3236200	294200	275000	13	8	101	13	2	580000	290000	290000	4	5	93	50	10	4479651	447965	447450	9	4	101	11	12	5059651	421637.583333333
05-2015	15	05	Halton Region	1035	682835127	659744	575000	1541	65.2	1621	2	99	21	-	613	490361483	799937	690000	976	1103	98	22	74	38783747	524105	502500	98	63	99	16	92	36513733	396888	367750	109	97	99	20	83	29474430	355114	299990	136	193	98	35	161	81742834	507719	467900	207	153	100	14	244	111217264	455808.459016393
05-2015	15	05	Innisfil	89	36231850	407099	375000	132	59	182	3.4	98	31	-	81	33710450	416178	387000	123	174	98	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1813500	302250	313750	6	5	98	44	-	-	-
05-2015	15	05	King	62	61456199	991229	930000	102	44.1	176	5.7	96	43	-	50	54802799	1096056	1025000	80	145	95	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	2703000	450500	420500	15	27	97	98	5	3431900	686380	705000	6	3	99	14	11	6134900	557718.181818182
05-2015	15	05	Markham	634	529087922	834524	770000	1085	61.9	870	1.7	104	14	-	331	357785910	1080924	968000	544	358	104	12	44	29200500	663648	653000	72	34	104	10	38	19416977	510973	495000	64	44	102	14	93	35102926	377451	346000	220	336	97	30	72	46010459	639034	622500	97	59	106	11	165	81113385	491596.272727273
05-2015	15	05	Milton	290	161760652	557795	523750	414	70	349	1.4	99	18	-	153	103084147	673753	620000	240	243	99	20	36	17564888	487914	483250	48	29	100	13	6	1838900	306483	307450	9	6	101	13	18	5625480	312527	312000	22	19	99	28	74	32162237	434625	434000	88	48	100	13	92	37787717	410736.054347826
05-2015	15	05	Mississauga	1215	685422374	564134	520000	2050	59.4	2073	2.1	99	19	-	442	373348071	844679	745000	810	745	99	15	195	105014628	538537	548000	260	163	101	12	222	87769508	395358	394500	357	289	100	16	291	84338747	289824	274900	529	809	98	31	52	27076420	520700	516900	76	57	100	13	343	111415167	324825.559766764
05-2015	15	05	New Tecumseth	81	34622677	427440	401500	77	74	109	2.5	98	29	-	53	23468672	442805	418000	58	78	98	31	2	684900	342450	342450	3	5	99	5	1	245000	245000	245000	1	2	96	37	1	205000	205000	205000	1	9	104	10	6	1928500	321417	312250	7	4	101	9	7	2133500	304785.714285714
05-2015	15	05	Newmarket	218	131396865	602738	585000	263	74.7	169	1.2	100	14	-	151	101750577	673845	645000	186	125	100	14	26	12887400	495669	512500	34	18	101	9	11	4875300	443209	365000	10	6	101	16	11	2899000	263545	230000	7	8	97	32	19	8984588	472873	473000	26	12	101	8	30	11883588	396119.6
05-2015	15	05	Oakville	393	323303008	822654	718000	641	59.3	740	2.4	98	21	-	246	243935343	991607	861500	411	477	98	21	23	13821919	600953	565000	26	15	99	19	36	15817900	439386	397250	45	48	100	22	30	12710000	423667	328500	70	115	98	37	54	34585346	640469	559000	85	81	100	14	84	47295346	563039.833333333
05-2015	15	05	Orangeville	94	36872150	392257	367000	93	77.3	78	2.2	99	27	-	69	29595350	428918	404500	64	64	99	31	11	3304900	300445	293000	10	5	100	21	4	898000	224500	225000	6	3	100	20	1	225000	225000	225000	3	3	100	5	9	2848900	316544	312000	9	2	100	11	10	3073900	307390
05-2015	15	05	Oshawa	327	116059664	354923	339900	432	74.2	289	1.1	101	13	-	224	89282386	398582	393500	319	228	101	14	44	11858200	269505	266500	44	21	104	10	26	5449600	209600	208000	33	17	102	13	11	2509278	228116	187000	10	10	104	19	12	3629900	302492	305000	14	8	102	10	23	6139178	266920.782608696
05-2015	15	05	Peel Region	2439	1315389679	539315	495000	3893	61.4	3612	1.9	99	17	-	1141	795673918	697348	640000	1948	1764	99	16	448	217343681	485142	479750	573	352	100	12	298	112368807	377077	365250	488	409	100	17	346	97316663	281262	268000	617	922	98	30	180	79149710	439721	427250	237	147	100	13	526	176466373	335487.401140684
