date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
05-2021	21	05	Adjala-Tosorontio	26	27998800	1076877	957500	33	80.4	27	1.2	101	15	17	26	27998800	1076877	957500	33	27	101	15	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
05-2021	21	05	Ajax	227	215235564	948174	895000	296	78	113	0.5	111	8	12	131	140302736	1071013	1018000	166	64	111	7	20	17234000	861700	857750	26	9	107	9	53	42699600	805653	815000	62	21	110	10	12	7936828	661402	645000	25	10	106	10	5	2435900	487180	515900	10	7	110	9	17	10372728	610160.470588235
05-2021	21	05	Aurora	134	167126117	1247210	1165000	201	65.2	152	1.3	103	15	20	80	118524841	1481561	1400500	112	100	102	17	13	11931000	917769	935000	17	9	104	12	18	18000276	1000015	975500	35	16	108	9	13	11511500	885500	786000	24	15	102	16	9	6238500	693167	630000	12	12	101	16	22	17750000	806818.181818182
05-2021	21	05	Bradford West Gwillimbury	99	108754900	1098534	990000	142	73.6	74	0.8	103	11	15	83	95999900	1156625	1075000	119	63	102	12	6	5269000	878167	908750	8	3	107	6	7	5739000	819857	850000	11	6	105	13	0	0	0	-	0	0	-	-	2	937000	468500	468500	2	1	115	6	-	-	-
05-2021	21	05	Brampton	1174	1171291893	997693	920000	1808	69.4	960	0.8	104	10	15	619	733936978	1185682	1105000	1031	515	104	9	230	204744809	890195	885000	305	136	105	10	165	134870805	817399	820000	239	140	104	12	95	62969401	662836	648000	129	95	103	14	60	30272400	504540	499000	90	64	101	15	155	93241801	601560.006451613
05-2021	21	05	Brock	39	29229046	749463	740000	41	82.8	22	0.9	106	11	17	37	28249146	763490	745000	40	22	106	12	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	2	979900	489950	489950	1	0	101	4	0	0	0	-	0	0	-	-	-	-	-
05-2021	21	05	Burlington	368	381235198	1035965	930750	444	78.1	230	0.9	105	10	11	167	234107832	1401843	1321000	218	121	105	9	21	19508100	928957	945000	34	14	110	5	43	37513150	872399	850000	34	8	103	9	60	44861398	747690	725000	69	28	106	9	75	43989818	586531	535000	88	58	102	13	135	88851216	658157.155555556
05-2021	21	05	Caledon	134	200492746	1496215	1317500	234	70	178	1.2	101	11	15	106	174541458	1646618	1392500	192	150	101	11	7	6977000	996714	1007000	13	7	105	6	18	15855500	880861	872500	25	16	104	13	1	745000	745000	745000	0	2	106	17	1	874900	874900	874900	2	2	101	27	2	1619900	809950
05-2021	21	05	City of Toronto	4118	4598718991	1116736	890000	7051	57.5	5196	1.6	106	12	16	1255	2153921884	1716272	1395000	2126	1479	106	10	447	592790540	1326153	1189000	691	363	113	9	174	213435265	1226639	1112995	255	147	108	10	338	270862133	801367	735000	587	418	106	12	1881	1348632169	716976	639000	3351	2754	103	13	2219	1619494302	729830.690401082
05-2021	21	05	City of Toronto Total	4118	4598718991	1116736	890000	7051	57.5	5196	1.6	106	12	16	1255	2153921884	1716272	1395000	2126	1479	106	10	447	592790540	1326153	1189000	691	363	113	9	174	213435265	1226639	1112995	255	147	108	10	338	270862133	801367	735000	587	418	106	12	1881	1348632169	716976	639000	3351	2754	103	13	2219	1619494302	729830.690401082
