date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
12-2012	12	12	Adjala-Tosorontio	9	4039000	448778	407000	6	49.7	56	6.4	96	49	-	9	4039000	448778	407000	6	56	96	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12-2012	12	12	Ajax	70	24501805	350026	323300	80	66.4	155	1.5	98	28	-	46	17778205	386483	369500	51	100	98	29	3	989000	329667	333000	7	8	99	12	4	1004600	251150	248050	4	13	97	24	5	1149000	229800	214000	4	12	97	29	12	3581000	298417	286750	13	18	97	29	17	4730000	278235.294117647
12-2012	12	12	Aurora	35	21501688	614334	475000	28	61.5	117	2.1	93	53	-	20	15884188	794209	651000	16	83	91	63	2	743500	371750	371750	3	4	97	31	4	1327000	331750	325750	3	8	99	37	4	1635500	408875	426250	-	10	97	53	4	1512500	378125	392750	5	10	97	34	8	3148000	393500
12-2012	12	12	Bradford West Gwillimbury	27	12226500	452833	430000	20	62.6	96	2.4	96	35	-	24	11287000	470292	440000	14	83	96	35	-	-	-	-	2	3	-	-	1	225000	225000	225000	1	-	100	15	-	-	-	-	-	-	-	-	-	-	-	-	1	5	-	-	-	-	-
12-2012	12	12	Brampton	361	144554670	400428	374500	510	52.4	1200	2.3	97	32	-	192	91096369	474460	460000	303	764	97	32	80	28319651	353996	348500	100	181	98	27	29	7572400	261117	242000	29	54	98	37	20	4001500	200075	187500	33	97	96	46	37	12555750	339345	337000	43	97	98	26	57	16557250	290478.070175439
12-2012	12	12	Brock	7	2168500	309786	270000	17	45.4	93	7.5	96	70	-	7	2168500	309786	270000	17	91	96	70	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12-2012	12	12	Burlington	47	21804600	463928	455000	42	58.8	153	2.7	98	32	-	21	12290700	585271	546000	26	110	98	34	2	766400	383200	383200	2	5	99	8	5	2164300	432860	390000	3	9	99	48	10	2999800	299980	267500	5	17	97	38	7	2836400	405200	410000	4	11	98	22	17	5836200	343305.882352941
12-2012	12	12	Caledon	31	18100590	583890	550000	34	52	209	3.9	96	47	-	26	16372490	629711	577500	29	193	96	52	-	-	-	-	-	3	-	-	2	592100	296050	296050	-	-	94	28	-	-	-	-	-	5	-	-	2	716000	358000	358000	4	7	98	18	-	-	-
12-2012	12	12	City of Toronto	1470	726367202	494127	404250	1679	51	5291	2.7	97	37	-	491	354695096	722393	562000	453	1301	97	30	129	71757517	556260	510500	95	214	99	25	109	37716620	346024	305000	121	321	98	37	680	233135919	342847	317250	938	3290	97	44	45	22742200	505382	512500	54	109	98	27	725	255878119	352935.336551724
12-2012	12	12	City of Toronto Total	1470	726367202	494127	404250	1679	51	5291	2.7	97	37	-	491	354695096	722393	562000	453	1301	97	30	129	71757517	556260	510500	95	214	99	25	109	37716620	346024	305000	121	321	98	37	680	233135919	342847	317250	938	3290	97	44	45	22742200	505382	512500	54	109	98	27	725	255878119	352935.336551724
12-2012	12	12	Clarington	64	19494200	304597	277500	80	67.5	178	2.1	97	28	-	45	15158450	336854	307000	58	145	97	32	2	451000	225500	225500	1	2	99	21	2	462000	231000	231000	3	4	99	13	3	702500	234167	217000	6	13	99	32	11	2400250	218205	217500	8	6	99	18	14	3102750	221625
12-2012	12	12	Dufferin County	22	7814350	355198	338000	19	72.8	81	2.3	98	42	-	13	5643750	434135	375000	13	65	98	59	2	457000	228500	228500	1	3	96	36	5	1056600	211320	208000	4	5	99	14	-	-	-	-	-	3	-	-	2	657000	328500	328500	1	5	98	12	-	-	-
12-2012	12	12	Durham Region	410	134181175	327271	300000	455	64.4	1162	2	97	32	-	285	102849875	360877	335000	317	907	97	35	24	5863300	244304	229750	27	40	99	25	30	6159650	205322	201750	36	69	98	19	20	4389000	219450	197500	23	69	97	49	46	13396950	291238	295300	38	52	98	21	66	17785950	269484.090909091
12-2012	12	12	East Gwillimbury	12	5743000	478583	380500	17	56.6	83	3.3	96	45	-	11	5473000	497545	381000	17	79	96	43	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	270000	270000	270000	-	2	96	63	-	-	-
12-2012	12	12	Essa	7	1831500	261643	235000	7	56.4	56	4.7	96	56	-	6	1606500	267750	260750	7	51	96	65	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	225000	225000	225000	-	1	98	5	-	-	-
12-2012	12	12	Georgina	37	11651500	314905	290000	43	64	138	3.1	97	53	-	32	10401500	325047	295000	40	135	97	59	1	240000	240000	240000	-	-	98	10	-	-	-	-	-	-	-	-	1	218000	218000	218000	-	2	99	33	3	792000	264000	253000	3	1	97	16	4	1010000	252500
12-2012	12	12	Halton Hills	29	12486987	430586	408000	51	65.2	158	2.4	97	44	-	23	10920587	474808	469000	41	138	97	46	3	977000	325667	334000	2	4	98	28	3	589400	196467	197000	2	4	99	44	-	-	-	-	1	2	-	-	-	-	-	-	5	10	-	-	-	-	-
12-2012	12	12	Halton Region	253	132806363	524926	465000	252	57.1	932	2.5	97	34	-	151	93937563	622103	536000	160	683	97	38	16	6195100	387194	391000	17	31	99	22	14	4812100	343721	314200	17	44	98	37	23	8310200	361313	271000	16	78	97	36	44	17501900	397770	391500	40	94	98	26	67	25812100	385255.223880597
12-2012	12	12	Innisfil	23	7719500	335630	321000	23	56.1	130	4.4	96	49	-	22	7534500	342477	322000	23	129	96	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	185000	185000	185000	-	1	89	9	-	-	-
12-2012	12	12	King	9	10635000	1181667	818000	21	45.9	125	6	92	99	-	9	10635000	1181667	818000	19	108	92	99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	12	-	-	-	-	-	-	1	2	-	-	-	-	-
12-2012	12	12	Markham	164	97813499	596424	547250	191	52.4	617	2.4	96	32	-	85	65397399	769381	718000	81	277	96	32	7	3450700	492957	517000	14	21	99	27	17	6043300	355488	330000	11	41	98	27	29	10546500	363672	292000	46	198	95	38	15	6846400	456427	425000	24	60	98	30	44	17392900	395293.181818182
