date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
04-2017	17	04	Adjala-Tosorontio	24	31439400	1309975	1083850	38	78	35	1.9	101	17	-	24	31439400	1309975	1083850	37	34	101	17	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
04-2017	17	04	Ajax	247	183899738	744533	740000	366	77.4	176	0.6	114	7	-	166	137781128	830007	800509	252	119	113	6	15	10476000	698400	700000	21	11	117	6	17	8454388	497317	510000	19	7	115	8	15	5679448	378630	385000	13	6	111	11	29	18515774	638475	645000	57	32	114	9	44	24195222	549891.409090909
04-2017	17	04	Aurora	152	193012760	1269821	1150000	358	66.4	224	0.9	109	11	-	106	156938000	1480547	1303000	246	161	109	11	8	6292800	786600	751400	36	24	106	12	12	9262000	771833	645000	17	9	104	11	5	2545900	509180	460000	15	12	100	11	19	15934060	838635	838000	44	18	110	9	24	18479960	769998.333333333
04-2017	17	04	Bradford West Gwillimbury	90	76901100	854457	767000	204	72	135	0.9	109	8	-	66	61331300	929262	865000	164	111	110	9	6	4065000	677500	702500	13	7	104	6	1	439900	439900	439900	5	4	100	9	0	-	-	-	1	3	-	-	8	5661000	707625	725000	10	6	113	8	-	-	-
04-2017	17	04	Brampton	1120	854663164	763092	725000	2326	71.5	1282	0.7	108	8	-	591	533206438	902211	845000	1315	766	107	8	231	157420037	681472	672000	489	240	109	6	80	40732988	509162	499500	136	75	109	8	68	24730799	363688	358000	97	52	107	8	142	92880402	654087	651000	275	144	110	8	210	117611201	560053.338095238
04-2017	17	04	Brock	25	12733400	509336	430000	48	77	43	2	105	10	-	25	12733400	509336	430000	47	42	105	10	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
04-2017	17	04	Burlington	264	219508972	831473	778000	414	80.5	266	0.9	107	9	-	153	154850137	1012092	935000	275	181	107	8	13	8762000	674000	636000	22	13	109	8	26	14529385	558823	505000	43	32	112	8	34	15221400	447688	423500	38	21	105	14	34	23062750	678316	668750	31	16	107	10	68	38284150	563002.205882353
04-2017	17	04	Caledon	119	117463312	987087	900100	225	68.6	185	1.5	106	10	-	90	96930512	1077006	999950	186	167	106	11	9	6963000	773667	781000	17	8	109	9	1	670000	670000	670000	1	0	122	6	3	2040000	680000	685000	0	0	99	21	15	10159800	677320	680100	19	9	105	8	18	12199800	677766.666666667
04-2017	17	04	City of Toronto	4164	3930596896	943947	715000	7015	72.4	4218	1.1	111	10	-	1268	2001591424	1578542	1285000	2565	1605	112	8	321	354399240	1104047	965000	575	310	118	7	263	177694413	675644	612000	411	228	111	11	2148	1242144726	578280	506000	3178	1920	109	10	118	124487745	1054981	970000	220	119	111	9	2266	1366632471	603103.473521624
04-2017	17	04	City of Toronto Total	4164	3930596896	943947	715000	7015	72.4	4218	1.1	111	10	-	1268	2001591424	1578542	1285000	2565	1605	112	8	321	354399240	1104047	965000	575	310	118	7	263	177694413	675644	612000	411	228	111	11	2148	1242144726	578280	506000	3178	1920	109	10	118	124487745	1054981	970000	220	119	111	9	2266	1366632471	603103.473521624
04-2017	17	04	Clarington	282	179987184	638252	600000	416	80.1	183	0.7	112	7	-	196	136031699	694039	663000	304	144	111	8	8	3355100	419388	435000	12	4	120	5	7	3336350	476621	525000	8	2	120	7	7	2422000	346000	340000	10	8	109	11	34	17601536	517692	512500	43	14	122	4	41	20023536	488378.926829268
