date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
04-2014	14	04	Adjala-Tosorontio	16	6419950	401247	379000	37	55.4	72	5.4	98	69	-	16	6419950	401247	379000	37	72	98	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
04-2014	14	04	Ajax	211	88852700	421103	400000	333	68.6	235	1.3	99	15	-	139	64653200	465131	460000	228	170	99	15	18	6800900	377828	368000	27	17	100	14	14	3843200	274514	276500	22	13	99	16	4	871000	217750	217500	13	12	99	17	29	10016400	345393	351000	35	22	100	22	33	10887400	329921.212121212
04-2014	14	04	Aurora	110	68030253	618457	561650	161	63	160	2.4	100	17	-	65	47108353	724744	659000	111	114	100	18	12	5670200	472517	460500	14	5	101	10	7	3785500	540786	430000	6	11	98	25	5	1732000	346400	322000	3	18	97	21	20	9164200	458210	459500	27	12	100	13	25	10896200	435848
04-2014	14	04	Bradford West Gwillimbury	62	28282394	456168	443722	137	59.4	172	2.7	98	19	-	44	21629744	491585	495500	110	146	98	18	9	3360900	373433	382000	11	6	99	18	1	242500	242500	242500	-	-	98	7	-	-	-	-	3	5	-	-	5	1943250	388650	390000	10	12	98	21	-	-	-
04-2014	14	04	Brampton	891	393001755	441079	425000	1535	54.1	1526	2.4	98	19	-	505	258607497	512094	487000	937	978	98	20	176	69209105	393234	386550	253	196	99	14	49	13978550	285277	283000	100	110	98	22	62	13776850	222207	219050	73	107	98	25	93	34837353	374595	370000	157	118	99	18	155	48614203	313640.019354839
04-2014	14	04	Brock	13	6217900	478300	320000	34	53.9	85	5.8	97	32	-	13	6217900	478300	320000	32	82	97	32	-	-	-	-	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
04-2014	14	04	Burlington	161	93589047	581298	490000	270	64.2	319	2.5	98	24	-	97	69726388	718829	628000	159	199	98	28	9	3815750	423972	426000	9	6	100	9	23	8489801	369122	344200	34	26	100	18	12	3254708	271226	249500	43	68	99	27	17	7107500	418088	418000	23	19	100	16	29	10362208	357317.517241379
04-2014	14	04	Caledon	101	60680650	600799	562000	190	50.4	290	4	98	34	-	83	53308650	642273	599000	163	262	98	38	9	3807000	423000	424000	9	5	100	10	1	304000	304000	304000	1	-	101	10	1	540000	540000	540000	1	4	98	71	7	2721000	388714	393000	14	16	99	14	8	3261000	407625
04-2014	14	04	City of Toronto	3544	2274062972	641666	500000	6686	54.8	7674	2.5	101	20	-	1296	1251508806	965670	740000	2215	1903	101	14	364	255648721	702332	619000	530	316	107	10	235	100549250	427869	387000	415	437	100	20	1505	579061497	384758	344500	3269	4806	98	28	118	75274195	637917	563000	207	154	103	11	1623	654335692	403164.320394331
04-2014	14	04	City of Toronto Total	3544	2274062972	641666	500000	6686	54.8	7674	2.5	101	20	-	1296	1251508806	965670	740000	2215	1903	101	14	364	255648721	702332	619000	530	316	107	10	235	100549250	427869	387000	415	437	100	20	1505	579061497	384758	344500	3269	4806	98	28	118	75274195	637917	563000	207	154	103	11	1623	654335692	403164.320394331
04-2014	14	04	Clarington	198	66134572	334013	316750	272	67.6	249	1.7	99	17	-	140	50583638	361312	352750	201	212	99	19	4	918500	229625	232750	5	2	100	12	5	1324600	264920	251500	4	5	102	17	7	1476000	210857	214000	13	9	101	10	23	5930439	257845	255900	23	6	100	9	30	7406439	246881.3
04-2014	14	04	Dufferin County	61	21147350	346678	350000	99	67.8	145	2.6	98	39	-	44	16615450	377624	356500	81	124	98	36	6	1602400	267067	268250	6	6	98	56	4	793500	198375	195000	3	5	98	28	1	382500	382500	382500	1	4	96	220	6	1753500	292250	294750	8	6	98	17	7	2136000	305142.857142857
04-2014	14	04	Durham Region	1130	442226790	391351	368000	1709	66.4	1592	1.7	99	17	-	798	344739540	432004	413000	1267	1278	99	18	72	22729100	315682	326500	99	61	100	13	68	15999116	235281	236250	98	86	100	14	43	10110100	235119	230000	62	62	99	17	108	34664139	320964	326500	125	73	100	15	151	44774239	296518.139072848
04-2014	14	04	East Gwillimbury	40	21997650	549941	465750	52	65.9	62	3.1	97	31	-	32	19469350	608417	520000	43	58	97	35	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	2	431500	215750	215750	2	-	98	14	6	2096800	349467	349250	7	3	99	18	8	2528300	316037.5
04-2014	14	04	Essa	34	10732800	315671	289250	59	67.8	88	3.1	99	36	-	19	6745000	355000	350000	42	74	99	48	1	309900	309900	309900	1	2	100	42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	1685500	240786	242000	8	4	98	24	-	-	-
04-2014	14	04	Georgina	69	24839100	359987	360000	144	64	198	2.6	97	24	-	65	23605200	363157	365000	134	184	97	25	-	-	-	-	1	-	-	-	1	240000	240000	240000	-	-	96	42	-	-	-	-	-	6	-	-	2	691900	345950	345950	8	7	99	14	-	-	-
04-2014	14	04	Halton Hills	112	59217128	528724	520000	165	63	203	2.6	99	21	-	89	51182175	575081	560000	142	190	98	23	3	1095000	365000	433000	1	2	100	8	5	1303000	260600	256000	6	3	100	19	4	1101900	275475	271000	4	2	98	14	9	3747053	416339	410000	11	6	100	10	13	4848953	372996.384615385
04-2014	14	04	Halton Region	881	563251411	639332	550000	1427	63.1	1588	2.3	98	20	-	543	422828226	778689	674900	940	1092	98	22	57	25482100	447054	445100	76	56	100	12	57	21041151	369143	330000	81	82	99	24	53	16165008	305000	272500	115	201	98	32	153	68632526	448579	425000	201	151	100	13	206	84797534	411638.514563107
04-2014	14	04	Innisfil	55	19588264	356150	340000	100	58.1	175	4	97	37	-	49	17980264	366944	363000	94	172	97	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1608000	268000	269500	5	2	98	19	-	-	-
04-2014	14	04	King	31	26848700	866087	838800	81	41.7	168	6.5	97	40	-	22	21012300	955105	930000	68	153	96	36	1	600000	600000	600000	-	-	100	4	-	-	-	-	-	1	-	-	3	1682900	560967	675000	6	9	99	91	5	3553500	710700	720000	7	5	99	35	8	5236400	654550
04-2014	14	04	Markham	524	358169051	683529	640250	881	59.5	790	2	101	16	-	245	219018003	893951	808000	426	338	101	13	40	21759279	543982	539000	48	26	102	10	40	17869700	446743	434000	62	55	100	19	74	24777279	334828	313400	181	280	97	33	70	39094890	558498	539000	88	55	102	12	144	63872169	443556.729166667
04-2014	14	04	Milton	263	129033376	490621	464000	406	65.5	353	1.7	99	16	-	122	73133777	599457	574750	224	222	98	18	37	16735850	452320	448000	49	30	100	12	10	2833000	283300	277750	9	9	97	33	16	4598900	287431	284000	21	29	99	26	76	30851849	405945	410000	99	60	100	11	92	35450749	385334.22826087
04-2014	14	04	Mississauga	1094	571947092	522804	471768	1989	55.1	2157	2.4	99	18	-	414	313437667	757096	665000	754	760	98	15	178	87458285	491339	489450	278	169	100	11	195	74826371	383725	369900	311	277	99	16	255	70577393	276774	260000	555	893	97	30	39	18838088	483028	465000	67	43	100	11	294	89415481	304134.289115646
04-2014	14	04	New Tecumseth	59	20057600	339959	334000	89	68	190	3.2	98	44	-	40	14448200	361205	343750	58	131	98	36	2	450000	225000	225000	2	4	97	34	2	556500	278250	278250	5	6	97	116	3	717400	239133	209900	2	12	98	88	5	1325000	265000	270000	8	8	99	13	8	2042400	255300
04-2014	14	04	Newmarket	163	88874418	545242	508500	245	71.1	202	1.5	99	17	-	104	65046618	625448	580000	164	149	99	17	22	8960900	407314	419000	29	20	100	11	9	3124600	347178	344000	18	10	99	13	3	721000	240333	261000	7	7	99	70	24	10541300	439221	442450	25	15	99	14	27	11262300	417122.222222222
04-2014	14	04	Oakville	345	281411860	815687	722000	586	60.9	713	2.5	98	22	-	235	228785886	973557	815000	415	481	98	22	8	3835500	479438	462500	17	18	98	11	19	8415350	442913	422000	32	44	98	28	21	7209500	343310	306000	47	102	98	42	51	26926124	527963	501888	68	66	100	16	72	34135624	474105.888888889
04-2014	14	04	Orangeville	61	21147350	346678	350000	99	67.8	145	2.6	98	39	-	44	16615450	377624	356500	81	124	98	36	6	1602400	267067	268250	6	6	98	56	4	793500	198375	195000	3	5	98	28	1	382500	382500	382500	1	4	96	220	6	1753500	292250	294750	8	6	98	17	7	2136000	305142.857142857
04-2014	14	04	Oshawa	265	80392488	303368	283500	439	68.3	383	1.4	99	14	-	192	64507938	335979	329550	343	298	99	15	25	5764900	230596	228000	43	30	101	13	25	4792350	191694	187000	31	31	100	11	9	1323900	147100	167000	10	11	98	16	11	3206400	291491	316000	8	9	100	15	20	4530300	226515
04-2014	14	04	Peel Region	2086	1025629497	491673	450000	3714	54.4	3973	2.5	98	19	-	1002	625353814	624106	570500	1854	2000	98	20	363	160474390	442078	435000	540	370	100	13	245	89108921	363710	354000	412	387	99	17	318	84894243	266963	250000	629	1004	97	30	139	56396441	405730	389000	238	177	99	16	457	141290684	309169.986870897
04-2014	14	04	Pickering	141	68578524	486373	440000	215	64.3	178	1.7	99	17	-	88	50577774	574747	512500	140	127	98	18	14	5737500	409821	407500	11	5	101	13	14	3648500	260607	246500	29	22	101	18	8	2235500	279438	260000	17	16	98	13	12	4286250	357188	363250	11	6	100	17	20	6521750	326087.5
04-2014	14	04	Richmond Hill	353	273590536	775044	700000	730	52.8	752	2.5	100	17	-	203	200808247	989203	880000	441	415	100	14	18	9992608	555145	559400	29	19	101	19	13	6011600	462431	445000	25	26	100	19	50	16974100	339482	307750	129	219	98	33	63	36137981	573619	568000	101	66	102	14	113	53112081	470018.415929204
04-2014	14	04	Scugog	34	15725900	462526	428500	48	57.1	93	3.8	97	45	-	34	15725900	462526	428500	47	89	97	45	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
04-2014	14	04	Simcoe County	226	85081008	376465	361250	422	62	697	3.4	98	36	-	168	67223158	400138	390000	341	595	98	37	12	4120800	343400	352450	14	12	99	23	3	799000	266333	242500	5	6	97	80	3	717400	239133	209900	5	17	98	88	23	6561750	285293	263000	31	26	98	19	26	7279150	279967.307692308
04-2014	14	04	Toronto C01	402	194732994	484410	411000	1016	43	1516	3.9	100	27	-	3	2448000	816000	803000	22	16	103	8	22	21721687	987349	901400	32	16	106	10	25	12778400	511136	482000	39	42	101	20	338	147158407	435380	393500	895	1423	98	30	13	9876500	759731	710000	27	19	103	8	351	157034907	447392.897435897
04-2014	14	04	Toronto C02	89	97348976	1093809	900000	164	48	247	3.8	103	17	-	19	32812000	1726947	1800000	26	28	101	14	27	35739900	1323700	1320000	32	17	108	8	3	2405000	801667	840000	4	4	103	14	38	24980076	657370	576000	96	189	99	26	1	1062000	1062000	1062000	4	6	98	26	39	26042076	667745.538461538
04-2014	14	04	Toronto C03	53	65925268	1243873	1015500	90	58.8	105	2.4	99	22	-	33	51379818	1556964	1320000	55	65	99	23	8	5596000	699500	525000	10	8	101	10	-	-	-	-	-	4	-	-	9	6789000	754333	634000	17	20	98	24	1	1573750	1573750	1573750	3	3	99	16	10	8362750	836275
