date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
03-2012	12	03	Adjala-Tosorontio	10	4133650	413365	386125	35	46.2	80	7	98	61	-	10	4133650	413365	386125	34	80	98	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
03-2012	12	03	Ajax	211	75629599	358434	355000	343	60.3	290	1.9	99	21	-	132	54558200	413320	392500	220	180	99	20	20	6508000	325400	325750	19	15	100	19	15	3505999	233733	242000	30	27	98	28	14	2689500	192107	179000	13	24	97	36	22	6114400	277927	276000	49	39	98	18	36	8803900	244552.777777778
03-2012	12	03	Aurora	116	67219181	579476	517450	158	70.4	151	1.8	99	20	-	69	46663425	676282	570000	107	110	98	19	13	4980100	383085	379000	17	8	101	9	12	6568056	547338	622500	11	9	98	46	5	1910400	382080	327000	4	13	98	46	16	6572200	410763	400250	18	11	102	8	21	8482600	403933.333333333
03-2012	12	03	Bradford West Gwillimbury	73	30943833	423888	372000	90	72.1	87	2.2	99	27	-	53	24328433	459027	420000	67	69	98	30	8	2685900	335738	342450	7	6	101	16	1	224000	224000	224000	2	1	99	3	-	-	-	-	-	-	-	-	2	587500	293750	293750	1	1	95	32	-	-	-
03-2012	12	03	Brampton	826	333064124	403225	385050	1511	58.9	1359	2	98	18	-	474	221193869	466654	445400	714	800	98	18	169	61832875	365875	360000	211	203	99	14	59	15071600	255451	241500	71	99	99	22	50	10208978	204180	206000	71	144	97	33	68	22582102	332090	334500	107	104	99	14	118	32791080	277890.508474576
03-2012	12	03	Brock	20	5665990	283300	252500	50	40.7	135	8.7	96	112	-	18	5206000	289222	252500	50	126	96	90	-	-	-	-	-	1	-	-	1	168000	168000	168000	-	7	98	202	-	-	-	-	-	-	-	-	1	291990	291990	291990	-	1	100	411	-	-	-
03-2012	12	03	Burlington	76	36478288	479977	432500	131	64.3	159	2.3	99	21	-	40	24650300	616258	557750	63	115	98	23	4	1536000	384000	4e+05	5	6	98	10	12	3569900	297492	284000	17	16	98	23	6	1529388	254898	255250	8	11	98	21	10	3670700	367070	371950	10	9	99	13	16	5200088	325005.5
03-2012	12	03	Caledon	94	48499100	515948	468000	135	57.2	212	3.5	98	28	-	74	41134350	555870	520500	86	201	98	31	13	4926750	378981	383750	10	4	99	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	2438000	348286	337000	9	6	98	12	-	-	-
03-2012	12	03	City of Toronto	3682	2019039303	548354	428000	6375	58.9	6896	2.2	101	21	-	1287	1050409805	816169	632000	1948	1769	102	15	388	220895608	569319	523750	549	377	105	11	251	86877652	346126	327000	365	409	100	21	1584	573091894	361800	329900	2935	4106	98	28	124	70700304	570164	508000	181	169	103	16	1708	643792198	376927.516393443
03-2012	12	03	City of Toronto Total	3682	2019039303	548354	428000	6375	58.9	6896	2.2	101	21	-	1287	1050409805	816169	632000	1948	1769	102	15	388	220895608	569319	523750	549	377	105	11	251	86877652	346126	327000	365	409	100	21	1584	573091894	361800	329900	2935	4106	98	28	124	70700304	570164	508000	181	169	103	16	1708	643792198	376927.516393443
03-2012	12	03	Clarington	200	58594006	292970	274750	314	57.9	336	2.7	98	27	-	147	46797966	318354	291500	231	258	98	25	-	-	-	-	6	7	-	-	7	1498500	214071	225000	5	6	98	69	10	1676990	167699	162995	22	29	98	49	17	3712550	218385	224500	26	16	99	19	27	5389540	199612.592592593
03-2012	12	03	Dufferin County	72	23698100	329140	321500	94	64.7	136	2.6	98	36	-	51	18983800	372231	360000	47	99	98	42	7	1705800	243686	245000	11	9	100	11	7	1315500	187929	190000	9	6	99	18	5	1194000	238800	230000	3	17	97	43	2	499000	249500	249500	1	2	99	11	7	1693000	241857.142857143
03-2012	12	03	Durham Region	1179	389636566	330481	310000	1832	60.3	1932	2.4	98	26	-	818	300854599	367793	357000	1317	1447	98	26	91	23854350	262136	240000	105	75	99	22	79	16687199	211230	213500	108	123	98	37	48	10075278	209902	187250	85	128	97	38	99	26093740	263573	268000	154	113	99	23	147	36169018	246047.741496599
03-2012	12	03	East Gwillimbury	30	14334890	477830	437495	46	61	69	3.2	98	31	-	25	12779390	511176	450000	42	68	98	35	1	429000	429000	429000	1	-	100	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1126500	281625	274000	3	1	99	11	-	-	-
03-2012	12	03	Essa	23	7096053	308524	245000	70	50.3	155	5.5	98	47	-	14	5025000	358929	309500	51	124	98	55	1	244000	244000	244000	1	4	98	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	654053	218018	219990	11	17	99	45	-	-	-
03-2012	12	03	Georgina	93	29616200	318454	306000	159	61.6	213	3.4	97	32	-	84	27423200	326467	314750	150	207	97	33	3	799500	266500	286000	3	2	98	50	-	-	-	-	-	2	-	-	2	271500	135750	135750	1	-	97	25	4	1122000	280500	247000	5	2	98	17	6	1393500	232250
