date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
10-2016	16	10	Adjala-Tosorontio	14	9719288	694235	688950	16	77	33	2.4	98	36	-	14	9719288	694235	688950	16	33	98	36	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
10-2016	16	10	Ajax	173	108610135	627804	605000	246	78.5	125	0.6	106	10	-	109	77818238	713929	681000	159	88	105	10	12	6638175	553181	555000	18	5	111	7	14	6107200	436229	440250	17	6	104	14	9	2812400	312489	320000	11	7	100	14	28	14601122	521469	522500	38	17	106	7	37	17413522	470635.72972973
10-2016	16	10	Aurora	114	109357962	959280	900000	188	73.8	136	0.9	103	12	-	66	80018563	1212402	1046500	114	80	103	11	6	4081800	680300	681400	14	9	102	14	16	8896000	556000	505000	17	14	102	12	7	2923000	417571	388000	9	10	102	10	18	12590599	699478	670500	30	21	102	13	25	15513599	620543.96
10-2016	16	10	Bradford West Gwillimbury	58	38753700	668167	624250	102	77.9	73	1	100	13	-	42	30318300	721864	647450	83	63	99	14	5	2724900	544980	545000	7	2	102	6	1	400000	400000	400000	1	0	100	9	0	-	-	-	0	1	-	-	4	2160000	540000	537500	5	3	99	20	-	-	-
10-2016	16	10	Brampton	933	569636927	610543	579999	1307	75.3	785	0.8	101	14	-	490	350986531	716299	677000	761	485	101	14	196	109154653	556911	549953	248	115	102	11	62	24576400	396394	383500	66	41	102	16	51	14272680	279856	289000	56	54	99	22	127	66305763	522093	530000	161	82	102	10	178	80578443	452687.882022472
10-2016	16	10	Brock	17	7480800	440047	400000	15	70	30	2.8	101	22	-	17	7480800	440047	400000	14	29	101	22	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
10-2016	16	10	Burlington	187	132983447	711141	615000	248	79.4	241	1.2	100	17	-	91	88090735	968030	810000	142	142	99	18	6	3757900	626317	645000	6	7	99	23	41	19834400	483766	428000	39	30	101	13	29	10621790	366269	326000	29	42	100	22	15	7983400	532227	538000	27	16	103	11	44	18605190	422845.227272727
10-2016	16	10	Caledon	90	73947013	821633	762500	163	69.6	189	1.7	100	18	-	69	61273013	888015	792000	127	165	100	20	6	3840500	640083	660000	17	13	99	16	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	12	6953500	579458	565000	16	9	101	7	-	-	-
10-2016	16	10	City of Toronto	3715	2862333911	770480	580000	5105	68.6	4438	1.5	104	17	-	1088	1418033269	1303339	988500	1732	1250	105	12	343	309432940	902137	795000	464	258	109	11	252	147444368	585097	525000	327	280	103	17	1895	870181946	459199	399888	2391	2511	100	22	108	100166817	927471	792500	156	104	104	13	2003	970348763	484447.709935097
10-2016	16	10	City of Toronto Total	3715	2862333911	770480	580000	5105	68.6	4438	1.5	104	17	-	1088	1418033269	1303339	988500	1732	1250	105	12	343	309432940	902137	795000	464	258	109	11	252	147444368	585097	525000	327	280	103	17	1895	870181946	459199	399888	2391	2511	100	22	108	100166817	927471	792500	156	104	104	13	2003	970348763	484447.709935097
10-2016	16	10	Clarington	199	96607049	485463	465000	212	83.6	116	0.8	103	11	-	142	75447234	531319	510000	157	96	103	11	4	1468500	367125	402500	6	2	100	8	8	2452100	306513	302500	4	2	108	24	9	2364300	262700	262900	7	8	99	17	21	8160615	388601	390000	21	5	108	6	30	10524915	350830.5
10-2016	16	10	Dufferin County	47	21270800	452570	460000	65	88.2	39	0.7	102	14	-	29	14978800	516510	505000	44	24	102	8	9	3524500	391611	380000	10	5	100	25	0	-	-	-	2	2	-	-	5	993500	198700	204500	3	5	98	39	4	1774000	443500	455000	6	3	107	4	9	2767500	307500
