date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
07-2014	14	07	Adjala-Tosorontio	16	6459400	403713	383250	34	50.6	93	5.9	97	54	-	16	6459400	403713	383250	34	93	97	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07-2014	14	07	Ajax	210	91466678	435556	406000	248	72.4	164	1.1	100	15	-	125	62721479	501772	480000	158	112	99	16	21	7796499	371262	369800	18	5	101	10	10	3005300	300530	309500	12	7	100	16	11	2611300	237391	230000	14	7	99	16	40	14264100	356603	351500	42	31	100	14	51	16875400	330890.196078431
07-2014	14	07	Aurora	70	48548788	693554	614000	134	65.3	182	2.1	97	21	-	46	38035788	826865	672450	80	115	97	21	5	2120000	424000	400000	5	4	96	18	3	1735000	578333	350000	8	16	98	26	6	1961000	326833	314000	15	27	95	33	8	3594000	449250	456350	21	17	100	18	14	5555000	396785.714285714
07-2014	14	07	Bradford West Gwillimbury	55	25816150	469385	455000	121	58.3	170	2.7	98	28	-	41	21005000	512317	512000	100	145	98	30	1	415000	415000	415000	2	4	99	52	2	467000	233500	233500	1	-	99	19	1	210000	210000	210000	2	6	96	20	3	1097000	365667	355000	6	9	98	39	4	1307000	326750
07-2014	14	07	Brampton	875	392166378	448190	425100	1466	57.3	1512	2.2	98	23	-	482	252569509	524003	501500	880	961	98	23	178	71784850	403286	395250	273	216	99	18	76	21722849	285827	282500	99	114	98	29	38	8515730	224098	212417	69	83	97	33	92	34143940	371130	370000	136	124	99	21	130	42659670	328151.307692308
07-2014	14	07	Brock	19	5992000	315368	268000	43	56.8	107	5.2	97	35	-	19	5992000	315368	268000	41	102	97	35	-	-	-	-	-	-	-	-	-	-	-	-	2	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07-2014	14	07	Burlington	173	94573299	546666	480000	215	64.3	361	2.4	98	25	-	95	64404000	677937	595000	134	238	98	24	11	4852500	441136	445500	9	8	99	18	28	10233700	365489	357000	28	35	99	26	23	8117799	352948	278000	27	64	97	37	15	6526800	435120	423000	15	14	100	17	38	14644599	385384.184210526
07-2014	14	07	Caledon	117	70777697	604938	565000	172	51.3	304	4	97	37	-	89	58098800	652796	625000	144	283	97	43	8	3552500	444063	447000	11	8	99	13	2	671500	335750	335750	1	-	100	21	-	-	-	-	1	4	-	-	15	6524897	434993	430000	12	7	98	18	-	-	-
07-2014	14	07	City of Toronto	3315	1911271512	576552	475000	5787	55.4	7796	2.4	100	24	-	1045	920052443	880433	700000	1721	1877	100	19	333	211558685	635311	595000	476	334	103	15	259	107978630	416906	392000	396	459	100	21	1527	578735701	379002	343500	2977	4919	98	31	119	78749353	661759	606000	149	116	101	17	1646	657485054	399444.139732685
07-2014	14	07	City of Toronto Total	3315	1911271512	576552	475000	5787	55.4	7796	2.4	100	24	-	1045	920052443	880433	700000	1721	1877	100	19	333	211558685	635311	595000	476	334	103	15	259	107978630	416906	392000	396	459	100	21	1527	578735701	379002	343500	2977	4919	98	31	119	78749353	661759	606000	149	116	101	17	1646	657485054	399444.139732685
07-2014	14	07	Clarington	173	59116208	341712	320000	241	67.1	279	1.6	99	23	-	126	46520208	369208	354000	186	237	98	27	3	751000	250333	260000	5	4	102	6	4	1091500	272875	297000	9	10	99	9	5	965400	193080	194000	8	11	99	20	21	5649200	269010	269000	21	8	100	13	26	6614600	254407.692307692
07-2014	14	07	Dufferin County	61	23586849	386670	359900	83	63.9	172	2.8	98	38	-	45	18923450	420521	400000	60	143	98	44	5	1328999	265800	265000	7	7	99	16	2	478000	239000	239000	1	6	97	30	1	360000	360000	360000	4	8	97	39	7	2171400	310200	312900	7	5	98	21	8	2531400	316425
07-2014	14	07	Durham Region	1110	438886702	395393	370000	1577	68.1	1605	1.6	99	20	-	770	336455082	436955	414500	1138	1307	99	23	62	19669099	317244	326050	86	57	100	10	71	17817900	250956	250000	95	60	100	14	42	10409850	247854	236000	76	78	99	26	122	40620729	332957	337000	138	79	100	13	164	51030579	311162.067073171
07-2014	14	07	East Gwillimbury	35	20456770	584479	530000	51	67.3	86	2.8	98	25	-	30	18550870	618362	612495	47	86	98	28	1	487000	487000	487000	1	-	100	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1418900	354725	349450	3	-	101	10	-	-	-
07-2014	14	07	Essa	20	6212901	310645	289001	30	67.7	74	3	96	53	-	17	5477901	322229	328000	28	70	96	52	1	255000	255000	255000	1	2	97	131	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	230000	230000	230000	-	1	94	21	-	-	-
07-2014	14	07	Georgina	97	37498857	386586	370000	138	66.1	198	2.4	97	33	-	90	35153057	390590	374500	127	192	97	35	3	1085900	361967	369900	6	1	98	9	-	-	-	-	-	-	-	-	1	263000	263000	263000	-	-	101	16	2	644000	322000	322000	4	5	97	21	3	907000	302333.333333333
07-2014	14	07	Halton Hills	88	43228152	491229	440000	127	64.7	197	2.4	98	26	-	65	34618052	532585	506000	100	177	98	28	3	1115900	371967	385900	5	4	100	20	6	1793400	298900	302950	9	6	100	25	-	-	-	-	2	2	-	-	14	5700800	407200	410000	10	7	99	17	-	-	-
07-2014	14	07	Halton Region	741	450118369	607447	515000	1119	63.9	1587	2.2	98	25	-	419	316932510	756402	642500	675	1071	97	27	59	27042986	458356	456000	72	65	99	18	61	21427600	351272	330000	85	101	99	25	69	23065385	334281	300000	102	186	98	34	128	59076388	461534	436000	173	149	99	19	197	82141773	416963.314720812
07-2014	14	07	Innisfil	74	31045900	419539	355000	108	53.3	227	4.1	98	42	-	69	29750900	431172	369000	96	215	98	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1295000	259000	268000	10	10	98	25	-	-	-
07-2014	14	07	King	31	26426363	852463	825000	98	40.9	207	6.3	96	31	-	28	25043363	894406	870000	70	175	96	33	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	1	307000	307000	307000	21	25	97	8	2	1076000	538000	538000	5	3	98	5	3	1383000	461000
07-2014	14	07	Markham	484	335024336	692199	642500	750	61.4	828	1.9	100	20	-	216	200410824	927828	845500	344	362	100	18	40	23716080	592902	589500	50	35	100	17	37	16420800	443805	438000	45	50	99	24	73	24195956	331451	312000	160	284	97	38	62	34549688	557253	543500	76	58	101	15	135	58745644	435152.918518519
07-2014	14	07	Milton	216	108631686	502924	469450	319	66.2	338	1.6	98	24	-	105	63617950	605885	550000	159	201	98	28	32	14388586	449643	449000	41	33	99	18	10	2913500	291350	295750	16	16	99	24	10	2997000	299700	306450	19	22	99	45	58	24239650	417925	414250	81	63	99	19	68	27236650	400538.970588235
07-2014	14	07	Mississauga	1035	531320402	513353	460000	1769	55.8	2195	2.4	98	24	-	379	282634700	745738	675000	594	715	98	21	158	77722723	491916	489500	244	178	99	17	221	85037734	384786	372000	311	313	99	22	238	66248045	278353	255000	559	936	97	35	32	15604200	487631	478000	48	37	99	20	270	81852245	303156.462962963
07-2014	14	07	New Tecumseth	64	22916690	358073	339300	99	63.7	197	3.4	98	37	-	48	17478800	364142	342800	79	157	98	33	2	612490	306245	306245	2	2	99	59	1	356000	356000	356000	2	6	99	26	-	-	-	-	2	11	-	-	3	776500	258833	248500	4	3	100	10	-	-	-
07-2014	14	07	Newmarket	153	84024261	549178	515000	196	69.7	190	1.4	99	19	-	103	64227085	623564	585000	148	148	98	21	15	6284788	418986	430000	15	16	100	15	8	2995888	374486	352500	10	12	101	11	8	2122500	265313	247000	8	6	100	15	16	6992500	437031	423000	15	8	99	12	24	9115000	379791.666666667
07-2014	14	07	Oakville	264	203685232	771535	653500	458	61.9	691	2.4	97	26	-	154	154292508	1001899	815000	282	455	97	28	13	6686000	514308	486000	17	20	99	19	17	6487000	381588	333000	32	44	99	22	36	11950586	331961	299943	54	98	98	29	41	22609138	551442	505000	67	65	99	20	77	34559724	448827.584415584
07-2014	14	07	Orangeville	61	23586849	386670	359900	83	63.9	172	2.8	98	38	-	45	18923450	420521	400000	60	143	98	44	5	1328999	265800	265000	7	7	99	16	2	478000	239000	239000	1	6	97	30	1	360000	360000	360000	4	8	97	39	7	2171400	310200	312900	7	5	98	21	8	2531400	316425
07-2014	14	07	Oshawa	265	84409637	318527	315000	398	69.3	360	1.3	99	20	-	199	70041387	351967	335000	289	268	99	22	22	5189800	235900	234250	38	34	100	10	23	3998100	173830	177000	29	15	100	15	7	1548750	221250	210000	20	23	96	47	6	1543900	257317	280700	14	14	99	12	13	3092650	237896.153846154
07-2014	14	07	Peel Region	2027	994264477	490510	446500	3407	56.2	4011	2.4	98	24	-	950	593303009	624529	575450	1618	1959	98	24	344	153060073	444942	437250	528	402	99	17	299	107432083	359305	347000	411	427	98	24	276	74763775	270883	245750	629	1023	97	35	139	56273037	404842	404500	196	168	99	20	415	131036812	315751.354216867
