date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
07-2016	16	07	Adjala-Tosorontio	12	6623800	551983	528500	19	77.1	39	2.6	98	24	-	12	6623800	551983	528500	19	39	98	24	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Ajax	200	117611317	588057	560550	268	78.3	109	0.7	105	10	-	119	79407238	667288	652500	171	71	105	9	22	11779000	535409	522500	31	9	106	8	9	3597500	399722	410500	11	10	106	20	14	4275079	305363	299250	11	5	104	18	30	15408000	513600	520000	36	12	107	8	44	19683079	447342.704545455
07-2016	16	07	Aurora	103	100129887	972135	810000	150	74.4	102	1.1	103	13	-	62	74773987	1206032	987956	84	58	103	14	12	7968000	664000	647500	12	6	104	12	12	6844100	570342	495000	13	9	100	11	4	2109500	527375	542500	11	14	100	23	13	8434300	648792	638000	29	14	103	6	17	10543800	620223.529411765
07-2016	16	07	Bradford West Gwillimbury	70	46327300	661819	626000	118	77	90	1.1	100	14	-	56	39747500	709777	700000	86	66	100	15	5	2430300	486060	499800	7	4	100	8	2	701000	350500	350500	0	0	100	18	0	-	-	-	4	4	-	-	4	2037500	509375	513750	11	8	102	14	-	-	-
07-2016	16	07	Brampton	1043	628957701	603028	575500	1482	72.9	780	1	103	11	-	537	385137186	717201	690000	818	461	102	10	228	123752515	542774	544500	321	128	104	8	76	28563200	375832	362500	105	58	103	13	53	14244451	268763	255100	82	72	100	26	135	69397349	514054	520000	144	55	103	12	188	83641800	444903.191489362
07-2016	16	07	Brock	24	9595600	399817	342450	33	65.8	66	3.4	99	22	-	23	9248700	402117	338000	32	62	99	22	0	-	-	-	0	1	-	-	1	346900	346900	346900	1	3	99	21	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Burlington	212	145050758	684202	624500	257	78	239	1.4	101	18	-	118	101771955	862474	757500	129	142	101	22	10	6383900	638390	651700	18	6	104	6	28	12382250	442223	426000	27	18	102	17	33	11568954	350574	313000	50	57	100	18	18	9776199	543122	545000	25	12	102	6	51	21345153	418532.411764706
07-2016	16	07	Caledon	112	87193285	778511	727500	131	71	146	2	100	17	-	85	72161085	848954	800000	105	136	100	19	9	5230900	581211	554400	8	4	101	9	2	884900	442450	442450	1	1	97	31	2	1150500	575250	575250	2	1	100	37	14	7765900	554707	543750	15	4	104	7	16	8916400	557275
07-2016	16	07	City of Toronto	3500	2415362115	690103	529000	4877	64.2	4930	1.8	103	19	-	954	1147426476	1202753	915500	1334	1002	105	14	285	243926188	855881	768000	369	192	108	11	260	133729033	514342	485000	368	301	103	17	1882	803753927	427074	380000	2634	3307	99	24	86	68574689	797380	724000	139	89	105	11	1968	872328616	443256.410569106
07-2016	16	07	City of Toronto Total	3500	2415362115	690103	529000	4877	64.2	4930	1.8	103	19	-	954	1147426476	1202753	915500	1334	1002	105	14	285	243926188	855881	768000	369	192	108	11	260	133729033	514342	485000	368	301	103	17	1882	803753927	427074	380000	2634	3307	99	24	86	68574689	797380	724000	139	89	105	11	1968	872328616	443256.410569106
07-2016	16	07	Clarington	181	89412968	493994	471000	218	81.4	138	0.9	103	13	-	135	71304113	528179	515000	160	109	102	14	4	1475055	368764	326528	7	2	105	7	4	1386000	346500	352500	6	5	111	12	3	873900	291300	265000	5	12	104	7	23	9148900	397778	385000	29	9	104	8	26	10022800	385492.307692308
07-2016	16	07	Dufferin County	71	32495685	457686	450000	68	88.5	33	0.9	101	15	-	47	23625135	502662	489000	47	27	100	17	9	3238000	359778	358000	8	3	102	8	3	802000	267333	257000	3	0	100	12	1	510000	510000	510000	1	1	107	9	11	4320550	392777	416500	9	2	101	11	12	4830550	402545.833333333
07-2016	16	07	Durham Region	1200	656995034	547496	522500	1459	79.1	775	0.9	104	12	-	859	515924211	600610	572500	1058	607	103	13	88	37863132	430263	403300	102	31	107	8	69	22967900	332868	340000	76	42	105	14	43	14677940	341347	310000	51	36	102	16	104	48451951	465884	470250	130	49	107	7	147	63129891	429455.040816327
07-2016	16	07	East Gwillimbury	46	35040500	761750	721000	57	69.3	67	2	100	31	-	39	31791600	815169	770000	53	66	101	31	1	660000	660000	660000	0	0	99	11	0	-	-	-	0	0	-	-	2	533000	266500	266500	1	0	91	22	4	2055900	513975	510450	3	1	102	38	6	2588900	431483.333333333
07-2016	16	07	Essa	30	13373288	445776	426750	57	72.5	63	1.7	99	22	-	20	9859888	492994	481500	40	49	99	25	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	8	2814400	351800	359400	12	10	100	19	-	-	-
07-2016	16	07	Georgina	123	62324488	506703	482000	170	72.4	157	1.5	99	22	-	108	56117588	519607	514900	158	144	99	22	1	510000	510000	510000	1	0	111	4	1	339000	339000	339000	1	0	100	9	2	577500	288750	288750	0	1	99	23	11	4780400	434582	449000	9	10	102	22	13	5357900	412146.153846154
07-2016	16	07	Halton Hills	97	62509958	644433	556000	106	80.4	102	1.4	101	14	-	70	50349958	719285	616000	82	91	100	15	3	1647000	549000	551000	4	2	111	4	9	2975600	330622	330000	4	1	103	12	1	376000	376000	376000	1	1	106	1	13	6526400	502031	489000	14	7	101	10	14	6902400	493028.571428571
07-2016	16	07	Halton Region	870	688030956	790840	670350	1101	76	919	1.3	101	16	-	494	490382027	992676	842750	616	598	100	17	53	33713102	636096	606000	71	29	103	8	75	32853975	438053	415000	87	66	101	18	88	36640854	416373	352000	132	148	99	32	150	88264998	588433	565000	180	73	103	8	238	124905852	524814.504201681
07-2016	16	07	Innisfil	81	42495988	524642	470000	103	74.9	97	1.8	100	18	-	74	39747088	537123	477500	95	92	100	19	0	-	-	-	0	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	1	-	-	6	2153900	358983	373950	7	2	100	9	-	-	-
07-2016	16	07	King	37	50856300	1374495	1165000	74	60.9	120	3.1	98	35	-	30	46723900	1557463	1242500	64	105	98	36	0	-	-	-	0	0	-	-	0	-	-	-	1	2	-	-	4	1702500	425625	437500	5	12	97	43	3	2429900	809967	729900	4	1	110	9	7	4132400	590342.857142857
07-2016	16	07	Markham	539	537696828	997582	890000	760	64.8	643	1.4	104	16	-	259	365453780	1411018	1280000	365	240	104	13	38	31496480	828855	816000	49	17	108	9	30	16361700	545390	552500	49	41	101	19	121	50692100	418943	366000	176	272	99	29	50	38497580	769952	751500	72	44	106	9	171	89189680	521577.076023392
07-2016	16	07	Milton	229	150554770	657444	625000	292	80.4	170	1	102	11	-	114	91367759	801472	746000	148	116	101	14	26	15476000	595231	589000	31	11	103	9	5	1958200	391640	384000	11	8	104	7	17	5786300	340371	320100	21	12	100	19	64	34228511	534820	527000	78	23	104	7	81	40014811	494010.012345679
07-2016	16	07	Mississauga	1064	654445836	615081	550000	1389	70	1138	1.4	102	15	-	343	337691005	984522	867000	462	356	102	12	148	92485122	624899	632000	182	78	103	11	211	99226744	470269	460000	255	145	103	13	326	102912265	315682	295000	433	524	99	23	30	18265500	608850	603000	45	28	102	9	356	121177765	340386.980337079
07-2016	16	07	New Tecumseth	58	27204399	469041	452500	73	83.5	81	1.5	100	19	-	41	20852399	508595	490000	54	58	101	17	2	692000	346000	346000	6	5	103	8	2	505000	252500	252500	0	0	105	19	0	-	-	-	2	7	-	-	8	2917000	364625	362500	5	2	101	13	-	-	-
07-2016	16	07	Newmarket	201	153589340	764126	735000	232	79.7	114	0.7	102	12	-	140	117928014	842343	799500	170	88	102	13	27	17155800	635400	655000	26	10	103	11	8	3540550	442569	445000	11	5	111	8	2	605000	302500	302500	3	2	97	9	24	14359976	598332	591500	21	8	103	11	26	14964976	575576
07-2016	16	07	Oakville	332	329915470	993721	865500	446	71.4	408	1.6	100	19	-	192	246892355	1285898	1150000	257	249	100	15	14	10206202	729014	689000	18	10	103	9	33	15537925	470846	425000	45	39	99	23	37	18909600	511070	396000	60	78	98	51	55	37733888	686071	668000	63	31	102	9	92	56643488	615690.086956522
07-2016	16	07	Orangeville	71	32495685	457686	450000	68	88.5	33	0.9	101	15	-	47	23625135	502662	489000	47	27	100	17	9	3238000	359778	358000	8	3	102	8	3	802000	267333	257000	3	0	100	12	1	510000	510000	510000	1	1	107	9	11	4320550	392777	416500	9	2	101	11	12	4830550	402545.833333333
07-2016	16	07	Oshawa	345	154022278	446441	427500	408	82.3	159	0.7	105	11	-	251	123977701	493935	480000	315	131	105	12	45	15709077	349091	337500	44	12	109	9	25	6302000	252080	259900	22	7	104	12	9	2194950	243883	233050	8	2	102	15	8	3132050	391506	397750	12	6	110	5	17	5327000	313352.941176471
07-2016	16	07	Peel Region	2219	1370596822	617664	575000	3002	71.4	2064	1.2	102	13	-	965	794989276	823823	756000	1385	953	102	11	385	221468537	575243	573000	511	210	103	9	289	128674844	445242	435000	361	204	103	13	381	118307216	310518	292000	517	597	99	24	179	95428749	533122	530000	204	87	103	11	560	213735965	381671.366071429
07-2016	16	07	Pickering	141	90816477	644088	625000	175	74.1	90	1	103	11	-	94	70136876	746137	718000	122	63	103	10	8	4379000	547375	525000	10	3	104	10	17	6514100	383182	370000	14	6	106	16	6	2137000	356167	348500	12	10	101	20	13	6244501	480346	475000	14	7	101	11	19	8381501	441131.631578947
07-2016	16	07	Richmond Hill	346	383462696	1108274	1043500	545	64.5	468	1.4	103	18	-	203	303161063	1493404	1309000	308	233	103	16	13	10520300	809254	818000	28	14	107	10	14	7383650	527404	551500	15	15	99	18	70	24988688	356981	315900	112	155	98	31	41	33474495	816451	820000	76	48	105	11	111	58463183	526695.342342342
07-2016	16	07	Scugog	42	26260825	625258	577500	38	79.7	42	1.8	97	27	-	41	25901825	631752	587000	37	42	97	28	1	359000	359000	359000	1	0	120	1	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Simcoe County	251	136024775	541931	496000	370	77.3	370	1.6	100	18	-	203	116830675	575521	525000	294	304	100	18	7	3122300	446043	390000	14	11	100	8	4	1206000	301500	302250	0	0	102	18	0	-	-	-	6	12	-	-	26	9922800	381646	364900	35	22	101	14	-	-	-
07-2016	16	07	Toronto C01	625	319932368	511892	440000	833	58.2	1031	2.4	100	23	-	6	7484000	1247333	1262500	6	6	99	20	16	19411600	1213225	1253000	25	14	106	12	20	11857388	592869	585000	24	25	103	21	577	274850380	476344	430000	769	977	99	24	5	5719000	1143800	1060000	8	7	96	30	582	280569380	482077.972508591
07-2016	16	07	Toronto C02	65	71786986	1104415	949500	98	50.1	172	3.2	101	28	-	3	5960011	1986670	2200000	7	15	107	23	14	19544000	1396000	1378500	15	12	104	14	6	4734500	789083	756000	3	2	105	12	38	38088875	1002339	744750	66	134	98	36	2	2665000	1332500	1332500	4	5	101	10	40	40753875	1018846.875
07-2016	16	07	Toronto C03	37	53477518	1445338	981500	58	59.8	68	2	99	16	-	25	45744018	1829761	1367500	31	29	99	14	2	1815000	907500	907500	8	6	114	21	0	-	-	-	4	5	-	-	8	4793500	599188	582500	13	25	99	20	1	875000	875000	875000	1	1	97	10	9	5668500	629833.333333333
07-2016	16	07	Toronto C04	64	85141503	1330336	1265000	83	64.4	89	1.5	102	19	-	36	69692503	1935903	1827500	48	57	102	20	3	3898100	1299367	1280000	3	1	124	6	0	-	-	-	2	4	-	-	23	10870900	472648	435000	28	22	100	16	0	-	-	-	2	1	-	-	-	-	-
07-2016	16	07	Toronto C06	56	47704818	851872	581000	52	65.4	38	1.8	110	16	-	24	34842600	1451775	1377500	31	18	114	11	1	757000	757000	757000	2	1	118	4	2	1168018	584009	584009	0	0	104	6	29	10937200	377145	335000	19	19	98	22	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Toronto C07	133	110304776	829359	491000	203	64.5	207	1.9	103	24	-	37	66296400	1791795	1603000	55	31	105	9	3	2325000	775000	750000	4	1	103	11	9	4710600	523400	529000	17	19	100	14	81	34273476	423129	403500	122	153	99	33	2	1945800	972900	972900	4	2	113	14	83	36219276	436376.819277108
07-2016	16	07	Toronto C08	187	95542364	510922	425000	269	63	305	2	100	21	-	2	2363000	1181500	1181500	2	6	97	34	7	9169500	1309929	1237500	4	2	100	29	3	1998000	666000	694000	4	6	96	18	172	79473864	462057	416500	251	286	100	21	2	2300000	1150000	1150000	6	4	120	7	174	81773864	469964.735632184
07-2016	16	07	Toronto C09	31	47636300	1536655	839000	34	61.7	52	2.1	99	23	-	11	31556600	2868782	2500000	7	22	97	33	1	2500000	2500000	2500000	1	3	89	31	1	1325000	1325000	1325000	0	0	98	32	17	11392700	670159	644900	25	22	106	14	0	-	-	-	0	1	-	-	-	-	-
07-2016	16	07	Toronto C10	39	29795180	763979	535000	57	63.9	69	1.6	102	15	-	5	9205000	1841000	1700000	12	12	103	10	3	2925000	975000	1025000	4	3	111	7	4	2798000	699500	554500	2	2	99	16	24	12482180	520091	464440	36	50	100	17	2	2150000	1075000	1075000	2	1	96	13	26	14632180	562776.153846154
07-2016	16	07	Toronto C11	38	27437978	722052	436000	53	69.5	44	1.4	105	21	-	10	14780500	1478050	1465000	19	12	108	8	3	3615000	1205000	1250000	3	1	114	6	2	1050378	525189	525189	2	3	102	38	23	7992100	347483	347000	27	27	99	27	0	-	-	-	2	1	-	-	-	-	-
07-2016	16	07	Toronto C12	35	85010500	2428871	2170000	58	56.9	91	2.9	103	17	-	19	73018000	3843053	3700000	40	65	103	19	1	995000	995000	995000	2	0	100	6	4	4170000	1042500	1030000	5	12	102	9	11	6827500	620682	625000	11	14	99	18	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Toronto C13	74	58353356	788559	457500	80	69.6	86	1.4	105	21	-	18	32316278	1795349	1418999	30	21	108	10	8	6135000	766875	770000	5	1	106	10	3	1990000	663333	600000	5	3	107	13	41	15189078	370465	328000	35	56	98	30	3	2438000	812667	850000	5	2	101	5	44	17627078	400615.409090909
07-2016	16	07	Toronto C14	184	148084570	804807	459900	311	59.5	359	2.2	102	20	-	35	76117988	2174800	2100000	58	49	104	16	0	-	-	-	0	0	-	-	9	7289699	809967	808000	21	16	105	11	133	57123995	429504	399000	223	289	98	22	6	7299888	1216648	1213000	8	3	105	6	139	64423883	463481.17266187
07-2016	16	07	Toronto C15	187	126909000	678658	485000	300	61.6	293	2	104	19	-	29	49642600	1711814	1453000	37	28	105	13	17	14421800	848341	831000	23	10	111	8	38	21706600	571226	553000	50	27	103	16	102	40187400	393994	350000	188	227	99	23	0	-	-	-	0	0	-	-	-	-	-
07-2016	16	07	Toronto Central	1755	1307117217	744796	483000	2489	60.6	2904	2.1	102	21	-	260	519019498	1996229	1653500	383	371	104	15	79	87512000	1107747	1010000	99	55	106	12	101	64798183	641566	580000	139	124	103	16	1279	604483148	472622	415000	1813	2301	99	24	23	25392688	1104030	1000800	42	28	103	13	1302	629875836	483775.603686636
07-2016	16	07	Toronto E01	68	60521171	890017	842000	103	70.6	46	0.9	112	11	-	15	17066598	1137773	1102000	15	6	111	10	33	29640872	898208	860000	45	10	117	7	6	3840700	640117	690000	20	13	104	37	5	2142829	428566	369000	12	13	98	12	8	6805000	850625	797500	10	4	107	12	13	8947829	688294.538461538
07-2016	16	07	Toronto E02	59	55874017	947017	850900	62	68.6	45	1.1	105	12	-	21	28433167	1353960	1200000	23	15	104	13	18	17009850	944992	896175	17	4	109	5	4	2192500	548125	588500	3	4	101	10	13	6281500	483192	475000	11	17	99	19	2	1550000	775000	775000	7	5	111	10	15	7831500	522100
07-2016	16	07	Toronto E03	84	63479281	755706	737500	107	71.5	53	0.8	106	12	-	50	44177181	883544	798000	55	24	105	13	19	15330100	806847	761000	29	9	110	7	1	310000	310000	310000	0	0	104	17	13	3062000	235538	235000	22	20	99	18	1	600000	600000	600000	1	0	150	6	14	3662000	261571.428571429
07-2016	16	07	Toronto E04	83	47762666	575454	620000	148	69.1	113	1.2	107	14	-	44	32817200	745845	710500	86	51	111	10	8	4422666	552833	546000	6	2	104	13	7	3158500	451214	488000	9	7	104	16	20	4716300	235815	227500	34	41	97	22	4	2648000	662000	664500	13	12	100	15	24	7364300	306845.833333333
07-2016	16	07	Toronto E05	117	79308698	677852	678500	159	69.6	105	1.2	106	14	-	50	50403368	1008067	907500	58	26	108	12	7	5020700	717243	722700	11	7	111	6	20	9223100	461155	446500	31	22	103	16	35	11294900	322711	315000	53	46	99	15	2	1206000	603000	603000	3	2	102	21	37	12500900	337862.162162162
07-2016	16	07	Toronto E06	31	21876804	705703	702500	37	64.1	21	1.2	106	13	-	24	17957288	748220	712250	29	15	107	11	3	2221000	740333	741000	4	1	105	3	0	-	-	-	0	0	-	-	3	848516	282839	270000	4	5	99	42	1	850000	850000	850000	0	0	102	8	4	1698516	424629
