date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
06-2014	14	06	Adjala-Tosorontio	10	3861700	386170	379950	31	51.8	90	5.7	97	45	-	10	3861700	386170	379950	31	90	97	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06-2014	14	06	Ajax	236	103054538	436672	415000	285	72.8	203	1.2	99	17	-	162	78087288	482020	465000	188	139	99	17	18	6986850	388158	375150	21	12	100	12	15	4315300	287687	286000	13	7	99	23	11	2726500	247864	224000	9	8	99	25	27	9787600	362504	361000	50	36	100	13	38	12514100	329318.421052632
06-2014	14	06	Aurora	102	74949176	734796	607950	129	65.9	165	2.2	98	22	-	59	54148699	917775	730000	84	117	97	24	14	6301777	450127	443250	16	5	99	10	7	3946900	563843	384900	8	14	99	26	5	2360000	472000	498000	4	19	97	65	15	6980900	465393	458000	16	9	100	12	20	9340900	467045
06-2014	14	06	Bradford West Gwillimbury	71	34145440	480922	460000	96	60	147	2.7	98	34	-	51	27119040	531746	503000	75	126	98	38	1	416000	416000	416000	2	3	97	62	1	260000	260000	260000	2	1	97	15	2	397000	198500	198500	4	6	98	18	9	3359400	373267	379900	5	6	98	31	11	3756400	341490.909090909
06-2014	14	06	Brampton	951	432380170	454658	429900	1501	57	1576	2.2	98	21	-	537	285087694	530890	504000	869	988	98	22	184	73889507	401573	401500	277	224	99	15	65	19961439	307099	310000	117	137	98	24	58	13553500	233681	223000	63	76	98	32	96	35583631	370663	365000	156	130	99	16	154	49137131	319072.279220779
06-2014	14	06	Brock	24	6426500	267771	273000	36	54.3	98	5.5	97	48	-	22	5901500	268250	282000	35	94	97	49	-	-	-	-	-	-	-	-	1	259000	259000	259000	1	4	96	64	-	-	-	-	-	-	-	-	1	266000	266000	266000	-	-	93	24	-	-	-
06-2014	14	06	Burlington	179	101722419	568282	497000	272	64.7	389	2.4	98	31	-	93	67737970	728365	618000	167	252	97	30	12	5458700	454892	483750	16	11	99	21	29	10285049	354657	325300	36	41	99	28	23	8727700	379465	298400	35	71	97	55	20	8604500	430225	425500	16	13	99	17	43	17332200	403074.418604651
06-2014	14	06	Caledon	106	64503140	608520	571000	202	50.7	337	4	97	28	-	88	56878240	646344	593750	179	311	97	28	4	1795000	448750	457500	9	8	98	14	-	-	-	-	1	1	-	-	2	949000	474500	474500	1	4	98	41	12	4880900	406742	410500	9	9	98	28	14	5829900	416421.428571429
06-2014	14	06	City of Toronto	3795	2344757716	617854	493000	6521	55.6	8267	2.5	101	21	-	1312	1208518966	921127	721250	2145	2068	101	15	450	302726092	672725	620000	571	361	105	11	285	114714010	402505	384000	427	472	100	21	1578	616317271	390569	345900	3126	5127	98	30	138	90556277	656205	610000	183	150	103	17	1716	706873548	411930.972027972
06-2014	14	06	City of Toronto Total	3795	2344757716	617854	493000	6521	55.6	8267	2.5	101	21	-	1312	1208518966	921127	721250	2145	2068	101	15	450	302726092	672725	620000	571	361	105	11	285	114714010	402505	384000	427	472	100	21	1578	616317271	390569	345900	3126	5127	98	30	138	90556277	656205	610000	183	150	103	17	1716	706873548	411930.972027972
