date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
06-2013	13	06	Adjala-Tosorontio	14	6225100	444650	422450	35	50	85	6.3	98	64	-	14	6225100	444650	422450	35	85	98	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06-2013	13	06	Ajax	191	76513351	400593	367000	276	63.3	263	1.6	99	19	-	132	58053101	439796	405500	197	196	98	19	12	4137400	344783	350250	18	15	98	19	11	2795050	254095	248000	8	10	100	23	5	1729400	345880	219900	7	9	98	28	24	7518900	313288	319500	38	30	99	17	29	9248300	318906.896551724
06-2013	13	06	Aurora	94	55817453	593803	537150	139	55	235	2.8	98	22	-	68	45130076	663678	590750	91	146	98	25	6	2662600	443767	436500	12	7	100	6	4	1852500	463125	361800	8	22	97	17	6	1826500	304417	286250	4	34	98	26	9	3794777	421642	433500	20	22	99	13	15	5621277	374751.8
06-2013	13	06	Bradford West Gwillimbury	59	26827199	454698	400000	92	53.5	157	3	98	28	-	41	20755499	506232	450000	70	134	98	29	7	2401500	343071	335500	10	9	98	24	1	246000	246000	246000	3	3	99	13	1	217000	217000	217000	2	2	95	2	4	1387700	346925	365500	-	1	98	44	5	1604700	320940
06-2013	13	06	Brampton	837	361210595	431554	399900	1559	48	2081	2.7	98	25	-	475	240802795	506953	467000	939	1281	97	25	175	64873799	370707	367000	292	324	98	21	65	16961600	260948	252500	104	133	98	31	37	7847800	212103	211300	79	166	97	35	78	27707101	355219	358250	137	170	98	23	115	35554901	309173.052173913
06-2013	13	06	Brock	23	5813300	252752	232000	37	45.5	123	7.4	95	63	-	22	5638300	256286	237500	34	117	95	63	-	-	-	-	-	-	-	-	1	175000	175000	175000	2	5	92	59	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-
06-2013	13	06	Burlington	124	64770850	522346	441500	183	59.9	298	2.8	98	26	-	67	44725200	667540	579000	97	184	97	29	4	1659500	414875	383500	13	10	98	17	25	8422050	336882	327500	26	33	99	23	15	4873000	324867	268000	29	44	98	26	11	4303100	391191	398000	15	22	99	22	26	9176100	352926.923076923
06-2013	13	06	Caledon	91	52641949	578483	529000	174	48.6	321	4.2	97	35	-	76	46776149	615476	549000	144	287	96	38	10	4010800	401080	396500	15	12	99	20	-	-	-	-	1	1	-	-	1	420000	420000	420000	2	3	100	20	4	1435000	358750	361500	10	15	97	12	5	1855000	371000
06-2013	13	06	City of Toronto	3265	1889047138	578575	455000	5913	49.4	8572	3	99	23	-	1137	985013015	866326	675000	1946	2361	99	18	380	234913563	618194	550000	539	432	103	14	264	103208869	390943	359000	356	502	99	23	1329	487120625	366532	330000	2849	5041	98	30	115	64735766	562920	545000	166	168	101	19	1444	551856391	382172.015927978
06-2013	13	06	City of Toronto Total	3265	1889047138	578575	455000	5913	49.4	8572	3	99	23	-	1137	985013015	866326	675000	1946	2361	99	18	380	234913563	618194	550000	539	432	103	14	264	103208869	390943	359000	356	502	99	23	1329	487120625	366532	330000	2849	5041	98	30	115	64735766	562920	545000	166	168	101	19	1444	551856391	382172.015927978
06-2013	13	06	Clarington	185	59174014	319860	300000	255	67.4	263	1.9	99	22	-	133	46752574	351523	327000	194	214	99	23	3	568900	189633	227900	2	4	95	40	6	1415400	235900	240000	6	5	99	22	10	1773300	177330	174900	14	17	97	31	19	4789190	252063	250000	19	15	100	12	29	6562490	226292.75862069
