date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
09-2021	21	09	Adjala-Tosorontio	11	14978000	1361636	1275000	20	76.1	19	1.2	101	28	39	11	14978000	1361636	1275000	20	19	101	28	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
09-2021	21	09	Ajax	140	142684393	1019174	980500	162	79.7	53	0.4	114	7	9	83	97773376	1177992	1160000	98	35	115	8	8	7034999	879375	887500	10	4	110	14	25	22259100	890364	900000	27	8	111	5	9	6510500	723389	775000	10	2	110	8	12	6958418	579868	560000	14	4	107	6	21	13468918	641377.047619048
09-2021	21	09	Aurora	84	118095034	1405893	1192500	144	73.2	88	1	105	18	22	47	86967754	1850378	1450000	100	70	104	21	4	4406000	1101500	1109000	5	2	125	6	8	8129000	1016125	1007500	12	3	113	12	15	11862280	790819	779000	19	7	104	17	10	6730000	673000	604500	8	6	99	14	25	18592280	743691.2
09-2021	21	09	Bradford West Gwillimbury	45	50755688	1127904	1082500	74	76	49	0.8	104	9	14	38	44307688	1165992	1147500	63	44	104	9	3	2738000	912667	900000	5	3	99	16	3	2829000	943000	950000	5	2	109	4	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	-	-	-
09-2021	21	09	Brampton	854	916331654	1072988	976500	1001	74.4	399	0.6	105	11	13	432	566576799	1311520	1215000	550	219	105	10	150	142843737	952292	940000	168	48	107	9	132	117685032	891553	889950	127	32	107	9	82	57042498	695640	685000	73	27	105	13	55	29175488	530463	520000	76	67	100	20	137	86217986	629328.364963504
09-2021	21	09	Brock	20	17476500	873825	814000	31	81.3	22	0.8	109	14	14	20	17476500	873825	814000	30	21	109	14	0	0	0	-	0	0	-	-	0	0	0	-	0	0	-	-	0	0	0	-	1	1	-	-	0	0	0	-	0	0	-	-	-	-	-
09-2021	21	09	Burlington	279	302486411	1084181	990000	318	81.5	147	0.7	105	11	14	129	179881207	1394428	1350000	161	89	107	11	13	12181358	937028	875000	12	4	104	10	20	18970900	948545	948950	27	7	110	10	41	32524447	793279	762000	43	14	107	9	72	54953499	763243	620000	72	33	100	14	113	87477946	774141.115044248
09-2021	21	09	Caledon	113	177645799	1572087	1359000	155	72.7	109	1	102	13	19	89	155880400	1751465	1480000	130	103	102	13	6	5499200	916533	898600	6	2	103	16	17	15313699	900806	935700	18	3	106	8	0	0	0	-	0	0	-	-	0	0	0	-	0	1	-	-	-	-	-
09-2021	21	09	City of Toronto	3397	3703396553	1090196	860000	5946	64.3	4821	1.4	105	16	22	895	1592140538	1778928	1390000	1531	1116	106	14	325	423963767	1304504	1178000	515	262	112	10	109	125186563	1148501	1090000	186	142	107	13	256	214283970	837047	761250	447	342	106	15	1792	1334556214	744730	650000	3229	2918	102	19	2048	1548840184	756269.62109375
09-2021	21	09	City of Toronto Total	3397	3703396553	1090196	860000	5946	64.3	4821	1.4	105	16	22	895	1592140538	1778928	1390000	1531	1116	106	14	325	423963767	1304504	1178000	515	262	112	10	109	125186563	1148501	1090000	186	142	107	13	256	214283970	837047	761250	447	342	106	15	1792	1334556214	744730	650000	3229	2918	102	19	2048	1548840184	756269.62109375
