date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
12-2022	22	12	Adjala-Tosorontio	5	5859000	1171800	1099000	10	0.38	33	4	0.92	35	35	5	5859000	1171800	1099000	10	33	0.92	35	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	-	-	-
12-2022	22	12	Ajax	63	56034177	889431	848000	59	0.542	67	1.2	1.01	20	37	31	32491277	1048106	980000	33	38	1	20	3	2461100	820367	880100	3	3	1.02	12	15	12304800	820320	775000	15	14	1.03	13	6	3919500	653250	643750	3	3	1	37	5	2622500	524500	520000	3	8	0.95	30	11	6542000	594727.272727273
12-2022	22	12	Aurora	34	42143300	1239509	1093000	44	0.501	71	1.8	0.99	18	26	23	32210500	1400457	1403000	28	49	0.99	17	2	1675000	837500	837500	2	0	0.95	13	4	3872000	968000	977000	3	2	1.01	12	1	1540000	1540000	1540000	7	12	0.99	14	4	2845800	711450	682500	4	6	0.97	33	5	4385800	877160
12-2022	22	12	Bradford West Gwillimbury	20	22049500	1102475	1012500	26	0.417	51	2.2	0.95	32	41	14	17345500	1238964	1070000	20	38	0.95	30	2	1989000	994500	994500	2	8	0.96	27	1	690000	690000	690000	1	3	0.95	20	0	NA	NA	NA	1	1	NA	NA	1	485000	485000	485000	2	1	0.98	62	-	-	-
12-2022	22	12	Brampton	268	263154561	981920	937500	409	0.456	677	1.7	0.97	24	36	144	164475800	1142193	1100000	220	374	0.97	22	53	47662401	899291	903000	74	78	0.97	21	33	28284513	857106	855000	48	70	0.99	21	16	10858251	678641	685750	26	63	0.99	32	20	10098596	504930	499000	40	89	0.95	39	36	20956847	582134.638888889
12-2022	22	12	Brock	4	2867000	716750	721000	8	0.447	34	2.6	0.97	24	28	3	2217000	739000	745000	8	33	0.99	22	1	650000	650000	650000	0	0	0.93	28	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	NA	NA	0	NA	NA	NA	0	0	NA	NA	-	-	-
12-2022	22	12	Burlington	103	110213701	1070036	905000	130	0.531	305	1.7	0.97	31	46	50	73717403	1474348	1198500	51	137	0.96	29	0	NA	NA	NA	1	5	NA	NA	7	6581000	940143	943000	6	19	0.98	30	17	13119000	771706	716000	25	37	0.98	34	29	16796298	579183	551520	45	104	0.98	34	46	29915298	650332.565217391
12-2022	22	12	Caledon	30	35427655	1180922	1110000	64	0.388	177	3	0.96	32	60	18	24475655	1359759	1296328	55	169	0.95	37	4	4327000	1081750	1091000	5	3	0.98	21	5	4513000	902600	880000	3	4	0.98	15	2	1454000	727000	727000	0	0	0.97	49	1	658000	658000	658000	0	0	0.99	33	3	2112000	704000
12-2022	22	12	City of Toronto	1162	1182903527	1017989	810000	1510	0.501	3594	2	0.97	28	40	310	504566830	1627635	1245000	359	822	0.97	27	83	95622041	1152073	1055000	101	179	0.98	23	38	40896600	1076226	1009650	38	62	0.98	22	72	55791666	774884	750000	89	216	0.99	28	646	479063390	741584	635000	909	2288	0.97	30	718	534855056	744923.47632312
12-2022	22	12	City of Toronto Total	1162	1182903527	1017989	810000	1510	0.501	3594	2	0.97	28	40	310	504566830	1627635	1245000	359	822	0.97	27	83	95622041	1152073	1055000	101	179	0.98	23	38	40896600	1076226	1009650	38	62	0.98	22	72	55791666	774884	750000	89	216	0.99	28	646	479063390	741584	635000	909	2288	0.97	30	718	534855056	744923.47632312
12-2022	22	12	Clarington	73	55226840	756532	745000	78	0.559	131	1.2	1	22	38	46	37396000	812957	812500	51	89	0.99	23	2	1297500	648750	648750	2	0	0.98	13	11	7928840	720804	731340	10	10	1.03	24	5	3195500	639100	665000	4	2	1.05	10	7	3824500	546357	487000	9	28	1	26	12	7020000	585000
12-2022	22	12	Dufferin County	17	12177000	716294	725000	15	0.55	46	1.6	0.96	38	60	11	8612000	782909	735000	9	27	0.96	33	1	725000	725000	725000	2	3	0.97	8	2	1355000	677500	677500	3	7	0.93	45	1	565000	565000	565000	0	2	0.94	35	2	920000	460000	460000	1	7	0.96	76	3	1485000	495000
12-2022	22	12	Durham Region	380	332293208	874456	815000	458	0.544	723	1.3	1	21	33	240	233385536	972440	914950	283	461	0.99	19	20	15047399	752370	694750	20	20	1.01	19	53	42638142	804493	780000	56	76	1.03	20	33	20898931	633301	637500	29	45	1	24	25	13369700	534788	522500	62	114	0.98	29	58	34268631	590838.465517241
