date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice			
02-2014	14	2	Halton Region	506	311050115	614724	528500	852	62.8	1130	2.3	98	24	-	307	228808020	745303	630000	546	763	98	24	38	17557600	462042	444000	39	34	99	16	28	10306400	368086	341250	59	74	98	34	43	13252588	308200	269000	72	161	97	45	83	37708950	454325	415000	129	93	99	13	126	50961538	404456.6508			
02-2014	14	2	Innisfil	30	11272300	375743	368950	75	56.1	149	4.1	97	64	-	29	10996300	379183	369900	71	145	97	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	276000	276000	276000	4	4	100	9	-	-	-			
02-2014	14	2	King	23	18727000	814217	680000	54	38.7	127	7.1	97	37	-	19	17062000	898000	762500	49	111	96	33	1	430000	430000	430000	-	-	98	22	-	-	-	-	1	1	-	-	1	327000	327000	327000	2	12	98	160	1	438000	438000	438000	2	3	98	20	2	765000	382500			
02-2014	14	2	Markham	281	188749976	671708	625000	515	57.7	550	2.1	100	24	-	131	116708818	890907	825000	260	232	101	18	20	11072600	553630	550500	31	15	104	7	23	10579200	459965	449900	35	29	100	23	58	22094000	380931	316750	116	222	97	51	27	14953870	553847	542000	48	41	99	20	85	37047870	435857.2941			
02-2014	14	2	Milton	128	61186800	478022	451700	238	65.2	227	1.7	99	20	-	61	35390950	580180	568000	127	142	98	26	17	7491900	440700	432000	25	15	100	11	5	1443000	288600	291000	7	6	99	15	7	1884500	269214	273000	15	23	98	46	37	14546450	393147	390000	62	38	99	9	44	16430950	373430.6818			
02-2014	14	2	Mississauga	648	317021405	489231	444500	1218	54.2	1525	2.5	98	25	-	224	165177634	737400	655000	445	516	98	21	90	43145196	479391	475000	131	102	100	16	105	40669900	387332	355000	171	174	98	25	197	52490076	266447	250000	427	700	97	35	26	12602299	484704	465250	37	28	99	15	223	65092375	291894.0583			
02-2014	14	2	New Tecumseth	42	16227390	386366	334750	67	66.9	149	3.2	96	60	-	27	12261490	454129	370000	55	107	96	68	4	1027500	256875	239250	3	3	97	40	2	408500	204250	204250	-	3	97	32	1	147900	147900	147900	1	13	99	169	2	528000	264000	264000	3	6	97	41	3	675900	225300			
02-2014	14	2	Newmarket	98	49392052	504001	488500	144	71.3	135	1.5	99	20	-	55	32834450	596990	568800	100	102	99	18	18	7097100	394283	386250	19	11	98	18	7	2588800	369829	320000	5	6	100	20	4	914000	228500	226000	3	6	98	64	14	5957702	425550	431500	17	10	99	18	18	6871702	381761.2222			
02-2014	14	2	Oakville	221	169857032	768584	674900	368	60.5	515	2.6	98	26	-	146	134181775	919053	773675	253	340	98	24	9	4412800	490311	485000	9	11	98	22	15	6507900	433860	434000	28	38	99	41	17	5806000	341529	245000	34	90	95	53	29	16422000	566276	491500	40	35	99	17	46	22228000	483217.3913			
02-2014	14	2	Orangeville	30	11140400	371347	327500	68	66.3	118	2.7	99	31	-	20	8698000	434900	401250	52	94	99	40	5	1348900	269780	255000	9	10	99	12	4	789500	197375	201000	2	3	97	20	-	-	-	-	2	7	-	--	-	-	-	-	1	2	97	1	304000	304000	304000			
02-2014	14	2	Oshawa	158	47750450	302218	277450	261	70.4	223	1.3	99	19	-	114	38943650	341611	326000	197	174	99	20	15	3603000	240200	240000	23	12	100	9	15	2240000	149333	130000	15	19	100	18	6	915300	152550	143750	6	6	97	41	6	1537500	256250	261500	11	6	102	7	12	2452800	204400			
02-2014	14	2	Peel Region	1183	551304770	466023	421000	2254	53.3	2893	2.6	98	26	-	513	314727150	613503	566500	1092	1446	98	26	206	87490496	424711	416000	301	258	99	18	142	50869750	358238	327000	243	254	98	26	229	59596076	260245	245000	481	809	97	35	81	33421998	412617	405000	120	110	99	21	310	93018074	300058.3032			
02-2014	14	2	Pickering	87	36700600	421846	385500	139	63.2	135	1.8	99	25	-	41	22095300	538910	494000	82	94	99	26	4	1552500	388125	380000	4	3	104	7	13	3632700	279438	282000	18	16	99	30	13	3535300	271946	279000	14	11	99	31	15	5557300	370487	368000	16	9	99	17	28	9092600	324735.7143			
02-2014	14	2	Richmond Hill	247	193092927	781753	735000	434	51.4	480	2.6	100	21	-	156	152550449	977887	852500	256	247	101	18	7	3639888	519984	515000	20	16	100	24	10	4125000	412500	419250	16	16	100	13	37	11497450	310742	292000	75	150	97	40	30	17131140	571038	551635	61	48	101	17	67	28628590	427292.3881			
02-2014	14	2	Scugog	15	5571000	371400	365000	31	54.5	72	4.1	98	66	-	15	5571000	371400	365000	30	70	98	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Simcoe County	149	61749145	414424	385000	272	61.6	521	3.4	97	49	-	117	52976345	452789	415000	234	451	97	54	11	3323900	302173	298900	11	10	97	29	2	408500	204250	204250	-	3	97	32	2	297900	148950	148950	4	15	97	93	8	1990500	248813	240000	15	17	98	18	10	2288400	228840			
