date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
09-2016	16	09	Adjala-Tosorontio	17	9572921	563113	520000	29	76.6	43	2.4	100	17	-	17	9572921	563113	520000	29	43	100	17	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
09-2016	16	09	Ajax	175	106765067	610086	581000	249	79.1	114	0.6	106	9	-	115	77139591	670779	665000	174	78	107	9	16	8939888	558743	553500	15	10	104	10	5	1890900	378180	380900	12	9	105	12	7	2164500	309214	305000	10	6	108	9	27	14023188	519377	515000	33	11	107	8	34	16187688	476108.470588235
09-2016	16	09	Aurora	129	135942910	1053821	938000	210	75.4	115	0.9	105	10	-	89	113081822	1270582	1170000	130	64	105	10	8	5343000	667875	684500	13	7	102	11	13	6926200	532785	486000	27	16	104	9	8	3296388	412049	349000	16	12	100	16	10	6540500	654050	644750	22	15	104	9	18	9836888	546493.777777778
09-2016	16	09	Bradford West Gwillimbury	83	52701505	634958	605000	105	80.4	60	1	100	20	-	61	42392255	694955	655000	87	50	100	20	5	2550900	510180	530000	3	1	100	14	1	427500	427500	427500	1	0	109	8	3	740550	246850	247000	1	1	99	52	4	2152300	538075	536150	4	3	101	21	7	2892850	413264.285714286
09-2016	16	09	Brampton	941	582628307	619159	587000	1425	75	845	0.9	101	13	-	501	363837951	726223	694000	801	508	101	13	205	115987150	565791	559000	304	142	102	10	53	19853600	374596	364000	74	48	102	13	53	15394800	290468	281500	64	61	99	26	120	62562234	521352	526500	172	80	103	10	173	77957034	450618.693641618
09-2016	16	09	Brock	20	9392300	469615	369500	24	67.1	44	3.1	98	45	-	19	9067400	477232	409000	23	44	98	47	0	-	-	-	0	0	-	-	1	324900	324900	324900	1	0	100	9	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
09-2016	16	09	Burlington	199	145270814	730004	655000	313	80	246	1.2	100	22	-	105	98686548	939872	836000	165	132	100	24	6	3649000	608167	623000	14	10	106	11	32	15929610	497800	462500	59	38	101	16	36	15026566	417405	308500	51	55	98	30	19	11314190	595484	585000	20	6	103	6	55	26340756	478922.836363636
09-2016	16	09	Caledon	87	75340438	865982	765000	159	70.6	175	1.8	98	19	-	69	65346650	947053	805000	132	155	98	19	5	3126900	625380	599000	10	7	100	7	1	450000	450000	450000	1	0	102	16	1	485000	485000	485000	1	1	97	51	10	5357888	535789	542694	13	11	99	22	11	5842888	531171.636363636
09-2016	16	09	City of Toronto	3599	2752775848	764872	580000	5710	67.6	4780	1.6	104	18	-	1098	1421341058	1294482	987000	1981	1263	106	13	302	268150565	887916	805750	490	259	110	10	266	149325995	561376	500000	368	292	104	16	1787	797527268	446294	395000	2636	2819	99	24	121	104339490	862310	751000	186	107	106	13	1908	901866758	472676.497903564
09-2016	16	09	City of Toronto Total	3599	2752775848	764872	580000	5710	67.6	4780	1.6	104	18	-	1098	1421341058	1294482	987000	1981	1263	106	13	302	268150565	887916	805750	490	259	110	10	266	149325995	561376	500000	368	292	104	16	1787	797527268	446294	395000	2636	2819	99	24	121	104339490	862310	751000	186	107	106	13	1908	901866758	472676.497903564
