date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
01-2018	18	01	Adjala-Tosorontio	5	3075500	615100	660000	11	56	28	3.5	94	54	-	5	3075500	615100	660000	11	28	94	54	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
01-2018	18	01	Ajax	79	48686476	616285	578000	145	50.5	162	1.6	98	28	-	46	31864176	692699	671194	103	115	99	26	7	4047500	578214	560000	12	17	99	32	10	4890800	489080	490000	9	6	99	21	4	1505000	376250	370000	3	2	96	59	12	6379000	531583	533500	16	19	98	31	16	7884000	492750
01-2018	18	01	Aurora	48	42639800	888329	807500	150	36.5	226	3.1	95	39	-	28	30225800	1079493	957500	93	139	94	42	5	3647000	729400	701000	11	14	98	19	3	1180000	393333	351000	11	19	108	32	3	1447000	482333	490000	4	12	99	25	8	5375000	671875	650000	30	41	97	44	11	6822000	620181.818181818
01-2018	18	01	Bradford West Gwillimbury	40	28236000	705900	597250	95	38.1	158	3.2	93	45	-	20	17109500	855475	657500	78	137	91	49	11	6385500	580500	609500	7	5	97	45	2	828000	414000	414000	0	0	97	49	0	-	-	-	0	3	-	-	4	2255000	563750	562500	7	9	97	48	-	-	-
01-2018	18	01	Brampton	430	288672578	671332	635000	809	47	1065	1.9	97	31	-	215	171297100	796731	720000	480	671	96	34	83	51625590	621995	615000	121	146	98	25	38	17588088	462844	447444	46	53	99	30	30	10430300	347677	341750	44	53	98	39	62	36607500	590444	597250	112	134	98	29	92	47037800	511280.434782609
01-2018	18	01	Brock	7	3393500	484786	464500	27	49.7	42	3.2	96	51	-	7	3393500	484786	464500	26	41	96	51	0	-	-	-	1	1	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	0	-	-	-	0	0	-	-	-	-	-
01-2018	18	01	Burlington	113	86898339	769012	625000	200	59.8	284	1.8	96	38	-	53	55393549	1045161	839500	107	179	95	46	12	6795250	566271	559500	15	13	97	30	18	8778650	487703	472000	28	28	99	32	14	6420400	458600	440000	34	49	97	17	15	8835490	589033	600000	15	13	97	38	29	15255890	526065.172413793
01-2018	18	01	Caledon	48	41971800	874413	796950	118	45.1	194	3	97	38	-	34	33169300	975568	923000	93	174	97	44	7	4532500	647500	630000	6	2	96	22	0	-	-	-	1	1	-	-	0	-	-	-	1	1	-	-	7	4270000	610000	595000	15	14	100	25	-	-	-
01-2018	18	01	City of Toronto	1517	1162957062	766616	588000	2776	58.6	3460	1.6	99	28	-	376	482776872	1283981	940000	834	1271	98	32	94	88042586	936623	850000	186	219	101	25	95	51660300	543793	507000	160	198	99	33	899	488407516	543279	490000	1513	1648	99	26	43	46621388	1084218	856000	62	90	100	35	942	535028904	567971.23566879
01-2018	18	01	City of Toronto Total	1517	1162957062	766616	588000	2776	58.6	3460	1.6	99	28	-	376	482776872	1283981	940000	834	1271	98	32	94	88042586	936623	850000	186	219	101	25	95	51660300	543793	507000	160	198	99	33	899	488407516	543279	490000	1513	1648	99	26	43	46621388	1084218	856000	62	90	100	35	942	535028904	567971.23566879
