"","date","year","month","area","numofsales","dollarVolume","allAveragePrice","allMedianPrice","newListings","SNLRTrend","activeListings","mosInvTrend","avgSPLP","avgLDOM","avgPDOM","detachedNumberofSales","detachedDollarVolume","detachedAveragePrice","detachedMedianPrice","detachedNewListings","detachedActiveListings","detachedAvgSPLP","detachedAvgLDOM","semidetachedNumberofSales","semidetachedDollarVolume","semidetachedAveragePrice","semidetachedMedianPrice","semidetachedNewListings","semidetachedActiveListings","semidetachedAvgSPLP","semidetachedAvgLDOM","attachedNumberofSales","attachedDollarVolume","attachedAveragePrice","attachedMedianPrice","attachedNewListings","attachedActiveListings","attachedAvgSPLP","attachedAvgLDOM","condotownhouseNumberofSales","condotownhouseDollarVolume","condotownhouseAveragePrice","condotownhouseMedianPrice","condotownhouseNewListings","condotownhouseActiveListings","condotownhouseAvgSPLP","condotownhouseAvgLDOM","condoapartmentNumberofSales","condoapartmentDollarVolume","condoapartmentAveragePrice","condoapartmentMedianPrice","condoapartmentNewListings","condoapartmentActiveListings","condoapartmentAvgSPLP","condoapartmentAvgLDOM","allcondoNumberofSales","allcondoDollarVolume","allcondoAveragePrice","...59","...60","...61"
"1098","02-2014",14,"2","Halton Hills",71,34006795,478969,463000,110,61.6,164,2.7,98,23,"-","55","28632595","520593","512500","93",151,"98","24","3","1119500","373167","410000","3","1","100","12","3","793000","264333","274000","3","4","97","18","2","466200","233100","233100","2","3","100","12","8","2995500","374438","380000","9","5","99","25","10","3461700","346170",NA,NA,NA
"1099","02-2014",14,"2","Halton Region",506,311050115,614724,528500,852,62.8,1130,2.3,98,24,"-","307","228808020","745303","630000","546",763,"98","24","38","17557600","462042","444000","39","34","99","16","28","10306400","368086","341250","59","74","98","34","43","13252588","308200","269000","72","161","97","45","83","37708950","454325","415000","129","93","99","13","126","50961538","404456.6508",NA,NA,NA
"1100","02-2014",14,"2","Innisfil",30,11272300,375743,368950,75,56.1,149,4.1,97,64,"-","29","10996300","379183","369900","71",145,"97","66","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","276000","276000","276000","4","4","100","9","-","-","-",NA,NA,NA
"1101","02-2014",14,"2","King",23,18727000,814217,680000,54,38.7,127,7.1,97,37,"-","19","17062000","898000","762500","49",111,"96","33","1","430000","430000","430000","-","-","98","22","-","-","-","-","1","1","-","-","1","327000","327000","327000","2","12","98","160","1","438000","438000","438000","2","3","98","20","2","765000","382500",NA,NA,NA
"1102","02-2014",14,"2","Markham",281,188749976,671708,625000,515,57.7,550,2.1,100,24,"-","131","116708818","890907","825000","260",232,"101","18","20","11072600","553630","550500","31","15","104","7","23","10579200","459965","449900","35","29","100","23","58","22094000","380931","316750","116","222","97","51","27","14953870","553847","542000","48","41","99","20","85","37047870","435857.2941",NA,NA,NA
"1103","02-2014",14,"2","Milton",128,61186800,478022,451700,238,65.2,227,1.7,99,20,"-","61","35390950","580180","568000","127",142,"98","26","17","7491900","440700","432000","25","15","100","11","5","1443000","288600","291000","7","6","99","15","7","1884500","269214","273000","15","23","98","46","37","14546450","393147","390000","62","38","99","9","44","16430950","373430.6818",NA,NA,NA
"1104","02-2014",14,"2","Mississauga",648,317021405,489231,444500,1218,54.2,1525,2.5,98,25,"-","224","165177634","737400","655000","445",516,"98","21","90","43145196","479391","475000","131","102","100","16","105","40669900","387332","355000","171","174","98","25","197","52490076","266447","250000","427","700","97","35","26","12602299","484704","465250","37","28","99","15","223","65092375","291894.0583",NA,NA,NA
"1105","02-2014",14,"2","New Tecumseth",42,16227390,386366,334750,67,66.9,149,3.2,96,60,"-","27","12261490","454129","370000","55",107,"96","68","4","1027500","256875","239250","3","3","97","40","2","408500","204250","204250","-","3","97","32","1","147900","147900","147900","1","13","99","169","2","528000","264000","264000","3","6","97","41","3","675900","225300",NA,NA,NA
"1106","02-2014",14,"2","Newmarket",98,49392052,504001,488500,144,71.3,135,1.5,99,20,"-","55","32834450","596990","568800","100",102,"99","18","18","7097100","394283","386250","19","11","98","18","7","2588800","369829","320000","5","6","100","20","4","914000","228500","226000","3","6","98","64","14","5957702","425550","431500","17","10","99","18","18","6871702","381761.2222",NA,NA,NA
"1107","02-2014",14,"2","Oakville",221,169857032,768584,674900,368,60.5,515,2.6,98,26,"-","146","134181775","919053","773675","253",340,"98","24","9","4412800","490311","485000","9","11","98","22","15","6507900","433860","434000","28","38","99","41","17","5806000","341529","245000","34","90","95","53","29","16422000","566276","491500","40","35","99","17","46","22228000","483217.3913",NA,NA,NA
"1108","02-2014",14,"2","Orangeville",30,11140400,371347,327500,68,66.3,118,2.7,99,31,"-","20","8698000","434900","401250","52",94,"99","40","5","1348900","269780","255000","9","10","99","12","4","789500","197375","201000","2","3","97","20","-","-","-","-","2","7","-","--","-","-","-","-","1","2","97","1","304000","304000","304000",NA,NA,NA
"1109","02-2014",14,"2","Oshawa",158,47750450,302218,277450,261,70.4,223,1.3,99,19,"-","114","38943650","341611","326000","197",174,"99","20","15","3603000","240200","240000","23","12","100","9","15","2240000","149333","130000","15","19","100","18","6","915300","152550","143750","6","6","97","41","6","1537500","256250","261500","11","6","102","7","12","2452800","204400",NA,NA,NA
"1110","02-2014",14,"2","Peel Region",1183,551304770,466023,421000,2254,53.3,2893,2.6,98,26,"-","513","314727150","613503","566500","1092",1446,"98","26","206","87490496","424711","416000","301","258","99","18","142","50869750","358238","327000","243","254","98","26","229","59596076","260245","245000","481","809","97","35","81","33421998","412617","405000","120","110","99","21","310","93018074","300058.3032",NA,NA,NA
"1111","02-2014",14,"2","Pickering",87,36700600,421846,385500,139,63.2,135,1.8,99,25,"-","41","22095300","538910","494000","82",94,"99","26","4","1552500","388125","380000","4","3","104","7","13","3632700","279438","282000","18","16","99","30","13","3535300","271946","279000","14","11","99","31","15","5557300","370487","368000","16","9","99","17","28","9092600","324735.7143",NA,NA,NA
"1112","02-2014",14,"2","Richmond Hill",247,193092927,781753,735000,434,51.4,480,2.6,100,21,"-","156","152550449","977887","852500","256",247,"101","18","7","3639888","519984","515000","20","16","100","24","10","4125000","412500","419250","16","16","100","13","37","11497450","310742","292000","75","150","97","40","30","17131140","571038","551635","61","48","101","17","67","28628590","427292.3881",NA,NA,NA
"1113","02-2014",14,"2","Scugog",15,5571000,371400,365000,31,54.5,72,4.1,98,66,"-","15","5571000","371400","365000","30",70,"98","66","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1114","02-2014",14,"2","Simcoe County",149,61749145,414424,385000,272,61.6,521,3.4,97,49,"-","117","52976345","452789","415000","234",451,"97","54","11","3323900","302173","298900","11","10","97","29","2","408500","204250","204250","-","3","97","32","2","297900","148950","148950","4","15","97","93","8","1990500","248813","240000","15","17","98","18","10","2288400","228840",NA,NA,NA
"1115","02-2014",14,"2","Toronto C01",270,135796567,502950,407750,719,43.5,1173,3.8,100,30,"-","2","2085111","1042556","1042556","11",10,"113","7","15","13464301","897620","875000","17","11","112","11","9","9069105","1007678","460000","25","34","101","16","234","102556550","438276","385100","649","1104","98","32","9","8276000","919556","808000","15","12","107","29","243","110832550","456101.0288",NA,NA,NA
"1116","02-2014",14,"2","Toronto C02",49,53648635,1094870,947500,121,46.1,204,4,102,25,"-","13","21286901","1637454","1422000","16",22,"99","28","7","11379796","1625685","1600000","19","14","111","8","4","3034900","758725","754950","2","4","101","17","18","11931499","662861","541000","76","160","96","40","5","5541539","1108308","985000","7","3","107","7","23","17473038","759697.3043",NA,NA,NA
"1117","02-2014",14,"2","Toronto C03",36,48881688,1357825,848000,85,57.4,96,2.4,99,28,"-","22","39258188","1784463","1484000","51",53,"98","30","5","3185000","637000","738500","9","9","112","7","-","-","-","-","4","4","-","-","7","4766500","680929","689000","19","24","99","33","1","1440000","1440000","1440000","-","2","96","37","8","6206500","775812.5",NA,NA,NA
"1118","02-2014",14,"2","Toronto C04",69,84983901,1231651,1151000,168,51.5,206,2.6,100,19,"-","44","72160479","1640011","1490000","128",152,"100","13","2","2416100","1208050","1208050","3","2","100","12","-","-","-","-","1","1","-","-","20","9312822","465641","379750","28","39","98","31","1","755000","755000","755000","6","8","98","17","21","10067822","479420.0952",NA,NA,NA
"1119","02-2014",14,"2","Toronto C06",23,12585400,547191,426000,48,45.6,64,3.5,101,25,"-","9","7465500","829500","825000","15",18,"102","9","-","-","-","-","-","-","-","-","1","466000","466000","466000","2","3","100","20","13","4653900","357992","347500","31","43","98","36","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1120","02-2014",14,"2","Toronto C07",73,38188107,523125,395000,164,47.7,238,3.3,98,34,"-","19","17459870","918941","865000","51",72,"98","39","2","1242500","621250","621250","4","5","96","15","5","2032299","406460","417000","5","5","100","6","47","17453438","371350","363000","99","152","98","36","-","-","-","-","3","2","-","-","-","-","-",NA,NA,NA
"1121","02-2014",14,"2","Toronto C08",108,46587200,431363,392500,201,54.1,286,2.7,99,26,"-","-","-","-","-","2",3,"-","-","3","2464000","821333","872000","6","6","110","13","1","491000","491000","491000","5","6","98","25","99","40958400","413721","382000","182","266","98","27","4","2398800","599700","599900","4","3","103","12","103","43357200","420943.6893",NA,NA,NA
"1122","02-2014",14,"2","Toronto C09",29,31473327,1085287,705000,45,55.2,63,2.9,98,26,"-","8","16716417","2089552","1893150","20",35,"97","15","1","1549000","1549000","1549000","1","5","100","6","2","1485000","742500","742500","4","2","105","5","11","6818910","619901","539000","14","15","97","19","1","1595000","1595000","1595000","1","-","100","4","12","8413910","701159.1667",NA,NA,NA
"1123","02-2014",14,"2","Toronto C10",36,25852288,718119,516500,70,58.6,81,2,104,18,"-","10","12263000","1226300","1196500","18",18,"107","20","5","4817000","963400","910000","6","4","109","6","1","428500","428500","428500","3","4","100","78","19","8174788","430252","422000","39","52","98","18","-","-","-","-","1","1","-","-","-","-","-",NA,NA,NA
"1124","02-2014",14,"2","Toronto C11",38,25261501,664776,276250,78,62.6,81,1.7,106,20,"-","12","17354334","1446195","1332807","24",25,"107","14","3","2534000","844667","788000","5","1","114","4","3","859750","286583","190500","3","2","103","10","20","4513417","225671","214250","46","53","99","28","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1125","02-2014",14,"2","Toronto C12",29,46022599,1586986,1331000,82,42.3,132,4.8,97,32,"-","20","39570999","1978550","1885000","48",85,"97","34","-","-","-","-","1","1","-","-","5","4221500","844300","795000","15","12","98","18","4","2230100","557525","494000","17","32","97","39","-","-","-","-","1","2","-","-","-","-","-",NA,NA,NA
"1126","02-2014",14,"2","Toronto C13",59,43480006,736949,510000,87,63.7,90,1.8,101,20,"-","24","30475206","1269800","1065000","28",20,"102","16","5","2638000","527600","526500","7","3","103","10","1","324000","324000","324000","1","3","98","74","25","7985900","319436","319900","47","62","99","21","3","1837000","612333","672000","3","1","100","4","28","9822900","350817.8571",NA,NA,NA
"1127","02-2014",14,"2","Toronto C14",148,101809458,687902,478000,262,44.8,375,3.5,99,29,"-","41","54556100","1330637","1180000","53",58,"100","13","-","-","-","-","-","-","-","-","9","4971200","552356","572000","12","14","99","27","90","35676158","396402","347500","190","294","98","38","7","6366000","909429","873000","7","8","100","11","97","42042158","433424.3093",NA,NA,NA
"1128","02-2014",14,"2","Toronto C15",92,55664248,605046,435000,185,52.8,250,2.7,101,22,"-","29","29995498","1034328","960000","40",33,"103","9","5","3308600","661720","651800","8","4","108","6","11","5025550","456868","408500","13","15","101","13","46","17007600","369730","337500","123","198","98","35","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1129","02-2014",14,"2","Toronto Central",1059,750234925,708437,466000,2315,48.9,3339,3.1,100,27,"-","253","360647603","1425485","1220000","505",604,"100","19","53","48998297","924496","790500","86","65","109","9","52","32408804","623246","473750","95","109","100","18","653","274039982","419663","371250","1560","2494","98","32","31","28209339","909979","831518","48","42","103","16","684","302249321","441884.9722",NA,NA,NA
"1130","02-2014",14,"2","Toronto E01",68,41068919,603955,618500,117,61.2,96,1.5,106,18,"-","7","4576186","653741","660000","24",24,"112","9","27","18111640","670801","670000","41","25","108","11","2","1057300","528650","528650","6","6","103","35","22","11206600","509391","499750","33","35","100","31","10","6117193","611719","617758","12","5","110","9","32","17323793","541368.5313",NA,NA,NA
"1131","02-2014",14,"2","Toronto E02",45,33942717,754283,671818,87,63.8,71,1.4,104,15,"-","15","15310100","1020673","990000","37",25,"102","18","19","12846617","676138","645000","26","14","108","7","3","1544000","514667","495000","9","9","100","5","3","1047900","349300","348000","9","21","96","38","5","3194100","638820","611100","6","2","104","31","8","4242000","530250",NA,NA,NA
"1132","02-2014",14,"2","Toronto E03",47,30471500,648330,619000,93,64.1,75,1.3,105,18,"-","29","20944900","722238","685000","58",48,"104","17","11","7388600","671691","663000","21","12","109","14","-","-","-","-","1","1","-","-","6","1723000","287167","276500","12","13","98","24","1","415000","415000","415000","1","1","99","48","7","2138000","305428.5714",NA,NA,NA
"1133","02-2014",14,"2","Toronto E04",84,36077086,429489,447550,128,63.1,114,1.8,102,19,"-","43","22940986","533511","525000","59",33,"104","10","12","5367900","447325","413500","10","5","99","23","5","1907300","381460","377800","5","6","98","30","22","4908900","223132","207000","45","59","97","30","2","952000","476000","476000","9","11","97","30","24","5860900","244204.1667",NA,NA,NA
"1134","02-2014",14,"2","Toronto E05",63,26768794,424901,362000,99,69.5,88,1.5,103,26,"-","15","10435388","695693","688000","31",22,"104","7","6","3326218","554370","559050","9","4","111","6","13","4308400","331415","338500","21","16","102","21","27","7473188","276785","262500","36","45","97","44","1","554800","554800","554800","1","1","107","6","28","8027988","286713.8571",NA,NA,NA
"1135","02-2014",14,"2","Toronto E06",30,16357877,545263,477500,50,57.6,47,1.6,101,12,"-","24","13725177","571882","477500","36",32,"100","11","3","1546500","515500","521000","5","3","107","7","-","-","-","-","-","-","-","-","2","641200","320600","320600","6","9","101","23","1","445000","445000","445000","3","3","94","17","3","1086200","362066.6667",NA,NA,NA
"1136","02-2014",14,"2","Toronto E07",45,17828144,396181,404000,93,62.2,116,2,103,23,"-","11","6881488","625590","660000","19",15,"102","4","4","2340800","585200","606400","4","2","110","12","4","1647000","411750","406000","5","4","104","21","21","4552688","216795","227000","56","91","98","40","2","966168","483084","483084","1","-","112","4","23","5518856","239950.2609",NA,NA,NA
"1137","02-2014",14,"2","Toronto E08",35,13991999,399771,450000,60,59.5,66,2.2,100,26,"-","19","10250100","539479","495000","32",33,"102","26","1","459900","459900","459900","2","2","100","16","2","512000","256000","256000","5","4","99","29","13","2769999","213077","185000","21","27","97","27","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1138","02-2014",14,"2","Toronto E09",64,23024676,359761,364000,127,60.6,155,2.1,100,23,"-","29","13613900","469445","453000","42",33,"101","23","4","1548500","387125","387750","3","1","101","9","2","430000","215000","215000","7","10","92","29","29","7432276","256285","257500","75","109","98","25","-","-","-","-","-","2","-","-","-","-","-",NA,NA,NA
"1139","02-2014",14,"2","Toronto E10",34,16568800,487318,484500,58,59.1,87,2.2,102,23,"-","24","13650800","568783","536000","43",55,"103","19","2","680000","340000","340000","2","-","107","5","2","353000","176500","176500","7","19","96","33","2","420000","210000","210000","3","8","98","36","3","1310000","436667","430000","3","3","99","43","5","1730000","346000",NA,NA,NA
"1140","02-2014",14,"2","Toronto E11",62,22084965,356209,353000,92,66.5,90,1.8,100,21,"-","20","10263900","513195","466500","26",16,"100","17","10","3819300","381930","367950","12","8","102","14","6","1521800","253633","267200","15","23","100","18","15","2577865","171858","172990","28","39","98","42","9","3196100","355122","330000","10","4","102","10","24","5773965","240581.875",NA,NA,NA
"1141","02-2014",14,"2","Toronto East",577,278185477,482124,468000,1004,62.7,1005,1.7,103,20,"-","236","142592925","604207","544000","407",336,"103","15","99","57435975","580161","581000","135","76","107","12","39","13280800","340533","338500","81","98","101","23","162","44753616","276257","244000","324","456","98","34","34","17150361","504422","483084","46","32","105","18","196","61903977","315836.6173",NA,NA,NA
"1142","02-2014",14,"2","Toronto W01",33,16859468,510893,373000,89,52.9,118,2.6,100,37,"-","6","6402000","1067000","918500","16",19,"100","30","2","1763480","881740","881740","9","9","113","9","1","220000","220000","220000","4","5","96","27","22","7828988","355863","329500","52","79","98","43","1","400000","400000","400000","5","4","96","24","23","8228988","357782.087",NA,NA,NA
"1143","02-2014",14,"2","Toronto W02",51,33931055,665315,650000,74,69.7,73,1.3,106,18,"-","19","16024755","843408","821000","23",15,"106","19","14","9663100","690221","700500","21","10","112","8","5","2346400","469280","451900","6","3","103","9","11","4631800","421073","322900","22","43","99","34","2","1265000","632500","632500","1","1","99","8","13","5896800","453600",NA,NA,NA
"1144","02-2014",14,"2","Toronto W03",32,14087000,440219,427500,69,67.4,63,1.5,100,19,"-","16","8174500","510906","457500","37",35,"99","23","8","3709500","463688","415000","15","10","102","11","-","-","-","-","3","4","-","-","7","1858000","265429","240000","11","12","98","21","1","345000","345000","345000","3","2","105","1","8","2203000","275375",NA,NA,NA
"1145","02-2014",14,"2","Toronto W04",47,18996990,404191,390000,75,62.3,94,2.2,99,20,"-","19","11167390","587757","565000","40",39,"99","13","3","1313500","437833","493000","4","5","103","34","8","2667300","333413","327500","10","9","98","28","16","3273800","204613","189000","21","41","98","22","1","575000","575000","575000","-","-","101","18","17","3848800","226400",NA,NA,NA
"1146","02-2014",14,"2","Toronto W05",55,20005600,363738,375100,115,56.5,182,2.9,98,36,"-","8","4291300","536413","516000","21",37,"99","30","16","8127400","507963","477500","29","34","98","41","8","2473400","309175","310000","28","36","99","15","22","4665500","212068","182500","32","66","97","45","1","448000","448000","448000","4","4","96","8","23","5113500","222326.087",NA,NA,NA
"1147","02-2014",14,"2","Toronto W06",63,29063090,461319,409000,168,46.7,301,3.9,101,35,"-","15","9310800","620720","594000","23",25,"107","14","3","2093500","697833","648000","2","-","102","15","3","1637900","545967","510000","7","7","104","39","37","13368790","361319","318000","130","266","97","46","4","2402100","600525","602000","6","2","101","21","41","15770890","384655.8537",NA,NA,NA
"1148","02-2014",14,"2","Toronto W07",14,9468800,676343,687000,25,68.1,23,1.4,104,13,"-","9","7405400","822822","817500","18",16,"105","13","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","4","1518400","379600","399450","4","4","99","14","1","545000","545000","545000","3","2","99","13","5","2063400","412680",NA,NA,NA
"1149","02-2014",14,"2","Toronto W08",113,73767646,652811,475000,275,54.2,353,2.7,99,32,"-","44","47583488","1081443","913750","101",118,"99","21","2","1040900","520450","520450","3","1","102","12","4","1428000","357000","366500","11","18","97","47","59","21018258","356242","323000","156","214","98","39","4","2697000","674250","706000","3","1","101","36","63","23715258","376432.6667",NA,NA,NA
"1150","02-2014",14,"2","Toronto W09",30,15024400,500813,582500,66,58.5,82,2.4,99,34,"-","16","11095400","693463","664500","27",27,"100","19","1","440500","440500","440500","-","-","102","2","1","715000","715000","715000","6","11","97","45","12","2773500","231125","263250","33","44","93","54","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1151","02-2014",14,"2","Toronto W10",62,20723933,334257,383500,118,54.3,164,2.8,99,36,"-","27","13454032","498297","471000","56",49,"100","21","1","410000","410000","410000","1","1","95","25","5","1184000","236800","250000","12","16","97","36","26","4448401","171092","179000","46","96","96","55","1","425500","425500","425500","2","2","97","15","27","4873901","180514.8519",NA,NA,NA
"1152","02-2014",14,"2","Toronto West",500,251927982,503856,433750,1074,56.7,1453,2.5,100,30,"-","179","134909065","753682","650000","362",380,"101","20","50","28561880","571238","535450","84","70","104","21","35","12672000","362057","345000","87","110","100","27","216","65385437","302710","293500","507","865","97","41","16","9102600","568913","577000","27","18","100","20","232","74488037","321069.125",NA,NA,NA
"1153","02-2014",14,"2","TRREB Total",5731,3170349840,553193,459900,10897,56.4,14019,2.5,99,26,"-","2696","1936891534","718432","610000","5175",6439,"99","24","590","299916436","508333","460500","862","644","103","15","394","151365304","384176","337250","700","784","99","25","1494","518749896","347222","318000","3324","5488","98","36","447","215163326","481350","437000","689","537","100","16","1941","733913222","378110.882",NA,NA,NA
"1154","02-2014",14,"2","Uxbridge",28,14128550,504591,472000,45,56.5,108,4.5,96,54,"-","24","12781550","532565","484500","43",98,"97","53","1","288000","288000","288000","-","1","96","55","1","345000","345000","345000","-","5","91","82","-","-","-","-","1","3","-","-","2","714000","357000","357000","-","-","95","50","-","-","-",NA,NA,NA
"1155","02-2014",14,"2","Vaughan",246,166645130,677419,650000,496,52.2,617,2.7,98,22,"-","141","116201328","824123","750000","283",344,"98","21","21","11927200","567962","556000","34","28","99","13","4","1753000","438250","440000","13","10","100","22","39","13533397","347010","343000","104","195","97","40","36","20113205","558700","532500","55","37","99","10","75","33646602","448621.36",NA,NA,NA
"1156","02-2014",14,"2","Whitby",131,56223455,429187,411111,216,66.8,195,1.4,100,16,"-","95","44871594","472333","455000","159",149,"100","17","3","986200","328733","320200","5","4","100","10","7","1828700","261243","256000","13","8","100","18","4","1122900","280725","282000","13","15","97","39","19","6326761","332987","319500","21","17","100","10","23","7449661","323898.3043",NA,NA,NA
"1157","02-2014",14,"2","Whitchurch-Stouffville",51,30180800,591780,558000,93,53.8,163,3.4,97,25,"-","41","25839700","630237","590000","65",136,"97","29","6","2670000","445000","446000","13","8","100","7","-","-","-","-","2","2","-","--","-","-","-","-","-","-","-","-","4","1671100","417775","412950","9","8","99","9","-","-","-","-","-","-"
"1158","02-2014",14,"2","York Region",1088,716487697,658536,612750,1985,55.8,2425,2.5,99,24,"-","647","515833407","797270","746000","1201",1456,"99","22","85","41833788","492162","496000","133","88","100","13","48","20652500","430260","421250","76","73","99","21","147","51724497","351867","312500","319","624","97","45","126","65366017","518778","510750","215","164","100","16","273","117090514","428902.9817",NA,NA,NA
"1159","02-2015",15,"02","Adjala-Tosorontio",10,3883000,388300,370000,25,50.6,61,5.5,95,78,"-","10","3883000","388300","370000","25",61,"95","78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"1160","02-2015",15,"02","Ajax",141,67677116,479980,430000,198,75.5,126,0.9,99,15,"-","90","50053138","556146","520000","133",86,"98","16","10","4153000","415300","423500","15","7","103","10","13","3782578","290968","283900","19","14","100","16","6","1371000","228500","215000","8","9","95","35","20","7571600","378580","385000","22","9","102","8","26","8942600","343946.153846154",NA,NA,NA
"1161","02-2015",15,"02","Aurora",74,50149290,677693,595000,102,65.8,112,2,99,20,"-","46","37734790","820322","722250","60",67,"98","18","3","1533500","511167","471500","6","4","105","9","8","3202500","400313","412500","17","18","101","31","8","2814500","351813","319500","10","19","96","28","8","4079000","509875","511500","7","2","102","7","16","6893500","430843.75",NA,NA,NA
"1162","02-2015",15,"02","Bradford West Gwillimbury",58,29380380,506558,491000,94,60.1,116,2.6,98,29,"-","44","23965580","544672","528950","79",108,"98","35","5","2096000","419200","445000","6","1","100","6","1","295000","295000","295000","1","-","97","14","1","232000","232000","232000","-","1","97","28","5","1981900","396380","414700","4","1","100","8","6","2213900","368983.333333333",NA,NA,NA
"1163","02-2015",15,"02","Brampton",566,258982578,457566,435000,881,61.8,805,1.8,99,21,"-","300","161622578","538742","511250","525",484,"99","22","119","48995600","411728","410000","147","102","99","17","33","9760900","295785","287000","60","73","98","28","38","8952400","235589","228000","64","95","97","32","68","26477700","389378","393500","78","47","99","13","106","35430100","334246.226415094",NA,NA,NA
"1164","02-2015",15,"02","Brock",14,4708500,336321,225000,24,56.6,64,4.9,93,66,"-","13","4479500","344577","221000","23",61,"93","70","-","-","-","-","-","-","-","-","-","-","-","-","-","3","-","-","-","-","-","-","-","-","-","-","1","229000","229000","229000","1","-","105","2","-","-","-",NA,NA,NA
"1165","02-2015",15,"02","Burlington",122,66299838,543441,497500,184,67.2,251,2.2,98,37,"-","58","40679580","701372","697500","96",144,"98","45","8","3883777","485472","484500","9","2","101","9","19","7938080","417794","370000","30","34","99","23","24","7568401","315350","281250","29","51","99","50","10","4874000","487400","479000","17","17","99","9","34","12442401","365952.970588235",NA,NA,NA
"1166","02-2015",15,"02","Caledon",62,40867185,659148,599450,116,57.8,182,3.3,97,32,"-","46","33832385","735487","645500","89",162,"97","36","6","2733900","455650","459500","9","4","100","10","1","357000","357000","357000","1","2","99","16","1","449000","449000","449000","-","1","99","101","8","3494900","436863","438250","17","13","99","13","9","3943900","438211.111111111",NA,NA,NA
"1167","02-2015",15,"02","City of Toronto",2370,1495132818,630858,480000,4211,56.6,5506,2.3,101,24,"-","774","804973656","1040018","818000","1215",1131,"102","16","198","139003021","702035","652000","275","179","107","13","162","69360565","428152","399444","288","315","100","24","1153","426212483","369655","330000","2301","3744","98","33","66","46427593","703448","694537","109","94","103","13","1219","472640076","387727.707957342",NA,NA,NA
"1168","02-2015",15,"02","City of Toronto Total",2370,1495132818,630858,480000,4211,56.6,5506,2.3,101,24,"-","774","804973656","1040018","818000","1215",1131,"102","16","198","139003021","702035","652000","275","179","107","13","162","69360565","428152","399444","288","315","100","24","1153","426212483","369655","330000","2301","3744","98","33","66","46427593","703448","694537","109","94","103","13","1219","472640076","387727.707957342",NA,NA,NA
"1169","02-2015",15,"02","Clarington",133,49907463,375244,350000,216,68.2,201,1.6,100,20,"-","91","37847499","415907","395000","156",159,"99","22","4","1151100","287775","292050","2","-","104","7","5","1298000","259600","280000","7","7","98","33","4","808900","202225","204500","10","13","99","29","14","3945800","281843","277500","22","10","101","9","18","4754700","264150",NA,NA,NA
"1170","02-2015",15,"02","Dufferin County",57,21637350,379603,355000,63,68.2,83,2.7,99,34,"-","37","16087300","434792","425000","48",73,"98","43","6","1638000","273000","274000","6","4","101","16","5","1125400","225080","231500","2","-","100","9","-","-","-","-","4","4","-","-","9","2786650","309628","298750","3","2","101","23","-","-","-",NA,NA,NA
"1171","02-2015",15,"02","Durham Region",728,306282480,420718,392500,1085,70.5,1009,1.5,100,17,"-","513","239760148","467369","440000","804",805,"99","18","45","14196300","315473","292000","48","22","102","11","44","11341778","257768","272495","55","52","101","19","24","5718200","238258","215000","49","62","98","34","76","26209816","344866","347700","93","48","102","10","100","31928016","319280.16",NA,NA,NA
"1172","02-2015",15,"02","East Gwillimbury",20,12918600,645930,597500,39,65.9,60,2.4,97,36,"-","17","11830600","695918","650000","35",57,"97","36","1","362000","362000","362000","2","1","91","58","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","726000","363000","363000","2","2","98","16","-","-","-",NA,NA,NA
"1173","02-2015",15,"02","Essa",15,5482650,365510,331250,35,65.2,52,3.1,98,22,"-","12","4717650","393138","378750","25",45,"98","26","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","470000","235000","235000","4","2","98","6","-","-","-",NA,NA,NA
"1174","02-2015",15,"02","Georgina",53,19873600,374974,368500,93,66,132,2.3,98,34,"-","51","19123600","374973","368500","83",119,"98","36","1","385000","385000","385000","4","3","99","1","-","-","-","-","-","-","-","-","-","-","-","-","1","5","-","-","1","365000","365000","365000","5","5","101","1","-","-","-",NA,NA,NA
"1175","02-2015",15,"02","Halton Hills",61,32249826,528686,485000,99,64.5,160,2.2,97,43,"-","42","25472900","606498","552250","84",141,"97","44","1","312000","312000","312000","3","4","102","6","6","1500300","250050","242500","2","2","97","44","3","945000","315000","360000","1","4","97","88","9","4019626","446625","453000","8","8","101","24","12","4964626","413718.833333333",NA,NA,NA
"1176","02-2015",15,"02","Halton Region",549,365338298,665461,565000,862,64.2,1129,2.1,98,27,"-","316","258722558","818742","707500","501",736,"98","30","48","24238000","504958","487000","64","37","99","12","37","13908807","375914","360000","63","76","99","27","58","19254301","331971","299000","95","160","98","41","83","45306632","545863","467000","124","106","99","14","141","64560933","457878.957446809",NA,NA,NA
