"","date","year","month","area","numofsales","dollarVolume","allAveragePrice","allMedianPrice","newListings","SNLRTrend","activeListings","mosInvTrend","avgSPLP","avgLDOM","avgPDOM","detachedNumberofSales","detachedDollarVolume","detachedAveragePrice","detachedMedianPrice","detachedNewListings","detachedActiveListings","detachedAvgSPLP","detachedAvgLDOM","semidetachedNumberofSales","semidetachedDollarVolume","semidetachedAveragePrice","semidetachedMedianPrice","semidetachedNewListings","semidetachedActiveListings","semidetachedAvgSPLP","semidetachedAvgLDOM","attachedNumberofSales","attachedDollarVolume","attachedAveragePrice","attachedMedianPrice","attachedNewListings","attachedActiveListings","attachedAvgSPLP","attachedAvgLDOM","condotownhouseNumberofSales","condotownhouseDollarVolume","condotownhouseAveragePrice","condotownhouseMedianPrice","condotownhouseNewListings","condotownhouseActiveListings","condotownhouseAvgSPLP","condotownhouseAvgLDOM","condoapartmentNumberofSales","condoapartmentDollarVolume","condoapartmentAveragePrice","condoapartmentMedianPrice","condoapartmentNewListings","condoapartmentActiveListings","condoapartmentAvgSPLP","condoapartmentAvgLDOM","allcondoNumberofSales","allcondoDollarVolume","allcondoAveragePrice","...59","...60","...61"
"16","01-2012",12,"1","Georgina",41,10835000,264268,268000,109,59.1,175,3.7,98,28,"-","31","8428000","271871","271000","102",172,"97","28","2","722000","361000","361000","2","2","100","36","3","516000","172000","181000","1","1","97","32","1","141000","141000","141000","-","-","97","59","4","1028000","257000","262000","4","-","100","11","5","1169000","233800",NA,NA,NA
"17","01-2012",12,"1","Halton Hills",54,22394500,414713,379950,95,67.8,148,2.5,98,41,"-","40","18262300","456558","421000","75",126,"97","45","4","1465800","366450","374500","4","1","100","6","6","1373000","228833","210250","5","6","97","58","1","272500","272500","272500","3","10","96","16","3","1020900","340300","328000","8","5","98","7","4","1293400","323350",NA,NA,NA
"18","01-2012",12,"1","Halton Region",292,143535850,491561,430000,580,63.1,746,2.3,98,30,"-","170","98976550","582215","525000","389",574,"97","35","25","9936800","397472","395000","40","24","99","17","25","7353000","294120","275000","25","28","98","39","16","5192500","324531","265000","46","64","98","32","53","20933500","394972","377100","78","51","99","17","69","26126000","378637.6812",NA,NA,NA
"19","01-2012",12,"1","Innisfil",21,6435399,306448,322500,64,50.6,146,5.3,97,55,"-","18","5752399","319578","333500","61",143,"97","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","683000","227667","233000","3","3","98","28","-","-","-",NA,NA,NA
"20","01-2012",12,"1","King",19,15142300,796963,655000,34,43.2,113,7.4,92,88,"-","17","14462400","850729","708000","33",103,"91","85","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","284900","284900","284900","-","9","102","195","-","-","-","-","1","1","-","-","-","-","-",NA,NA,NA
"21","01-2012",12,"1","Markham",216,117260637,542873,484000,411,63.9,466,1.6,99,29,"-","90","65405549","726728","664900","169",192,"98","26","22","10088000","458545","459400","33","22","100","28","14","5608300","400593","394000","27","28","99","35","46","15501600","336991","331000","110","171","98","44","25","11217100","448684","428500","42","34","99","21","71","26718700","376319.7183",NA,NA,NA
"22","01-2012",12,"1","Milton",86,37264850,433312,420000,165,64.3,154,1.7,99,23,"-","44","22395850","508997","490500","107",121,"99","27","13","5021000","386231","379000","21","13","99","25","3","829000","276333","242000","2","1","99","26","1","293500","293500","293500","3","4","98","28","25","8725500","349020","350000","31","14","99","14","26","9019000","346884.6154",NA,NA,NA
"23","01-2012",12,"1","Mississauga",537,232963240,433824,393000,1070,62.4,1254,1.9,98,31,"-","165","111054436","673057","565000","371",467,"97","29","99","40858803","412715","415000","138","97","99","18","88","27912661","317189","320500","146","168","98","36","153","39672340","259296","234000","365","487","97","40","23","9819000","426913","422000","38","27","99","27","176","49491340","281200.7955",NA,NA,NA
"24","01-2012",12,"1","New Tecumseth",22,6636453,301657,281000,59,60.5,132,4.1,97,62,"-","16","5085553","317847","296500","41",92,"97","64","-","-","-","-","3","5","-","-","3","526900","175633","175000","3","4","98","80","-","-","-","-","3","7","-","-","2","467000","233500","233500","6","9","98","5","-","-","-",NA,NA,NA
"25","01-2012",12,"1","Newmarket",70,29847500,426393,421000,124,75.7,95,1.3,99,21,"-","44","21220200","482277","482450","84",63,"98","24","9","3264500","362722","380000","10","5","99","15","3","844000","281333","285000","5","5","100","21","3","616000","205333","189000","10","15","102","20","10","3564300","356430","351950","12","5","100","13","13","4180300","321561.5385",NA,NA,NA
